NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.297653
ENERGIES
-20.298980
-20.233203
-11.093945
-1.363886
-1.274941
-0.718678
-0.540586
-0.524199
-0.476240
-0.337765
-0.315744
0.349133
0.591039
0.802472
1.025329
1000000.439508

OEI
-36.145530	
-0.000237	-35.978930	
-0.000200	0.003773	-23.937071	
-0.480614	-0.224419	-0.128352	-11.504128	
-0.265274	0.469539	0.097955	0.186723	-11.488365	
0.091036	0.166668	-0.158528	-0.667072	-0.309246	-10.247442	
0.027515	-0.023827	-0.008379	-0.002624	0.005096	-0.045574	-10.365493	
-0.135406	0.255642	-0.048690	-0.060765	0.293746	0.151708	0.007007	-10.512990	
-0.208843	-0.161786	0.056007	-0.109766	-0.503172	0.359102	-0.001810	0.031811	-10.303968	
-0.004780	-0.012678	-0.007372	0.027491	0.033195	0.023628	0.289862	0.020882	0.037982	-10.599947	
-0.000273	0.024189	-0.038972	0.226233	0.240855	0.070440	-0.059396	-0.016595	-0.041785	-0.031165	-10.689855	
-0.005142	0.006342	-0.004495	-0.031955	0.026104	0.024241	0.524006	0.063500	0.045936	0.260586	-0.058633	-10.018626	
-0.297148	-0.031703	0.072919	-1.041353	-0.499081	1.246638	-0.112827	0.296484	1.079514	0.017405	-0.090305	0.022261	-8.585347	
-0.075321	-0.015562	0.150516	-0.229169	-0.012954	-0.767453	0.009105	0.047912	-0.556613	-0.005646	0.107246	-0.030675	-0.849773	-10.329653	
0.027672	-0.220495	0.126256	-0.200856	0.801128	0.027334	-0.006321	-0.195750	-0.074428	-0.034813	-0.035675	-0.031501	-0.230299	-0.174685	-10.386903	
-0.007581	-0.047870	-0.215014	0.229718	-0.178439	0.151960	0.016444	0.086534	-0.137530	0.018156	0.093574	0.008744	-0.250233	-0.109585	-0.187557	999991.440627	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
