NMONOMER	1
NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-41.398726
ENERGIES
-10.720454
-0.796173
-0.396677
-0.386783
-0.294798
0.510224
0.872204
0.889621
1.054946
965064.575038
965066.466053
996490.791628
1073373.506972

OEI
-19.716642	
0.406392	-5.475298	
-0.006222	0.061015	-4.916630	
-0.008355	0.017284	0.001171	-4.751591	
-0.090810	0.257606	0.087695	-0.019012	-5.351731	
0.032843	-0.058921	-0.106081	-0.029953	0.132368	-2.170604	
0.226041	-0.583488	-0.651921	0.403151	-0.397885	-0.023038	-4.406576	
-0.088088	0.240229	0.306120	0.929015	0.152309	0.514249	-0.045356	-4.383049	
0.258939	-0.726137	0.708579	-0.043650	-0.343277	-0.010671	0.060549	-0.017370	-4.151277	
0.000121	-0.004847	0.019386	-0.107349	0.091496	-0.153693	0.116742	0.069342	0.014467	965061.134549	
0.000084	0.008530	0.010242	0.097127	0.145272	0.278575	0.031121	-0.061405	-0.001363	0.002666	965063.025181	
-0.007576	-0.022262	0.016775	-0.003563	-0.005427	-0.051536	0.000342	-0.014167	-0.028268	0.000756	0.001669	996486.919422	
-0.022115	-0.164963	0.213845	-0.008405	-0.058592	-0.104374	-0.029075	-0.007298	0.192113	0.004513	0.014029	0.168369	1073370.558929	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
-0.991545	-0.039309	0.007948	0.007930	0.000007	-0.002281	0.013071	0.003268	-0.003793	0.001185	0.000942	-0.000232	0.002817	
0.233263	-0.687574	-0.211369	-0.201332	0.040337	0.026161	-0.014121	-0.042460	0.061558	0.036936	-0.088500	0.018895	-0.205262	
-0.004052	0.016554	-0.277272	-0.271582	-0.050448	-0.070168	0.187755	-0.142129	-0.003604	-0.550936	0.150649	-0.014321	0.424670	
-0.005151	0.025383	-0.488582	0.470431	0.099173	0.006689	-0.052922	-0.376685	-0.332878	0.103958	0.116307	0.069467	-0.017963	
-0.058705	0.371773	-0.191209	-0.233873	0.086802	0.023297	-0.092355	0.560765	-0.697279	-0.035588	-0.166857	0.134813	-0.034067	
0.019624	-0.131001	0.267225	-0.101088	1.313470	0.075105	-0.630644	-0.147740	-0.092266	-0.029625	-0.132884	-0.547410	0.293134	
0.140759	-0.883099	0.441115	1.138958	-0.017239	0.017023	-0.122588	0.484204	-0.114200	-0.836120	-0.121656	0.049078	-0.074608	
-0.054899	0.339480	-1.087008	0.406186	0.330159	0.005985	-0.063617	0.768219	0.808173	0.142614	-0.080607	-0.253205	0.171295	
0.165434	-1.123911	0.237129	0.181377	-0.091422	-0.136398	0.970679	0.385984	-0.292557	0.799230	0.384068	-0.104505	0.922691	
-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.928742	-0.027173	0.369731	
0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.032713	0.987414	0.154740	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215516	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096221	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.014391	-0.882584	0.000000	0.000000	-0.000000	0.171046	-0.072166	0.424342	

ERI
0 0 0 0 3.4987118
1 0 0 0 -0.3114355
1 0 1 0 0.0434129
1 0 1 1 -0.0110877
1 1 0 0 0.7358964
1 1 1 0 -0.0110877
