NMONOMER	1
NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-41.398849
ENERGIES
-10.723134
-0.797940
-0.402229
-0.387579
-0.292839
0.496424
0.871575
0.888254
1.044734
965064.556529
965066.444860
996490.772788
1073373.482896

OEI
-19.714955	
0.404967	-5.471220	
0.000039	0.054547	-4.912765	
-0.007847	0.016975	0.000005	-4.751379	
-0.093872	0.254676	0.091886	-0.017773	-5.350893	
0.032398	-0.057010	-0.098481	-0.021147	0.130132	-2.175456	
0.224697	-0.575867	-0.655170	0.408484	-0.395605	-0.015099	-4.408582	
0.089156	-0.238684	-0.314801	-0.926917	-0.154244	-0.490947	0.043584	-4.390822	
0.260228	-0.738251	0.697158	-0.044876	-0.334756	-0.018915	0.063540	0.019640	-4.170063	
0.000121	-0.004125	0.019197	-0.107206	0.091606	-0.153091	0.117270	-0.069149	0.014325	965061.115090	
0.000095	0.009280	0.009159	0.097443	0.144964	0.278361	0.030638	0.063998	-0.001182	0.002632	965063.003136	
-0.007567	-0.022409	0.016368	-0.003544	-0.005111	-0.051866	0.000169	0.013945	-0.028176	0.000756	0.001650	996486.897905	
-0.022095	-0.168057	0.212949	-0.007378	-0.056128	-0.104839	-0.029154	0.005057	0.190923	0.004671	0.013726	0.168631	1073370.533822	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
-0.991551	-0.039292	0.007940	0.007930	0.000003	-0.002284	0.013098	0.003335	-0.003842	0.001234	0.000941	-0.000225	0.002837	
0.232559	-0.683117	-0.209548	-0.200449	0.040551	0.027316	-0.017978	-0.036309	0.056703	0.041758	-0.092213	0.020726	-0.212180	
-0.000295	0.001616	-0.275038	-0.276015	-0.049136	-0.070577	0.192170	-0.142136	0.002443	-0.545988	0.151559	-0.016967	0.427605	
-0.004853	0.024231	-0.489901	0.468656	0.100517	0.006363	-0.052550	-0.377973	-0.332859	0.100239	0.117033	0.068687	-0.015124	
-0.060701	0.378570	-0.191888	-0.233590	0.085362	0.022757	-0.091725	0.560022	-0.697354	-0.040193	-0.165543	0.135079	-0.031047	
0.019384	-0.129066	0.258711	-0.099291	1.316125	0.075081	-0.629903	-0.140205	-0.085844	-0.025412	-0.133443	-0.549667	0.295115	
0.139975	-0.878335	0.428956	1.142746	-0.012107	0.017204	-0.124639	0.491992	-0.104832	-0.835953	-0.122847	0.045672	-0.072662	
0.055578	-0.343431	1.092483	-0.395695	-0.318771	-0.004381	0.051201	-0.766262	-0.808428	-0.157285	0.075865	0.249759	-0.174955	
0.166192	-1.127258	0.244548	0.180976	-0.094916	-0.136120	0.970786	0.383270	-0.298100	0.800211	0.383577	-0.101887	0.918757	
-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.928721	-0.026546	0.369829	
0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.033302	0.987431	0.154505	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215516	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096221	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.014391	-0.882584	0.000000	0.000000	-0.000000	0.171046	-0.072166	0.424342	

ERI
0 0 0 0 3.4987448
1 0 0 0 -0.3104826
1 0 1 0 0.0431302
1 0 1 1 -0.0109613
1 1 0 0 0.7343951
1 1 1 0 -0.0109613
1 1 1 1 0.5228136
2 0 0 0 0.0004917
2 0 1 0 -0.0006053
2 0 1 1 -0.0015135
2 0 2 0 0.0088514
2 0 2 1 0.0147731
2 0 2 2 -0.0032957
2 1 0 0 -0.0148494
2 1 1 0 -0.0006550
2 1 1 1 -0.0151104
2 1 2 0 0.0147731
2 1 2 1 0.1188075
2 1 2 2 -0.0483119
2 2 0 0 0.6447545
2 2 1 0 -0.0044150
2 2 1 1 0.5055287
2 2 2 0 -0.0032957
2 2 2 1 -0.0483119
2 2 2 2 0.5356324
3 0 0 0 0.0063820
3 0 1 0 -0.0008872
3 0 1 1 0.0004010
3 0 2 0 -0.0000351
3 0 2 1 -0.0000110
3 0 2 2 0.0001699
3 0 3 0 0.0074545
3 0 3 1 0.0126443
3 0 3 2 0.0036646
3 0 3 3 0.0000413
3 1 0 0 -0.0055236
3 1 1 0 0.0002557
3 1 1 1 0.0001624
3 1 2 0 -0.0000128
3 1 2 1 0.0010208
3 1 2 2 -0.0012383
3 1 3 0 0.0126443
3 1 3 1 0.1112670
3 1 3 2 0.0588649
3 1 3 3 0.0019547
3 2 0 0 -0.0004162
3 2 1 0 0.0000486
3 2 1 1 0.0010953
3 2 2 0 -0.0002167
3 2 2 1 -0.0005229
3 2 2 2 -0.0000191
3 2 3 0 0.0036646
3 2 3 1 0.0588649
3 2 3 2 0.0513044
3 2 3 3 0.0017751
3 3 0 0 0.6055087
3 3 1 0 -0.0041906
3 3 1 1 0.4850720
3 3 2 0 0.0035658
3 3 2 1 0.0516738
3 3 2 2 0.4500687
3 3 3 0 0.0000413
3 3 3 1 0.0019547
3 3 3 2 0.0017751
3 3 3 3 0.5302939
4 0 0 0 0.0795667
4 0 1 0 -0.0120708
4 0 1 1 0.0029750
4 0 2 0 -0.0012517
4 0 2 1 -0.0014228
4 0 2 2 0.0044727
4 0 3 0 0.0005591
4 0 3 1 0.0002799
4 0 3 2 -0.0001119
4 0 3 3 0.0045213
4 0 4 0 0.0210236
4 0 4 1 0.0212492
4 0 4 2 0.0010726
4 0 4 3 -0.0006684
4 0 4 4 -0.0076760
4 1 0 0 -0.0833498
4 1 1 0 0.0023301
4 1 1 1 -0.0191972
4 1 2 0 -0.0012103
4 1 2 1 0.0003656
4 1 2 2 0.0030002
4 1 3 0 0.0002228
4 1 3 1 0.0001537
4 1 3 2 -0.0019669
4 1 3 3 0.0140489
4 1 4 0 0.0212492
4 1 4 1 0.1024191
4 1 4 2 0.0113279
4 1 4 3 -0.0048438
4 1 4 4 -0.0689158
4 2 0 0 -0.0257304
4 2 1 0 0.0005618
4 2 1 1 -0.0082081
4 2 2 0 -0.0005202
4 2 2 1 0.0179022
4 2 2 2 -0.0178852
4 2 3 0 -0.0001561
