NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-181.622908
ENERGIES
-20.247047
-20.165453
-11.089127
-1.318797
-1.236489
-0.674979
-0.490697
-0.483434
-0.436027
-0.301347
-0.281700
0.402399
0.647211
0.852305
1.075946
1000000.620716

OEI
-36.087321	
0.000123	-35.991158	
-0.000170	0.003783	-23.897355	
0.439092	0.290142	0.141127	-11.513098	
-0.335171	0.438601	0.076356	-0.201121	-11.412346	
0.096477	0.181719	-0.160992	0.600571	-0.377693	-10.221410	
-0.011269	-0.041569	0.013263	0.011967	-0.069587	0.016545	-10.329429	
0.101347	-0.266471	0.047391	-0.068736	-0.364699	-0.077483	-0.021847	-10.518526	
-0.216269	-0.117999	0.046263	0.066417	-0.472855	0.379351	0.015365	-0.010563	-10.259217	
-0.004616	0.001826	-0.000013	-0.003438	-0.004369	0.005529	-0.240865	0.024265	0.021745	-10.605153	
-0.009798	0.013297	-0.035816	-0.177342	0.248908	0.082117	-0.004897	0.007294	0.000577	0.002957	-10.703967	
-0.002223	-0.001074	0.006624	0.027851	0.001420	-0.008488	0.562375	-0.065267	-0.038975	-0.265857	-0.004193	-9.918190	
0.298402	0.037154	-0.072986	-0.957901	0.617960	-1.226182	-0.082599	0.101364	-1.150310	-0.016343	0.046329	0.009951	-8.480771	
0.075480	0.030853	-0.156897	-0.255776	0.002781	0.744321	0.083030	0.148090	0.551792	-0.002206	-0.068979	0.022068	-0.880956	-10.292996	
-0.039304	0.221673	-0.111832	-0.286429	-0.787508	-0.044947	-0.008598	-0.221303	0.084774	-0.004600	0.054401	0.011629	-0.235654	-0.184159	-10.312159	
-0.007647	-0.048699	-0.215153	-0.257232	-0.142527	0.163859	-0.027895	-0.093801	-0.123680	0.000122	0.093601	-0.012041	0.252916	0.122871	0.169649	999991.641823	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
