NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.965792
ENERGIES
-20.313135
-20.242477
-11.198145
-1.381152
-1.294405
-0.735331
-0.555189
-0.538905
-0.489735
-0.353184
-0.331850
0.331047
0.587093
0.780771
1.000092
1000000.500095

OEI
-36.150912	
-0.000061	-36.019208	
0.000154	-0.003806	-24.053383	
0.448438	0.267983	-0.141146	-11.576480	
0.315888	-0.442383	0.083985	0.192596	-11.492437	
-0.105414	-0.176835	-0.159592	-0.606525	-0.361748	-10.276326	
-0.022121	0.014572	-0.008538	-0.003579	0.003588	-0.034072	-10.365167	
0.114941	-0.272590	-0.050271	-0.072482	0.332544	0.104972	0.007282	-10.543350	
0.213958	0.139745	0.049646	-0.068667	-0.481360	0.357461	-0.000313	0.012704	-10.321710	
-0.003524	-0.007796	0.003575	-0.004633	-0.012483	-0.014215	-0.268459	-0.013391	-0.032569	-10.638889	
-0.007604	0.021756	0.036842	-0.191858	-0.254680	-0.076740	0.020884	0.002325	0.020901	-0.012732	-10.728099	
0.004635	-0.003137	-0.003818	-0.024299	0.012301	0.019408	0.537122	0.042076	0.045757	-0.252110	0.022411	-10.041603	
0.300211	0.035495	0.078300	-0.984260	-0.587145	1.214323	-0.089456	0.184083	1.094040	-0.020494	0.061110	0.021446	-8.602199	
-0.062295	-0.020678	-0.148742	0.209703	-0.001323	0.787711	-0.013504	-0.097623	0.608888	-0.011850	0.091294	0.026785	0.968376	-10.292250	
-0.034815	0.219134	0.118434	-0.262162	0.790909	0.039404	-0.002178	-0.188953	-0.099194	0.022618	0.044314	-0.023428	-0.257219	0.158431	-10.410506	
-0.007582	-0.048101	0.215411	-0.253317	0.155064	-0.157189	-0.016231	-0.094177	0.127874	0.008893	0.091276	-0.007433	0.256399	-0.104091	0.177116	999991.497301	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
0.018276	0.090556	-0.000061	-0.002840	0.000000	0.000000	0.000803	0.141306	0.183748	0.005094	-0.004520	0.007747	-0.002077	0.000000	1.000000	
-0.002315	-0.011471	-0.000314	-0.014620	0.000000	0.000000	-0.002907	-0.017899	0.005094	0.223319	-0.023265	-0.002077	-0.002542	0.000000	0.000000	1.000000	

MOCOEFF
0.000353	-0.004240	0.994011	0.027310	-0.003761	0.000176	-0.006012	0.002584	0.002987	0.004265	-0.000474	0.003054	0.003414	-0.000224	-0.000309	-0.000433	
-0.000343	-0.002660	0.003695	0.000486	0.994209	0.026940	-0.000118	-0.009735	0.007748	0.004935	0.000430	-0.000161	-0.000029	-0.006063	0.001767	-0.000246	
-0.997166	-0.012078	-0.000180	0.004306	0.000584	0.005323	0.001516	-0.010409	0.018495	0.016438	0.002007	0.000484	0.001202	-0.000969	0.000113	-0.000254	
-0.107134	0.208158	-0.188859	0.666525	-0.113038	0.383079	0.101758	0.045822	-0.113566	-0.119622	0.013112	0.081682	0.092834	-0.106888	0.024080	-0.019225	
0.063754	-0.144420	-0.131462	0.473998	0.188775	-0.651527	0.094418	-0.214077	0.008417	-0.055845	-0.037566	0.055682	0.046981	0.140013	-0.057940	0.000656	
-0.118200	0.403467	0.031628	-0.142993	0.071365	-0.316868	-0.373809	-0.145064	-0.118444	-0.208671	0.506978	0.025554	0.189614	-0.146154	-0.045964	-0.099743	
-0.005144	0.012610	0.008668	-0.045103	-0.005876	0.029626	0.017235	-0.151567	-0.379592	0.327313	-0.140969	-0.422617	0.454794	-0.072014	-0.267723	0.210712	
-0.044912	0.138534	-0.042674	0.222189	0.102635	-0.538169	-0.016080	0.385050	-0.037184	0.140592	-0.048069	-0.295458	-0.283535	-0.522610	0.231905	0.126786	
0.051988	-0.127469	-0.092053	0.470899	-0.049149	0.255123	-0.345328	-0.117066	0.105603	0.126468	0.303408	-0.475596	-0.375160	0.369341	-0.006400	0.142148	
0.001197	-0.006210	0.001008	-0.007803	0.003606	-0.015110	0.008511	0.078390	0.223020	-0.223990	-0.147857	-0.511022	0.477084	0.151784	0.486857	-0.345382	
0.019854	-0.147448	-0.003793	0.024205	-0.003867	0.027617	-0.034678	0.012091	-0.114151	-0.068919	0.133788	0.253905	0.246925	0.117951	0.580921	0.738405	
-0.000894	-0.003225	-0.001960	0.013738	0.000477	0.002649	-0.018059	-0.204464	-0.595194	0.552771	0.070349	0.246321	-0.213266	0.146691	0.535671	-0.498251	
0.077039	-0.429819	-0.130758	0.875883	-0.022519	0.139496	-1.037932	0.132872	0.222879	0.274875	-0.427807	0.418832	0.367861	-0.211846	-0.061400	-0.132443	
-0.132213	0.756502	0.051727	-0.340271	0.014233	-0.073660	-0.533921	-0.470910	-0.376380	-0.589173	-0.876862	-0.123081	-0.439618	0.132203	0.129567	0.193196	
0.119737	-0.845556	0.014973	-0.121295	-0.121446	0.941269	0.071901	-1.112367	0.245736	-0.139431	0.109284	-0.159681	-0.139108	-0.929463	0.273814	-0.014277	
0.117784	-0.542251	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.323595	-0.592177	-0.518102	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

ERI
0 0 0 0 4.7436113
1 0 0 0 0.0168165
1 0 1 0 0.0001268
1 0 1 1 -0.0169748
1 1 0 0 0.2409127
1 1 1 0 -0.0169748
1 1 1 1 4.7444443
2 0 0 0 -0.0001561
2 0 1 0 -0.0000005
2 0 1 1 -0.0000216
2 0 2 0 0.0000006
2 0 2 1 0.0000005
2 0 2 2 -0.0005091
2 1 0 0 -0.0000433
2 1 1 0 -0.0000078
2 1 1 1 0.0020198
2 1 2 0 0.0000005
2 1 2 1 0.0000036
2 1 2 2 -0.0004626
2 2 0 0 0.4009025
2 2 1 0 -0.0001698
2 2 1 1 0.4482038
2 2 2 0 -0.0005091
2 2 2 1 -0.0004626
2 2 2 2 3.5263197
3 0 0 0 -0.3381106
3 0 1 0 -0.0012674
3 0 1 1 0.0009361
3 0 2 0 0.0000339
3 0 2 1 -0.0000001
3 0 2 2 0.0008271
3 0 3 0 0.0383540
3 0 3 1 0.0000808
3 0 3 2 -0.0000027
3 0 3 3 -0.0065460
3 1 0 0 -0.0008542
3 1 1 0 0.0007621
3 1 1 1 -0.2030112
3 1 2 0 0.0000003
3 1 2 1 -0.0001002
3 1 2 2 0.0011528
3 1 3 0 0.0000808
3 1 3 1 0.0139268
3 1 3 2 0.0000042
3 1 3 3 -0.0007823
3 2 0 0 -0.0016184
3 2 1 0 0.0000043
3 2 1 1 -0.0026362
3 2 2 0 -0.0000475
3 2 2 1 -0.0000519
3 2 2 2 0.1457685
3 2 3 0 -0.0000027
3 2 3 1 0.0000042
3 2 3 2 0.0103672
3 2 3 3 -0.0016582
3 3 0 0 0.7779220
3 3 1 0 0.0011691
3 3 1 1 0.4653701
3 3 2 0 0.0000457
3 3 2 1 0.0000475
3 3 2 2 0.5244187
3 3 3 0 -0.0065460
3 3 3 1 -0.0007823
3 3 3 2 -0.0016582
3 3 3 3 0.5610941
4 0 0 0 -0.2350285
4 0 1 0 -0.0008736
4 0 1 1 -0.0013832
4 0 2 0 0.0000219
4 0 2 1 -0.0000010
4 0 2 2 0.0002235
4 0 3 0 0.0267191
4 0 3 1 0.0001882
4 0 3 2 -0.0000126
4 0 3 3 -0.0047817
4 0 4 0 0.0186966
4 0 4 1 -0.0000886
4 0 4 2 -0.0000125
4 0 4 3 -0.0032174
4 0 4 4 -0.0022848
4 1 0 0 -0.0011296
4 1 1 0 -0.0012770
4 1 1 1 0.3377975
4 1 2 0 -0.0000001
4 1 2 1 0.0001655
4 1 2 2 -0.0019680
4 1 3 0 0.0001864
4 1 3 1 -0.0232137
4 1 3 2 0.0000002
4 1 3 3 0.0015735
4 1 4 0 -0.0000886
4 1 4 1 0.0387991
4 1 4 2 -0.0000535
4 1 4 3 -0.0033808
4 1 4 4 0.0055416
4 2 0 0 -0.0033765
4 2 1 0 -0.0000377
4 2 1 1 0.0066140
4 2 2 0 0.0000057
4 2 2 1 0.0000439
4 2 2 2 -0.0863766
4 2 3 0 -0.0000317
4 2 3 1 0.0000217
4 2 3 2 -0.0057714
4 2 3 3 -0.0013909
4 2 4 0 -0.0000125
4 2 4 1 -0.0000535
4 2 4 2 0.0053245
4 2 4 3 -0.0051237
4 2 4 4 0.0038765
4 3 0 0 0.3319447
4 3 1 0 0.0024828
4 3 1 1 -0.3294128
4 3 2 0 0.0000354
4 3 2 1 -0.0001542
4 3 2 2 -0.0710340
4 3 3 0 -0.0048005
4 3 3 1 0.0021521
4 3 3 2 0.0002403
4 3 3 3 0.0699068
4 3 4 0 -0.0032174
4 3 4 1 -0.0033808
4 3 4 2 -0.0051237
4 3 4 3 0.1907014
4 3 4 4 -0.0899031
4 4 0 0 0.4979829
4 4 1 0 -0.0010293
4 4 1 1 0.7704804
4 4 2 0 -0.0000070
4 4 2 1 0.0001589
4 4 2 2 0.5247684
4 4 3 0 -0.0031937
4 4 3 1 -0.0033345
4 4 3 2 -0.0010888
4 4 3 3 0.4811198
4 4 4 0 -0.0022848
4 4 4 1 0.0055416
4 4 4 2 0.0038765
4 4 4 3 -0.0899031
4 4 4 4 0.5570099
5 0 0 0 0.0561625
5 0 1 0 0.0002070
5 0 1 1 0.0015654
5 0 2 0 0.0000133
5 0 2 1 0.0000001
5 0 2 2 0.0046628
5 0 3 0 -0.0054480
5 0 3 1 0.0000122
5 0 3 2 -0.0000926
5 0 3 3 0.0049762
5 0 4 0 -0.0046590
5 0 4 1 -0.0000768
5 0 4 2 -0.0000772
5 0 4 3 0.0000955
5 0 4 4 0.0016169
5 0 5 0 0.0099290
5 0 5 1 0.0000151
5 0 5 2 -0.0001357
5 0 5 3 0.0121115
5 0 5 4 0.0078292
5 0 5 5 -0.0016041
5 1 0 0 0.0007561
5 1 1 0 -0.0004691
5 1 1 1 0.1257875
5 1 2 0 -0.0000000
5 1 2 1 0.0000561
5 1 2 2 0.0019740
5 1 3 0 0.0000201
5 1 3 1 -0.0079375
5 1 3 2 -0.0000163
5 1 3 3 0.0026299
5 1 4 0 -0.0000658
5 1 4 1 0.0136213
5 1 4 2 0.0000422
5 1 4 3 -0.0027582
5 1 4 4 0.0047561
5 1 5 0 0.0000151
5 1 5 1 0.0062742
5 1 5 2 0.0000131
5 1 5 3 0.0002700
5 1 5 4 0.0000118
5 1 5 5 0.0004633
5 2 0 0 -0.0047366
5 2 1 0 -0.0000253
5 2 1 1 0.0021552
5 2 2 0 -0.0000605
5 2 2 1 -0.0000266
5 2 2 2 0.1576356
5 2 3 0 -0.0000172
5 2 3 1 0.0000162
5 2 3 2 0.0111682
5 2 3 3 -0.0024447
5 2 4 0 -0.0000229
5 2 4 1 -0.0000380
5 2 4 2 -0.0047165
5 2 4 3 -0.0039712
5 2 4 4 0.0021094
5 2 5 0 -0.0001357
5 2 5 1 0.0000131
5 2 5 2 0.0134973
5 2 5 3 -0.0014789
5 2 5 4 -0.0003492
5 2 5 5 -0.0030522
5 3 0 0 -0.0040727
5 3 1 0 0.0000640
5 3 1 1 -0.0195868
5 3 2 0 0.0000325
5 3 2 1 -0.0000236
5 3 2 2 0.1531404
5 3 3 0 0.0020727
5 3 3 1 0.0012797
5 3 3 2 -0.0006808
5 3 3 3 0.0474824
5 3 4 0 0.0002896
5 3 4 1 -0.0019879
5 3 4 2 -0.0023027
5 3 4 3 -0.0118758
5 3 4 4 0.0187702
5 3 5 0 0.0121115
5 3 5 1 0.0002700
5 3 5 2 -0.0014789
5 3 5 3 0.1012593
5 3 5 4 0.0431479
5 3 5 5 0.0103211
5 4 0 0 -0.0819748
5 4 1 0 -0.0008585
5 4 1 1 0.1464062
5 4 2 0 0.0000046
5 4 2 1 0.0000407
5 4 2 2 0.0281978
5 4 3 0 0.0017403
5 4 3 1 -0.0021412
5 4 3 2 -0.0003016
5 4 3 3 -0.0082556
