NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.297653
ENERGIES
-20.298980
-20.233205
-11.093944
-1.363886
-1.274941
-0.718677
-0.540585
-0.524200
-0.476240
-0.337765
-0.315744
0.349133
0.591039
0.802473
1.025329
1000000.439508

OEI
-36.145530	
-0.000237	-35.978930	
-0.000200	0.003773	-23.937071	
-0.480613	-0.224421	-0.128352	-11.504129	
-0.265276	0.469539	0.097954	0.186723	-11.488364	
0.091036	0.166668	-0.158528	-0.667071	-0.309247	-10.247442	
0.027515	-0.023827	-0.008379	-0.002624	0.005096	-0.045574	-10.365493	
-0.135405	0.255643	-0.048690	-0.060764	0.293750	0.151705	0.007007	-10.512991	
-0.208844	-0.161783	0.056006	-0.109765	-0.503170	0.359104	-0.001810	0.031809	-10.303967	
-0.004780	-0.012677	-0.007372	0.027492	0.033196	0.023628	0.289861	0.020882	0.037982	-10.599948	
-0.000274	0.024189	-0.038972	0.226232	0.240856	0.070441	-0.059397	-0.016595	-0.041785	-0.031166	-10.689855	
-0.005142	0.006342	-0.004495	-0.031955	0.026104	0.024241	0.524007	0.063500	0.045936	0.260585	-0.058635	-10.018626	
-0.297148	-0.031704	0.072919	-1.041352	-0.499084	1.246638	-0.112827	0.296474	1.079518	0.017405	-0.090304	0.022261	-8.585347	
-0.075321	-0.015563	0.150516	-0.229169	-0.012955	-0.767452	0.009105	0.047917	-0.556613	-0.005646	0.107246	-0.030675	-0.849773	-10.329654	
0.027672	-0.220495	0.126256	-0.200859	0.801127	0.027334	-0.006321	-0.195749	-0.074430	-0.034813	-0.035675	-0.031501	-0.230299	-0.174685	-10.386903	
-0.007581	-0.047870	-0.215014	0.229718	-0.178438	0.151961	0.016444	0.086535	-0.137530	0.018156	0.093573	0.008744	-0.250233	-0.109585	-0.187557	999991.440627	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
0.018276	0.090556	-0.000061	-0.002840	0.000000	0.000000	0.000803	0.141306	0.183748	0.005094	-0.004520	0.007747	-0.002077	0.000000	1.000000	
-0.002315	-0.011471	-0.000314	-0.014620	0.000000	0.000000	-0.002907	-0.017899	0.005094	0.223319	-0.023265	-0.002077	-0.002542	0.000000	0.000000	1.000000	

MOCOEFF
-0.000349	0.004222	-0.994008	-0.027323	0.004022	-0.000166	0.006043	-0.002581	-0.002974	-0.004251	0.000547	-0.003067	-0.003397	0.000222	0.000308	0.000432	
0.000354	0.002611	-0.003957	-0.000485	-0.994225	-0.026855	0.000116	0.009702	-0.007731	-0.004928	-0.000429	0.000163	0.000030	0.005994	-0.001770	0.000249	
-0.997030	-0.012671	-0.000201	0.004489	0.000572	0.005478	0.001566	-0.010461	0.018712	0.016745	0.002130	0.000512	0.001267	-0.001035	0.000092	-0.000312	
-0.096916	0.178346	-0.202186	0.715669	-0.094537	0.322851	0.118757	0.023552	-0.105933	-0.121257	0.005379	0.090422	0.097804	-0.089295	0.019975	-0.019675	
0.073896	-0.162177	-0.110013	0.396528	0.200499	-0.693432	0.088253	-0.215239	0.016299	-0.041193	-0.041244	0.049058	0.037643	0.144490	-0.064884	0.004663	
-0.116406	0.390144	0.025260	-0.112151	0.067299	-0.297055	-0.389528	-0.148921	-0.109949	-0.205733	0.511367	0.029988	0.194361	-0.142465	-0.052247	-0.098152	
-0.004724	0.008864	0.010749	-0.056017	-0.009606	0.047709	0.022725	-0.158935	-0.371096	0.315990	-0.145182	-0.425383	0.481372	-0.060472	-0.261418	0.189363	
-0.042038	0.131714	-0.051418	0.266207	0.096469	-0.507135	-0.055875	0.364431	-0.036668	0.155410	-0.023786	-0.350961	-0.303068	-0.495091	0.215364	0.143750	
0.057125	-0.137633	-0.089766	0.458129	-0.057290	0.298581	-0.348182	-0.151316	0.105820	0.118111	0.279700	-0.455453	-0.346953	0.423910	-0.032294	0.113111	
-0.002860	0.019436	-0.000825	0.006700	-0.006040	0.024973	-0.007163	-0.088145	-0.223864	0.245302	0.129894	0.466317	-0.491419	-0.160837	-0.550737	0.266457	
-0.022302	0.157270	0.007039	-0.043320	0.004930	-0.033420	0.045595	-0.003083	0.140866	0.025867	-0.156222	-0.299233	-0.192537	-0.105293	-0.527467	-0.768967	
-0.001006	-0.005310	-0.002185	0.015555	0.001346	0.000035	-0.020450	-0.204975	-0.590471	0.551840	0.068257	0.241931	-0.208602	0.136083	0.536312	-0.510046	
0.071367	-0.390234	-0.128229	0.860112	-0.020273	0.122821	-1.050037	0.135025	0.208400	0.252929	-0.474793	0.417971	0.353783	-0.191988	-0.066056	-0.128125	
0.132977	-0.748923	-0.057304	0.379658	-0.011425	0.050859	0.489441	0.510986	0.381826	0.605202	0.854748	0.136884	0.449741	-0.109058	-0.143871	-0.200479	
0.126257	-0.878268	0.011150	-0.095135	-0.122444	0.947501	0.069155	-1.095273	0.265883	-0.119008	0.127851	-0.151216	-0.120591	-0.932733	0.266816	-0.020733	
-0.117784	0.542251	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.323595	0.592177	0.518102	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	

ERI
0 0 0 0 4.7435718
1 0 0 0 0.0179983
1 0 1 0 0.0001451
1 0 1 1 -0.0181557
1 1 0 0 0.2409303
1 1 1 0 -0.0181557
1 1 1 1 4.7445480
2 0 0 0 0.0001994
2 0 1 0 0.0000007
2 0 1 1 0.0000210
2 0 2 0 0.0000006
2 0 2 1 0.0000005
2 0 2 2 0.0004971
2 1 0 0 0.0000419
2 1 1 0 0.0000082
2 1 1 1 -0.0019811
2 1 2 0 0.0000005
2 1 2 1 0.0000036
2 1 2 2 0.0004366
2 2 0 0 0.4009079
2 2 1 0 -0.0001795
2 2 1 1 0.4482054
2 2 2 0 0.0004971
2 2 2 1 0.0004366
2 2 2 2 3.5256057
3 0 0 0 0.3619393
3 0 1 0 0.0014514
3 0 1 1 -0.0008287
3 0 2 0 0.0000411
3 0 2 1 -0.0000002
3 0 2 2 -0.0008338
3 0 3 0 0.0439764
3 0 3 1 0.0001262
3 0 3 2 0.0000072
3 0 3 3 0.0080972
3 1 0 0 0.0010640
3 1 1 0 -0.0006809
3 1 1 1 0.1698608
3 1 2 0 0.0000004
3 1 2 1 -0.0000816
3 1 2 2 -0.0010227
3 1 3 0 0.0001262
3 1 3 1 0.0097410
3 1 3 2 -0.0000102
3 1 3 3 0.0003076
3 2 0 0 -0.0018697
3 2 1 0 0.0000008
3 2 1 1 -0.0019193
3 2 2 0 0.0000451
3 2 2 1 0.0000446
3 2 2 2 0.1322901
3 2 3 0 0.0000072
3 2 3 1 -0.0000102
3 2 3 2 0.0086319
3 2 3 3 -0.0017765
3 3 0 0 0.8455384
3 3 1 0 0.0017828
3 3 1 1 0.4010883
3 3 2 0 -0.0000504
3 3 2 1 -0.0000177
3 3 2 2 0.5035886
3 3 3 0 0.0080972
3 3 3 1 0.0003076
3 3 3 2 -0.0017765
3 3 3 3 0.5945861
4 0 0 0 0.1966447
4 0 1 0 0.0007807
4 0 1 1 0.0015821
4 0 2 0 0.0000207
4 0 2 1 -0.0000010
4 0 2 2 -0.0001297
4 0 3 0 0.0239710
4 0 3 1 0.0001791
4 0 3 2 0.0000128
4 0 3 3 0.0045756
4 0 4 0 0.0131396
4 0 4 1 -0.0001347
4 0 4 2 0.0000074
4 0 4 3 0.0023249
4 0 4 4 0.0013757
4 1 0 0 0.0010629
4 1 1 0 0.0014507
4 1 1 1 -0.3587881
4 1 2 0 -0.0000001
4 1 2 1 0.0001711
4 1 2 2 0.0019579
4 1 3 0 0.0001775
4 1 3 1 -0.0206015
4 1 3 2 0.0000039
4 1 3 3 -0.0011189
4 1 4 0 -0.0001347
4 1 4 1 0.0437129
4 1 4 2 0.0000545
4 1 4 3 0.0032916
4 1 4 4 -0.0068802
4 2 0 0 -0.0031651
4 2 1 0 -0.0000403
4 2 1 1 0.0067947
4 2 2 0 -0.0000101
4 2 2 1 -0.0000473
4 2 2 2 -0.1003911
4 2 3 0 0.0000329
4 2 3 1 -0.0000122
4 2 3 2 -0.0059392
4 2 3 3 -0.0021515
4 2 4 0 0.0000074
4 2 4 1 0.0000545
4 2 4 2 0.0064701
4 2 4 3 -0.0044278
4 2 4 4 0.0048973
4 3 0 0 0.2956925
4 3 1 0 0.0023656
4 3 1 1 -0.2940976
4 3 2 0 -0.0000276
4 3 2 1 0.0001390
4 3 2 2 -0.0680251
4 3 3 0 0.0045863
4 3 3 1 -0.0015781
4 3 3 2 -0.0001156
4 3 3 3 0.0954142
4 3 4 0 0.0023249
4 3 4 1 0.0032916
4 3 4 2 -0.0044278
4 3 4 3 0.1529239
4 3 4 4 -0.1145377
4 4 0 0 0.4299208
4 4 1 0 -0.0016378
4 4 1 1 0.8376187
4 4 2 0 0.0000128
4 4 2 1 -0.0001905
4 4 2 2 0.5369682
4 4 3 0 0.0023297
4 4 3 1 0.0031262
4 4 3 2 -0.0006134
4 4 3 3 0.4401266
4 4 4 0 0.0013757
4 4 4 1 -0.0068802
4 4 4 2 0.0048973
4 4 4 3 -0.1145377
4 4 4 4 0.5993985
5 0 0 0 -0.0448252
5 0 1 0 -0.0001760
5 0 1 1 -0.0015858
5 0 2 0 0.0000156
5 0 2 1 0.0000001
5 0 2 2 -0.0047403
5 0 3 0 -0.0045997
5 0 3 1 0.0000083
5 0 3 2 0.0000984
5 0 3 3 -0.0044421
5 0 4 0 -0.0033151
5 0 4 1 -0.0000755
5 0 4 2 0.0000684
5 0 4 3 0.0005219
5 0 4 4 -0.0014973
5 0 5 0 0.0097377
5 0 5 1 0.0000193
5 0 5 2 0.0001368
5 0 5 3 -0.0132267
5 0 5 4 -0.0066532
5 0 5 5 0.0012466
5 1 0 0 -0.0008172
5 1 1 0 0.0004723
5 1 1 1 -0.1184888
5 1 2 0 0.0000001
5 1 2 1 0.0000519
5 1 2 2 -0.0018388
5 1 3 0 0.0000132
5 1 3 1 -0.0061627
5 1 3 2 0.0000132
5 1 3 3 -0.0019718
5 1 4 0 -0.0000667
5 1 4 1 0.0134653
5 1 4 2 -0.0000408
5 1 4 3 0.0022755
5 1 4 4 -0.0048515
5 1 5 0 0.0000193
5 1 5 1 0.0054987
5 1 5 2 -0.0000107
5 1 5 3 -0.0003521
5 1 5 4 0.0001522
5 1 5 5 -0.0004328
5 2 0 0 -0.0047321
5 2 1 0 -0.0000275
5 2 1 1 0.0022641
5 2 2 0 0.0000620
5 2 2 1 0.0000235
5 2 2 2 0.1557113
5 2 3 0 0.0000206
5 2 3 1 -0.0000147
5 2 3 2 0.0101641
5 2 3 3 -0.0031682
5 2 4 0 0.0000196
5 2 4 1 0.0000391
5 2 4 2 -0.0056608
5 2 4 3 -0.0034564
5 2 4 4 0.0029410
5 2 5 0 0.0001368
5 2 5 1 -0.0000107
5 2 5 2 0.0129003
5 2 5 3 -0.0015872
5 2 5 4 -0.0001832
5 2 5 5 -0.0032425
5 3 0 0 -0.0033111
5 3 1 0 0.0000061
5 3 1 1 -0.0034204
5 3 2 0 -0.0000361
5 3 2 1 0.0000170
5 3 2 2 0.1523768
5 3 3 0 -0.0019197
5 3 3 1 -0.0008361
5 3 3 2 -0.0009332
5 3 3 3 0.0418333
5 3 4 0 0.0001319
5 3 4 1 0.0016799
5 3 4 2 -0.0022277
5 3 4 3 -0.0186757
5 3 4 4 0.0256757
5 3 5 0 -0.0132267
5 3 5 1 -0.0003521
5 3 5 2 -0.0015872
5 3 5 3 0.1107712
5 3 5 4 0.0388173
5 3 5 5 0.0091463
5 4 0 0 -0.0743171
5 4 1 0 -0.0008697
5 4 1 1 0.1423973
5 4 2 0 -0.0000018
