NMONOMER	1
NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-40.374169
ENERGIES
-10.735330
-0.814471
-0.446277
-0.368270
-0.118352
0.260498
0.884465
0.914352
0.933040
965064.323782
965066.173206
996490.438477
1073373.200778

OEI
-19.548326	
0.346374	-5.313171	
0.091918	-0.030713	-4.716743	
0.016126	-0.014256	-0.002089	-4.625332	
0.156980	-0.102474	-0.005898	0.020412	-5.088291	
-0.047139	-0.024210	0.085065	0.127715	0.574204	-2.540043	
0.340685	-0.880839	-0.533433	-0.038965	0.292979	0.041775	-4.221807	
0.001025	0.033179	0.034555	-0.980159	-0.025485	-0.164626	0.003800	-4.421140	
-0.118725	0.527412	-0.743879	-0.019522	-0.043241	0.096317	-0.017522	-0.002166	-4.565602	
-0.000313	-0.004856	-0.020810	-0.105127	0.056971	-0.156304	-0.063812	-0.118622	-0.015256	965060.817636	
-0.000315	-0.043184	-0.017050	0.092448	0.174503	0.243196	-0.046334	0.060991	-0.030782	0.004506	965062.663872	
0.007149	0.022986	-0.007512	-0.005770	-0.009567	-0.053353	0.010764	0.007439	-0.029712	0.000542	0.002681	996486.429370	
0.021022	0.221005	-0.181814	-0.014023	-0.045630	-0.099987	-0.059759	0.018552	0.143750	-0.000337	0.025043	0.178683	1073370.177150	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
0.991749	0.038675	-0.007913	-0.007796	-0.000015	0.002321	-0.013525	-0.004489	0.005241	-0.002115	-0.000940	0.000039	-0.003290	
-0.202189	0.527688	0.184726	0.165075	-0.083018	-0.054665	0.139234	-0.078404	0.089081	-0.098593	0.175041	-0.056044	0.353325	
-0.054164	0.189897	0.366792	0.311392	0.052969	0.076380	-0.289376	0.066363	0.081732	0.400913	-0.163318	0.002773	-0.464039	
-0.009545	0.031841	-0.477043	0.504832	0.153905	0.011231	-0.084868	-0.374256	-0.294960	0.119694	0.109841	0.038901	-0.014994	
-0.097534	0.451082	-0.068168	-0.128112	0.298637	0.032787	-0.206793	0.539214	-0.709065	-0.064095	-0.171627	0.036858	0.042124	
0.028310	-0.160415	0.180765	-0.072797	1.302708	0.069697	-0.605473	-0.155868	0.124025	-0.016209	-0.115672	-0.586645	0.310754	
-0.218436	1.395674	-0.862634	-0.876271	0.114461	0.048475	-0.353334	-0.283495	0.481662	0.335229	-0.107141	-0.048160	-0.318754	
-0.000419	0.002543	0.827184	-0.828535	-0.177393	-0.010839	0.087598	-0.900864	-0.712493	0.242286	0.128089	0.158507	-0.063706	
0.078372	-0.542900	-0.196759	-0.201292	-0.014778	-0.115836	0.868083	0.340848	-0.040822	1.147090	0.343891	-0.151810	0.807311	
-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.929037	-0.037675	0.368064	
0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000001	-0.000000	-0.000000	-0.000000	0.022831	0.987069	0.158664	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215515	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096221	
