NMONOMER	1
NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-41.365004
ENERGIES
-10.718872
-0.793766
-0.395304
-0.384916
-0.290919
0.508089
0.874249
0.891370
1.055397
965064.575192
965066.464533
996490.789747
1073373.506156

OEI
-19.712478	
0.405748	-5.469535	
-0.005639	0.061046	-4.911680	
-0.008874	0.016951	0.003523	-4.747838	
-0.092183	0.255262	0.086607	-0.020692	-5.348884	
0.032804	-0.058085	-0.106972	-0.025325	0.138113	-2.171565	
0.228066	-0.589097	-0.652315	0.393811	-0.398423	-0.033570	-4.401977	
0.084150	-0.231537	-0.304333	-0.932171	-0.143889	-0.506999	0.045615	-4.386059	
0.258624	-0.727312	0.707276	-0.050943	-0.339802	-0.008030	0.061944	0.016795	-4.153039	
0.000124	-0.004676	0.018002	-0.107481	0.091219	-0.153676	0.115251	-0.072052	0.014430	965061.134094	
0.000087	0.009264	0.011427	0.096918	0.145526	0.278120	0.032233	0.061323	-0.001524	0.002692	965063.023000	
-0.007571	-0.022279	0.016656	-0.003784	-0.005416	-0.051558	0.000613	0.013992	-0.028347	0.000757	0.001686	996486.916247	
-0.022100	-0.165511	0.213626	-0.011100	-0.058180	-0.104286	-0.028532	0.008160	0.191734	0.004436	0.014193	0.168462	1073370.557374	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
-0.991548	-0.039300	0.007953	0.007927	0.000008	-0.002282	0.013074	0.003276	-0.003819	0.001192	0.000942	-0.000229	0.002822	
0.232937	-0.685556	-0.212452	-0.201391	0.040900	0.026424	-0.015236	-0.040756	0.058413	0.037461	-0.089382	0.019611	-0.206454	
-0.003720	0.015391	-0.284783	-0.265775	-0.049596	-0.070227	0.188463	-0.146364	-0.008319	-0.547974	0.152544	-0.013269	0.425148	
-0.005457	0.026386	-0.485217	0.474552	0.100357	0.007630	-0.055657	-0.373998	-0.332568	0.111408	0.114243	0.069364	-0.023239	
-0.059485	0.373709	-0.189178	-0.232716	0.088859	0.023360	-0.093491	0.561005	-0.697779	-0.035939	-0.166883	0.133830	-0.032983	
0.019591	-0.130774	0.265009	-0.099798	1.314058	0.075078	-0.630771	-0.146890	-0.089028	-0.029860	-0.132848	-0.548227	0.293577	
0.142069	-0.891284	0.462963	1.130800	-0.024209	0.016677	-0.119878	0.468863	-0.130321	-0.838101	-0.119376	0.054009	-0.076716	
0.052450	-0.324322	1.078667	-0.428493	-0.326809	-0.006451	0.066588	-0.777716	-0.806654	-0.124448	0.083658	0.250691	-0.167042	
0.165274	-1.122536	0.234711	0.181095	-0.090360	-0.136294	0.970320	0.387093	-0.290719	0.801172	0.383799	-0.105185	0.922593	
-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.928754	-0.027541	0.369673	
0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.032366	0.987404	0.154878	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215516	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096221	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.014391	-0.882584	0.000000	0.000000	-0.000000	0.171046	-0.072166	0.424342	

ERI
0 0 0 0 3.4987272
1 0 0 0 -0.3109943
1 0 1 0 0.0432708
1 0 1 1 -0.0110364
1 1 0 0 0.7350804
1 1 1 0 -0.0110364
1 1 1 1 0.5227690
2 0 0 0 0.0050027
2 0 1 0 -0.0011584
2 0 1 1 -0.0010569
2 0 2 0 0.0089379
2 0 2 1 0.0148285
2 0 2 2 -0.0035419
2 1 0 0 -0.0171520
2 1 1 0 -0.0003940
2 1 1 1 -0.0131909
2 1 2 0 0.0148285
2 1 2 1 0.1179751
2 1 2 2 -0.0497960
2 2 0 0 0.6461230
2 2 1 0 -0.0044859
2 2 1 1 0.5051733
2 2 2 0 -0.0035419
2 2 2 1 -0.0497960
2 2 2 2 0.5374191
3 0 0 0 0.0071756
3 0 1 0 -0.0009718
3 0 1 1 0.0005174
3 0 2 0 -0.0000621
3 0 2 1 -0.0000643
3 0 2 2 0.0004017
3 0 3 0 0.0074407
3 0 3 1 0.0126624
3 0 3 2 0.0035113
3 0 3 3 -0.0002209
3 1 0 0 -0.0056294
3 1 1 0 0.0003205
3 1 1 1 0.0008683
3 1 2 0 -0.0000666
3 1 2 1 0.0011505
3 1 2 2 0.0019602
3 1 3 0 0.0126624
3 1 3 1 0.1122182
3 1 3 2 0.0582873
3 1 3 3 -0.0016848
3 2 0 0 -0.0013415
3 2 1 0 0.0000663
3 2 1 1 0.0009554
3 2 2 0 -0.0000464
3 2 2 1 0.0024967
3 2 2 2 0.0003467
3 2 3 0 0.0035113
3 2 3 1 0.0582873
3 2 3 2 0.0505221
3 2 3 3 0.0010525
3 3 0 0 0.6052166
3 3 1 0 -0.0041740
3 3 1 1 0.4859694
3 3 2 0 0.0036622
3 3 2 1 0.0511569
3 3 2 2 0.4496447
3 3 3 0 -0.0002209
3 3 3 1 -0.0016848
3 3 3 2 0.0010525
3 3 3 3 0.5301872
4 0 0 0 0.0780128
4 0 1 0 -0.0119478
4 0 1 1 0.0027434
4 0 2 0 -0.0010420
4 0 2 1 -0.0013876
4 0 2 2 0.0045159
4 0 3 0 0.0006202
4 0 3 1 0.0003282
4 0 3 2 -0.0001116
4 0 3 3 0.0044873
4 0 4 0 0.0209415
4 0 4 1 0.0213610
4 0 4 2 0.0007200
4 0 4 3 -0.0007476
4 0 4 4 -0.0075234
4 1 0 0 -0.0833995
4 1 1 0 0.0022219
4 1 1 1 -0.0199805
4 1 2 0 -0.0012293
4 1 2 1 0.0006522
4 1 2 2 0.0031072
4 1 3 0 0.0002493
4 1 3 1 0.0002617
4 1 3 2 -0.0017324
4 1 3 3 0.0141152
4 1 4 0 0.0213610
4 1 4 1 0.1030400
4 1 4 2 0.0097582
4 1 4 3 -0.0053349
4 1 4 4 -0.0684403
4 2 0 0 -0.0239927
4 2 1 0 0.0005034
4 2 1 1 -0.0075561
4 2 2 0 -0.0004336
4 2 2 1 0.0182832
4 2 2 2 -0.0183217
4 2 3 0 -0.0001522
4 2 3 1 -0.0019774
4 2 3 2 -0.0002330
4 2 3 3 0.0152475
4 2 4 0 0.0007200
4 2 4 1 0.0097582
4 2 4 2 0.0280857
4 2 4 3 -0.0022665
4 2 4 4 -0.0122474
4 3 0 0 0.0069458
4 3 1 0 -0.0001756
4 3 1 1 0.0018495
4 3 2 0 -0.0001116
4 3 2 1 -0.0020129
4 3 2 2 0.0017671
4 3 3 0 0.0001896
4 3 3 1 0.0284050
4 3 3 2 0.0234317
4 3 3 3 -0.0023015
4 3 4 0 -0.0007476
4 3 4 1 -0.0053349
4 3 4 2 -0.0022665
4 3 4 3 0.0338421
4 3 4 4 0.0025787
4 4 0 0 0.8018983
4 4 1 0 -0.0087804
4 4 1 1 0.5387166
4 4 2 0 0.0014290
4 4 2 1 0.0008192
4 4 2 2 0.4912299
4 4 3 0 -0.0001843
4 4 3 1 -0.0062395
4 4 3 2 -0.0025972
4 4 3 3 0.4779419
4 4 4 0 -0.0075234
4 4 4 1 -0.0684403
4 4 4 2 -0.0122474
4 4 4 3 0.0025787
4 4 4 4 0.6250265
5 0 0 0 -0.0259482
5 0 1 0 0.0036162
5 0 1 1 -0.0010948
5 0 2 0 0.0008739
5 0 2 1 0.0015308
5 0 2 2 -0.0008777
5 0 3 0 0.0016680
5 0 3 1 0.0027428
5 0 3 2 0.0006054
5 0 3 3 -0.0002275
5 0 4 0 -0.0014001
5 0 4 1 -0.0003138
5 0 4 2 -0.0000878
5 0 4 3 -0.0000558
5 0 4 4 -0.0004814
5 0 5 0 0.0007127
5 0 5 1 0.0004159
5 0 5 2 -0.0003107
5 0 5 3 -0.0000632
5 0 5 4 -0.0001996
5 0 5 5 0.0003549
5 1 0 0 0.0196524
5 1 1 0 -0.0009142
5 1 1 1 0.0035133
5 1 2 0 0.0009520
5 1 2 1 0.0032672
5 1 2 2 0.0008222
5 1 3 0 0.0013398
5 1 3 1 -0.0009629
5 1 3 2 -0.0072567
5 1 3 3 -0.0002017
5 1 4 0 -0.0004504
5 1 4 1 -0.0047360
5 1 4 2 -0.0022892
5 1 4 3 -0.0047091
5 1 4 4 0.0091083
5 1 5 0 0.0004159
5 1 5 1 0.0056597
5 1 5 2 -0.0022317
5 1 5 3 0.0037583
5 1 5 4 0.0020119
5 1 5 5 0.0140692
5 2 0 0 0.0225990
5 2 1 0 -0.0004096
5 2 1 1 0.0096684
5 2 2 0 0.0004180
5 2 2 1 -0.0022559
5 2 2 2 0.0104973
5 2 3 0 -0.0012618
5 2 3 1 -0.0170824
5 2 3 2 -0.0074645
5 2 3 3 0.0033607
5 2 4 0 -0.0005253
5 2 4 1 -0.0056666
5 2 4 2 -0.0015689
5 2 4 3 -0.0059546
5 2 4 4 0.0122444
5 2 5 0 -0.0003107
5 2 5 1 -0.0022317
5 2 5 2 0.0095140
5 2 5 3 0.0006829
5 2 5 4 -0.0018791
5 2 5 5 -0.0203800
5 3 0 0 0.0186051
5 3 1 0 -0.0006288
5 3 1 1 -0.0019203
5 3 2 0 -0.0010200
5 3 2 1 -0.0161381
5 3 2 2 -0.0009287
5 3 3 0 0.0001842
5 3 3 1 -0.0055542
5 3 3 2 -0.0051325
5 3 3 3 -0.0178967
5 3 4 0 -0.0003680
5 3 4 1 -0.0077848
5 3 4 2 -0.0061621
5 3 4 3 -0.0026693
5 3 4 4 0.0019246
5 3 5 0 -0.0000632
5 3 5 1 0.0037583
5 3 5 2 0.0006829
5 3 5 3 0.0107359
5 3 5 4 0.0046147
5 3 5 5 0.0437762
5 4 0 0 -0.0254282
5 4 1 0 0.0004145
5 4 1 1 -0.0142570
5 4 2 0 -0.0006774
5 4 2 1 -0.0058193
5 4 2 2 -0.0101631
5 4 3 0 -0.0006967
5 4 3 1 -0.0078161
5 4 3 2 -0.0062082
5 4 3 3 -0.0137669
5 4 4 0 0.0017614
5 4 4 1 0.0081959
5 4 4 2 0.0007600
5 4 4 3 -0.0010959
5 4 4 4 -0.0193136
5 4 5 0 -0.0001996
5 4 5 1 0.0020119
5 4 5 2 -0.0018791
5 4 5 3 0.0046147
5 4 5 4 0.0061681
5 4 5 5 0.0336498
5 5 0 0 0.2732732
5 5 1 0 -0.0002362
5 5 1 1 0.2728692
5 5 2 0 -0.0029487
5 5 2 1 -0.0567101
5 5 2 2 0.3041912
5 5 3 0 0.0016898
5 5 3 1 0.0245673
5 5 3 2 0.0057027
5 5 3 3 0.2475651
5 5 4 0 0.0024082
5 5 4 1 0.0200474
5 5 4 2 -0.0176684
5 5 4 3 0.0117457
5 5 4 4 0.2576731
5 5 5 0 0.0003549
5 5 5 1 0.0140692
5 5 5 2 -0.0203800
5 5 5 3 0.0437762
5 5 5 4 0.0336498
5 5 5 5 0.7181349
6 0 0 0 -0.1860392
6 0 1 0 0.0253119
6 0 1 1 -0.0076786
6 0 2 0 0.0081454
6 0 2 1 0.0133033
6 0 2 2 -0.0039206
6 0 3 0 -0.0055840
6 0 3 1 -0.0075312
6 0 3 2 -0.0020313
6 0 3 3 0.0027492
6 0 4 0 0.0009979
6 0 4 1 0.0109987
6 0 4 2 -0.0000833
6 0 4 3 -0.0004363
6 0 4 4 -0.0077708
6 0 5 0 0.0017208
6 0 5 1 -0.0008079
6 0 5 2 0.0007339
6 0 5 3 -0.0017108
6 0 5 4 0.0009603
6 0 5 5 -0.0027845
6 0 6 0 0.0322084
6 0 6 1 0.0078119
6 0 6 2 0.0015987
6 0 6 3 0.0019040
6 0 6 4 -0.0019797
6 0 6 5 0.0007885
6 0 6 6 0.0108157
6 1 0 0 0.1538130
6 1 1 0 -0.0068525
6 1 1 1 0.0453723
6 1 2 0 0.0064952
6 1 2 1 0.0111556
6 1 2 2 0.0441052
6 1 3 0 -0.0037843
6 1 3 1 -0.0094809
6 1 3 2 0.0041296
6 1 3 3 0.0185039
6 1 4 0 0.0068899
6 1 4 1 0.0017101
6 1 4 2 -0.0152228
6 1 4 3 0.0093401
6 1 4 4 0.0582459
6 1 5 0 -0.0009005
6 1 5 1 0.0013192
6 1 5 2 0.0053558
6 1 5 3 0.0053514
6 1 5 4 -0.0014408
6 1 5 5 0.0074899
6 1 6 0 0.0078119
6 1 6 1 0.0571518
6 1 6 2 0.0402147
6 1 6 3 -0.0272296
6 1 6 4 0.0194085
6 1 6 5 0.0045683
6 1 6 6 0.0480700
6 2 0 0 0.1582914
6 2 1 0 -0.0038526
6 2 1 1 0.0510752
6 2 2 0 0.0056016
6 2 2 1 0.0127055
6 2 2 2 0.0440130
6 2 3 0 0.0008945
6 2 3 1 0.0140974
6 2 3 2 0.0066035
6 2 3 3 0.0177936
6 2 4 0 -0.0018154
6 2 4 1 -0.0311891
6 2 4 2 -0.0065124
6 2 4 3 0.0098204
6 2 4 4 0.0693213
6 2 5 0 0.0005360
6 2 5 1 0.0052689
6 2 5 2 0.0025671
6 2 5 3 0.0059890
6 2 5 4 -0.0045890
6 2 5 5 0.0008546
6 2 6 0 0.0015987
6 2 6 1 0.0402147
6 2 6 2 0.0573899
6 2 6 3 -0.0342243
6 2 6 4 0.0182105
6 2 6 5 0.0058493
6 2 6 6 0.0412690
6 3 0 0 -0.0968449
6 3 1 0 0.0022428
6 3 1 1 -0.0332555
6 3 2 0 0.0005543
6 3 2 1 0.0150383
6 3 2 2 -0.0272142
6 3 3 0 0.0010871
6 3 3 1 -0.0468800
6 3 3 2 -0.0365715
6 3 3 3 -0.0085982
6 3 4 0 0.0008628
6 3 4 1 0.0211354
6 3 4 2 0.0108337
6 3 4 3 -0.0279148
6 3 4 4 -0.0386532
6 3 5 0 0.0004082
6 3 5 1 0.0047551
6 3 5 2 0.0077558
6 3 5 3 -0.0014287
6 3 5 4 0.0069113
6 3 5 5 -0.0224044
