NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.171924
ENERGIES
-20.261740
-20.182397
-11.119850
-1.338123
-1.259171
-0.691065
-0.511432
-0.506208
-0.451507
-0.324124
-0.305806
0.376564
0.640187
0.835157
1.051166
1000000.607553

OEI
-36.096018	
0.000227	-36.033445	
-0.000154	0.003789	-23.927556	
-0.407210	-0.328545	-0.147684	-11.573993	
0.372903	-0.412419	-0.061825	-0.196709	-11.410159	
-0.104233	-0.186421	0.163248	0.555949	-0.406729	-10.250856	
-0.003908	-0.044939	0.014302	0.006106	0.060769	-0.015653	-10.333341	
-0.086762	0.272036	-0.047099	-0.087561	-0.396031	-0.032662	0.023038	-10.550296	
-0.219066	-0.094884	0.041119	-0.036943	0.452817	-0.376599	0.009825	-0.006462	-10.280234	
-0.001171	-0.005025	-0.002257	0.020680	-0.026962	-0.003589	0.201300	0.020778	-0.010193	-10.663033	
0.016205	-0.007939	0.033564	-0.155188	0.253021	0.077973	0.033730	0.009770	-0.019941	0.014558	-10.740459	
0.001891	0.001489	0.004493	-0.009644	-0.012364	0.008324	0.578267	0.075006	-0.039103	0.234451	0.036677	-9.937738	
0.300240	0.039408	-0.076950	0.904155	-0.692103	1.192975	-0.064724	0.004901	-1.154887	0.012953	-0.029026	0.019760	-8.497663	
0.067232	0.030849	-0.154849	0.235014	-0.011539	-0.759237	0.060390	-0.201529	0.581456	-0.006587	0.058575	-0.002145	-0.954291	-10.257937	
-0.041017	0.221874	-0.110222	0.353658	0.766522	0.035133	-0.013341	0.218148	0.099827	0.009237	-0.059766	0.004715	-0.254618	-0.174046	-10.343312	
-0.007644	-0.048915	-0.215297	0.270052	0.117269	-0.170786	-0.028273	0.098305	-0.116024	0.007310	-0.091007	-0.007859	0.257072	0.116969	0.166199	999991.629586	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
0.018276	0.090556	-0.000061	-0.002840	0.000000	0.000000	0.000803	0.141306	0.183748	0.005094	-0.004520	0.007747	-0.002077	0.000000	1.000000	
-0.002315	-0.011471	-0.000314	-0.014620	0.000000	0.000000	-0.002907	-0.017899	0.005094	0.223319	-0.023265	-0.002077	-0.002542	0.000000	0.000000	1.000000	

MOCOEFF
-0.000351	0.004231	-0.994006	-0.027333	0.003351	-0.000187	0.006009	-0.002570	-0.002992	-0.004261	0.000477	-0.003001	-0.003381	0.000227	0.000307	0.000432	
0.000348	0.002707	-0.003285	-0.000478	-0.994158	-0.027164	0.000116	0.009767	-0.007757	-0.004931	-0.000431	0.000161	0.000029	0.006059	-0.001761	0.000151	
-0.997095	-0.012417	-0.000186	0.004351	0.000557	0.005539	0.001491	-0.010632	0.018750	0.016366	0.002057	0.000443	0.001212	-0.001095	0.000101	-0.000274	
-0.113019	0.220113	-0.171359	0.605276	-0.137796	0.469225	0.089316	0.073219	-0.118303	-0.101944	0.016291	0.066905	0.083547	-0.120347	0.027575	-0.007698	
-0.047615	0.109618	0.155346	-0.559208	-0.174594	0.606912	-0.104487	0.198111	0.000594	0.073985	0.034023	-0.059116	-0.056549	-0.119087	0.049720	0.019177	
0.122248	-0.412166	-0.031280	0.140901	-0.074136	0.336862	0.361067	0.120355	0.128043	0.191576	-0.500993	-0.022267	-0.190616	0.178896	0.038542	0.117392	
0.011620	-0.036807	-0.002293	0.010848	-0.016933	0.086453	-0.021941	0.069173	0.372419	-0.339674	0.155042	0.449613	-0.380303	0.172652	0.251223	-0.268694	
-0.045003	0.129739	-0.029964	0.158304	0.100787	-0.531739	0.041374	0.412521	0.019526	0.072615	-0.086269	-0.154426	-0.320392	-0.542761	0.296627	0.047996	
0.044427	-0.103832	-0.093847	0.482281	-0.031712	0.167655	-0.348371	-0.065269	0.101059	0.126824	0.315661	-0.489821	-0.411496	0.296951	0.038760	0.196750	
-0.000765	0.012327	0.000195	-0.002167	-0.002491	0.010138	0.005428	0.054206	0.199534	-0.157601	-0.166525	-0.567441	0.423180	0.137933	0.377432	-0.490838	
0.016876	-0.137575	-0.000116	0.002690	0.001495	0.005237	-0.020724	0.024915	-0.069005	-0.126166	0.096372	0.166573	0.351225	0.127238	0.660099	0.653838	
0.002399	-0.012809	0.000588	-0.004232	0.000284	-0.000811	0.010184	0.204804	0.625299	-0.566770	-0.070286	-0.254026	0.226917	-0.170840	-0.508986	0.455713	
