NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-168.570762
ENERGIES
-19.922046
-19.600413
-8.138262
-1.017847
-0.812525
-0.352695
-0.195741
-0.180856
-0.057575
0.035106
0.087075
0.870003
0.877818
1.372567
1.665187
1000000.990072

OEI
-35.810987	
-0.000331	-35.670866	
0.002067	0.003197	-20.552770	
-0.567851	0.051634	0.074701	-10.816913	
-0.056137	-0.587799	-0.146324	0.137263	-11.113463	
0.066658	0.112912	-0.170291	0.958894	0.118148	-9.740427	
-0.215998	-0.032047	-0.030091	-0.068579	-0.090631	-0.475707	-10.162623	
-0.026057	-0.013136	0.005197	-0.015580	-0.010713	-0.064808	0.019385	-10.323011	
0.059744	-0.232270	0.116435	0.174050	0.521951	0.151788	-0.075993	-0.002808	-10.274731	
-0.003385	-0.001833	0.001762	-0.008187	-0.010183	-0.005556	-0.027615	0.228456	-0.001472	-10.176289	
-0.037207	-0.000090	-0.062762	-0.253958	-0.129557	0.065321	0.080286	0.001712	0.009231	-0.007645	-10.407888	
0.262738	-0.021103	0.033414	1.118018	0.121355	1.526015	-0.819870	-0.186546	0.439889	-0.098804	-0.139818	-8.397344	
0.040841	-0.004584	0.013925	0.179914	0.004152	0.232242	-0.201246	0.463358	0.065551	0.516917	-0.037275	0.106049	-9.122171	
0.156939	-0.026504	0.225817	0.427627	-0.062344	-0.618478	-0.107417	-0.017723	-0.171514	-0.004174	-0.015610	-0.151290	-0.030656	-9.788655	
-0.015050	-0.243718	0.169618	-0.039265	-0.829933	-0.000979	0.182508	0.029426	0.359432	-0.005449	-0.027704	-0.063998	-0.020952	-0.288970	-9.639460	
0.008058	-0.052114	-0.225482	-0.119040	0.214954	0.108892	0.053081	-0.004816	-0.183968	-0.001129	0.138958	-0.198322	-0.042532	-0.190871	-0.198398	999992.181730	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
0.018276	0.090556	-0.000061	-0.002840	0.000000	0.000000	0.000803	0.141306	0.183748	0.005094	-0.004520	0.007747	-0.002077	0.000000	1.000000	
-0.002315	-0.011471	-0.000314	-0.014620	0.000000	0.000000	-0.002907	-0.017899	0.005094	0.223319	-0.023265	-0.002077	-0.002542	0.000000	0.000000	1.000000	

MOCOEFF
-0.000280	0.004070	-0.993940	-0.027613	0.000834	-0.000252	0.006240	-0.002448	-0.002945	-0.004162	0.000989	-0.002844	-0.003042	0.000243	0.000292	0.000421	
-0.000383	-0.002654	0.000769	0.000396	0.993962	0.027939	-0.000088	-0.009769	0.007736	0.004910	0.000432	-0.000166	-0.000036	-0.005610	0.001675	-0.000099	
0.986209	0.056503	0.001206	-0.014965	0.000014	-0.019112	-0.004818	0.020420	-0.036319	-0.031893	-0.007552	-0.002637	-0.005581	0.006479	-0.001592	0.000546	
-0.049481	0.029735	-0.234702	0.844247	-0.020682	0.075421	0.205913	-0.021003	-0.061108	-0.073602	-0.039996	0.069085	0.070226	-0.021609	-0.004321	-0.012089	
0.099088	-0.143247	-0.022183	0.075881	0.239689	-0.863105	0.049266	-0.147492	0.040122	-0.011122	-0.050550	0.010852	-0.005309	0.098684	-0.047256	-0.020690	
0.104856	-0.252344	0.042856	-0.224912	-0.044203	0.186902	0.520292	0.119949	0.050148	0.104392	-0.570372	0.001644	-0.178185	0.099619	0.028761	0.072129	
0.027637	-0.011586	-0.082054	0.428655	0.012793	-0.072870	-0.261966	0.123904	0.121045	0.118407	0.039725	-0.449312	-0.695634	-0.011402	0.120915	0.088717	
-0.001804	0.014675	-0.010036	0.053347	0.005104	-0.026286	-0.036257	-0.040203	-0.167321	0.187109	-0.181274	-0.732228	0.479884	-0.057195	-0.111150	0.134995	
-0.097744	0.187193	0.027935	-0.141098	0.077765	-0.424517	0.166152	0.288972	-0.087331	0.005314	-0.104062	0.056250	-0.004471	-0.748640	0.210518	-0.038545	
-0.000472	0.001592	-0.001470	0.008381	0.001034	-0.004360	-0.007371	-0.078354	-0.246928	0.225842	0.083312	0.281941	-0.237831	-0.180978	-0.573404	0.548300	
0.037266	-0.188802	-0.021663	0.120286	0.004685	-0.011868	-0.053787	0.074217	-0.056405	-0.047112	0.108663	0.153729	0.224250	0.115305	0.640117	0.717835	
-0.034425	0.141262	0.104064	-0.696422	0.012971	-0.071751	1.080762	-0.001788	0.034508	-0.186612	0.737456	-0.418656	-0.181884	0.096619	-0.035134	0.138300	
-0.009853	0.042159	0.016431	-0.109506	0.002849	-0.015840	0.162146	-0.226996	-0.687608	0.596018	0.174591	0.149644	-0.224024	0.163729	0.430869	-0.371261	
-0.182931	0.855057	0.088649	-0.608436	0.016783	-0.080050	-0.192482	-0.559998	-0.430421	-0.698717	-0.633449	-0.206622	-0.452804	0.132040	0.155680	0.227667	
-0.156277	0.918883	-0.005814	0.059015	0.126220	-0.977220	-0.022771	1.124563	-0.264284	0.093440	-0.110804	0.123640	0.103195	0.876461	-0.253939	0.027996	
0.117784	-0.542251	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.323595	-0.592177	-0.518102	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

ERI
0 0 0 0 4.7431716
1 0 0 0 -0.0035595
1 0 1 0 0.0000059
1 0 1 1 0.0037284
1 1 0 0 0.2407842
1 1 1 0 0.0037284
1 1 1 1 4.7427467
2 0 0 0 -0.0020912
