NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-181.656453
ENERGIES
-20.249052
-20.167088
-11.090776
-1.320388
-1.238141
-0.676578
-0.492395
-0.485071
-0.437621
-0.302875
-0.283224
0.400515
0.645527
0.850593
1.074099
1000000.617205

OEI
-36.088734	
0.000124	-35.992566	
-0.000169	0.003784	-23.899346	
0.439577	0.289506	0.140987	-11.514004	
-0.334433	0.438981	0.076559	-0.201174	-11.414443	
0.096464	0.181454	-0.160967	0.601303	-0.377055	-10.222781	
-0.011505	-0.040628	0.013053	0.012397	-0.068036	0.016553	-10.330170	
0.101797	-0.266597	0.047462	-0.068530	-0.363825	-0.078297	-0.021266	-10.519813	
-0.216157	-0.118530	0.046377	0.066708	-0.473304	0.379270	0.015345	-0.011193	-10.260771	
-0.004479	0.001849	0.000148	-0.002569	-0.005519	0.004999	-0.240702	0.023318	0.021423	-10.606990	
-0.009662	0.013201	-0.035894	-0.178090	0.248779	0.081745	-0.006623	0.007500	0.000488	0.003697	-10.705392	
-0.002225	-0.001033	0.006575	0.027980	0.001659	-0.008497	0.562648	-0.063323	-0.038730	-0.265143	-0.006150	-9.920480	
0.298387	0.037061	-0.072968	-0.958742	0.616828	-1.226254	-0.082267	0.103979	-1.149775	-0.016196	0.047052	0.010023	-8.482505	
0.075487	0.030549	-0.156763	-0.255106	0.003367	0.744608	0.082474	0.146955	0.551996	-0.002081	-0.069381	0.022269	-0.880680	-10.293827	
-0.039073	0.221703	-0.112060	-0.286030	-0.787760	-0.044368	-0.007692	-0.220913	0.084468	-0.005025	0.054210	0.011813	-0.235964	-0.184058	-10.314994	
-0.007647	-0.048695	-0.215148	-0.256965	-0.142876	0.163777	-0.027474	-0.093784	-0.123902	-0.000311	0.093713	-0.011932	0.252861	0.122645	0.169877	999991.638115	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
