NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.736103
ENERGIES
-11.065305
-0.785290
-0.519156
-0.516666
0.706955
0.706996
0.736501
1000000.630253

OEI
-18.440287	
0.257834	-4.473218	
0.004690	-0.002195	-4.040064	
-0.000000	0.000000	0.000000	-4.044176	
-0.000000	0.000000	-0.000000	0.790148	-3.512056	
-0.043064	0.144282	-0.777823	-0.000000	-0.000000	-3.519538	
0.303117	-0.913248	-0.127647	-0.000000	-0.000000	-0.010961	-3.413049	
-0.159862	-0.149659	-0.002860	0.000000	-0.000000	-0.000030	-0.002350	999996.205820	

ENV_OEI
-4.828075	
0.500451	-0.288790	
0.009676	0.003451	-0.181951	
-0.000000	0.000000	-0.000000	-0.179582	
-0.000000	0.000000	-0.000000	0.136487	-0.256931	
-0.089456	0.036892	-0.129430	-0.000000	-0.000000	-0.261795	
0.636046	-0.235464	-0.023501	-0.000000	0.000000	0.016621	-0.343382	
-0.311972	-0.004815	-0.007040	-0.000000	-0.000000	-0.009704	0.018451	-0.273650	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996671	-0.016870	0.006489	0.006562	0.006489	0.027079	-0.000000	-0.000112	
0.175630	-0.464317	-0.240865	-0.252906	-0.240865	0.384752	0.000000	-0.011026	
0.003218	-0.009144	-0.254631	0.497546	-0.254631	0.007176	-0.000000	0.561180	
-0.000000	-0.000000	0.430022	0.000000	-0.430022	-0.000000	0.566822	0.000000	
-0.000000	0.000000	0.858215	-0.000000	-0.858215	-0.000000	-1.101033	0.000000	
-0.031504	0.197935	0.383374	-1.084488	0.383375	-0.071898	0.000000	1.092904	
0.222022	-1.394086	0.812502	0.603168	0.812502	0.507820	0.000000	0.155165	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	0.000000	-0.000000	

ERI
0 0 0 0 3.5237663
1 0 0 0 -0.2323009
1 0 1 0 0.0280932
1 0 1 1 0.0030255
1 1 0 0 0.6877278
1 1 1 0 0.0030255
1 1 1 1 0.5645969
2 0 0 0 -0.0041938
2 0 1 0 0.0003539
2 0 1 1 -0.0003525
2 0 2 0 0.0081018
2 0 2 1 0.0112780
2 0 2 2 -0.0024582
2 1 0 0 0.0009756
2 1 1 0 -0.0001350
2 1 1 1 -0.0029042
2 1 2 0 0.0112780
2 1 2 1 0.1148988
2 1 2 2 -0.0493135
2 2 0 0 0.6287985
