NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.736272
ENERGIES
-11.065329
-0.785303
-0.519168
-0.516679
0.706941
0.706982
0.736488
1000000.630238

OEI
-18.440325	
-0.257835	-4.473240	
-0.004690	-0.002195	-4.040087	
-0.000000	-0.000000	0.000000	-4.044199	
-0.000000	-0.000000	0.000000	0.790151	-3.512067	
0.043056	0.144256	-0.777831	0.000000	0.000000	-3.519547	
-0.303117	-0.913255	-0.127624	-0.000000	0.000000	-0.010960	-3.413057	
-0.159862	0.149659	0.002859	-0.000000	-0.000000	0.000030	0.002349	999996.205799	

ENV_OEI
-4.828112	
-0.500454	-0.288808	
-0.009674	0.003451	-0.181967	
-0.000000	-0.000000	0.000000	-0.179599	
-0.000000	-0.000000	0.000000	0.136493	-0.256947	
0.089438	0.036887	-0.129438	0.000000	0.000000	-0.261810	
-0.636048	-0.235471	-0.023498	-0.000000	-0.000000	0.016618	-0.343397	
-0.311972	0.004815	0.007040	-0.000000	-0.000000	0.009703	-0.018452	-0.273671	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996671	0.016869	-0.006489	-0.006562	-0.006489	-0.027079	0.000000	0.000112	
0.175631	-0.464322	-0.240863	-0.252902	-0.240863	0.384754	0.000000	-0.011025	
0.003217	-0.009142	-0.254628	0.497541	-0.254628	0.007175	-0.000000	0.561186	
0.000000	-0.000000	-0.430018	-0.000000	0.430018	0.000000	-0.566826	-0.000000	
0.000000	-0.000000	-0.858217	0.000000	0.858217	0.000000	1.101030	-0.000000	
-0.031498	0.197897	0.383397	-1.084474	0.383398	-0.071884	0.000000	1.092905	
0.222022	-1.394090	0.812492	0.603198	0.812492	0.507821	-0.000000	0.155136	
