NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.693219
ENERGIES
-11.059236
-0.782021
-0.516047
-0.513368
0.710455
0.710591
0.739668
1000000.634563

OEI
-18.430739	
-0.257475	-4.467536	
-0.004912	-0.002457	-4.033997	
0.000000	-0.000000	-0.000000	-4.038259	
-0.045633	-0.152304	0.775548	-0.000000	-3.517404	
0.000000	0.000000	-0.000000	-0.789208	0.000000	-3.509337	
0.302894	0.911341	0.134651	-0.000000	-0.011447	0.000000	-3.410910	
-0.159813	0.149582	0.002975	0.000000	0.000012	0.000000	-0.002516	999996.211728	

ENV_OEI
-4.818510	
-0.499673	-0.284342	
-0.010124	0.003582	-0.177781	
0.000000	-0.000000	0.000000	-0.175188	
-0.094801	-0.038604	0.127254	-0.000000	-0.258194	
0.000000	0.000000	-0.000000	-0.134840	0.000000	-0.252688	
0.635493	0.233592	0.024617	-0.000000	0.017661	-0.000000	-0.339595	
-0.312183	0.004786	0.007142	-0.000000	-0.009888	0.000000	0.018047	-0.267742	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996665	0.016897	-0.006496	-0.006571	-0.006496	-0.027092	-0.000000	0.000115	
0.175442	-0.463062	-0.241310	-0.254003	-0.241310	0.384292	-0.000000	-0.011324	
0.003373	-0.009679	-0.255405	0.498917	-0.255405	0.007522	-0.000000	0.559567	
-0.000000	0.000000	-0.431021	-0.000000	0.431021	-0.000000	-0.565539	-0.000000	
0.033390	-0.209628	-0.376272	1.088693	-0.376272	0.076199	-0.000000	-1.092393	
-0.000000	0.000000	0.857714	-0.000000	-0.857714	-0.000000	-1.101692	0.000000	
-0.221918	1.392790	-0.815442	-0.593927	-0.815442	-0.507536	-0.000000	-0.164293	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237364
1 0 0 0 0.2320710
1 0 1 0 0.0280366
1 0 1 1 -0.0030248
1 1 0 0 0.6872383
1 1 1 0 -0.0030248
1 1 1 1 0.5642250
2 0 0 0 0.0043981
2 0 1 0 0.0003738
2 0 1 1 0.0003637
2 0 2 0 0.0080660
2 0 2 1 -0.0112435
2 0 2 2 0.0024451
2 1 0 0 0.0010818
2 1 1 0 0.0001391
2 1 1 1 -0.0030067
2 1 2 0 -0.0112435
2 1 2 1 0.1150538
2 1 2 2 -0.0493731
2 2 0 0 0.6280759
2 2 1 0 0.0013954
2 2 1 1 0.5018827
2 2 2 0 0.0024451
2 2 2 1 -0.0493731
2 2 2 2 0.5316939
3 0 0 0 -0.0000000
3 0 1 0 -0.0000000
3 0 1 1 -0.0000000
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0000000
3 0 3 0 0.0081943
3 0 3 1 -0.0112698
3 0 3 2 -0.0030636
3 0 3 3 0.0000000
3 1 0 0 0.0000000
3 1 1 0 -0.0000000
3 1 1 1 0.0000000
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0000000
3 1 3 0 -0.0112698
3 1 3 1 0.1113127
3 1 3 2 0.0538122
3 1 3 3 -0.0000000
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0000000
3 2 2 1 0.0000000
3 2 2 2 0.0000000
3 2 3 0 -0.0030636
3 2 3 1 0.0538122
3 2 3 2 0.0467066
3 2 3 3 -0.0000000
3 3 0 0 0.6307082
3 3 1 0 0.0015624
3 3 1 1 0.4987225
3 3 2 0 -0.0027918
3 3 2 1 0.0534305
3 3 2 2 0.4480688
3 3 3 0 0.0000000
3 3 3 1 -0.0000000
3 3 3 2 -0.0000000
3 3 3 3 0.5360835
4 0 0 0 0.0436494
4 0 1 0 0.0054913
4 0 1 1 -0.0008695
4 0 2 0 -0.0124509
4 0 2 1 0.0159042
4 0 2 2 -0.0028649
4 0 3 0 0.0000000
4 0 3 1 -0.0000000
4 0 3 2 -0.0000000
4 0 3 3 0.0040357
4 0 4 0 0.0206518
4 0 4 1 -0.0090579
4 0 4 2 -0.0040245
4 0 4 3 -0.0000000
4 0 4 4 -0.0028559
4 1 0 0 0.0461660
4 1 1 0 0.0001058
4 1 1 1 0.0165983
4 1 2 0 0.0062960
4 1 2 1 0.0097279
4 1 2 2 -0.0153188
4 1 3 0 -0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0000000
4 1 3 3 0.0348574
4 1 4 0 -0.0090579
4 1 4 1 0.0448807
4 1 4 2 -0.0316173
4 1 4 3 -0.0000000
4 1 4 4 -0.0228947
4 2 0 0 -0.2460039
4 2 1 0 -0.0056791
4 2 1 1 -0.0497322
4 2 2 0 0.0017621
4 2 2 1 -0.0515420
4 2 2 2 -0.0290227
4 2 3 0 0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0000000
4 2 3 3 -0.0722264
4 2 4 0 -0.0040245
4 2 4 1 -0.0316173
4 2 4 2 0.1259179
4 2 4 3 -0.0000000
4 2 4 4 -0.0329271
4 3 0 0 0.0000000
4 3 1 0 0.0000000
4 3 1 1 0.0000000
4 3 2 0 0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0000000
4 3 3 0 -0.0032498
4 3 3 1 0.0417484
4 3 3 2 0.0133184
4 3 3 3 0.0000000
4 3 4 0 -0.0000000
4 3 4 1 -0.0000000
4 3 4 2 -0.0000000
4 3 4 3 0.0279894
4 3 4 4 0.0000000
