NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.725390
ENERGIES
-11.063725
-0.784467
-0.518375
-0.515828
0.707807
0.707823
0.737289
1000000.631203

OEI
-18.437859	
-0.257743	-4.471789	
-0.004764	-0.002272	-4.038569	
0.000000	0.000000	-0.000000	-4.042728	
0.043833	0.146715	-0.777198	-0.000000	-3.519035	
-0.000000	-0.000000	0.000000	-0.789924	0.000000	-3.511374	
-0.303050	-0.912704	-0.129788	0.000000	-0.011111	0.000000	-3.412531	
0.159850	-0.149636	-0.002899	0.000000	-0.000020	-0.000000	-0.002394	999996.207164	

ENV_OEI
-4.825642	
-0.500251	-0.287678	
-0.009823	0.003495	-0.180936	
0.000000	-0.000000	0.000000	-0.178500	
0.091057	0.037426	-0.128871	-0.000000	-0.260939	
-0.000000	-0.000000	0.000000	-0.136094	0.000000	-0.255883	
-0.635877	-0.234968	-0.023861	0.000000	0.016928	-0.000000	-0.342425	
0.312025	-0.004793	-0.007078	0.000000	-0.009770	0.000000	0.018362	-0.272306	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996670	0.016877	-0.006491	-0.006565	-0.006491	-0.027083	-0.000000	0.000113	
0.175582	-0.463994	-0.240966	-0.253213	-0.240966	0.384634	0.000000	-0.011137	
0.003268	-0.009313	-0.254838	0.497883	-0.254838	0.007289	-0.000000	0.560770	
-0.000000	0.000000	-0.430262	-0.000000	0.430262	-0.000000	-0.566514	-0.000000	
-0.032069	0.201443	0.381259	-1.085795	0.381258	-0.073186	-0.000000	1.092721	
0.000000	-0.000000	0.858095	0.000000	-0.858095	0.000000	-1.101191	-0.000000	
0.221985	-1.393690	0.813402	0.600402	0.813402	0.507724	0.000000	0.157903	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	-0.000000	

ERI
0 0 0 0 3.5237582
1 0 0 0 0.2322420
1 0 1 0 0.0280787
1 0 1 1 -0.0030254
1 1 0 0 0.6876023
1 1 1 0 -0.0030254
1 1 1 1 0.5645021
2 0 0 0 0.0042605
2 0 1 0 0.0003602
2 0 1 1 0.0003565
2 0 2 0 0.0080927
2 0 2 1 -0.0112694
2 0 2 2 0.0024536
2 1 0 0 0.0010068
2 1 1 0 0.0001365
2 1 1 1 -0.0029395
2 1 2 0 -0.0112694
2 1 2 1 0.1149435
2 1 2 2 -0.0493170
2 2 0 0 0.6286152
2 2 1 0 0.0014093
2 2 1 1 0.5020226
2 2 2 0 0.0024536
2 2 2 1 -0.0493170
2 2 2 2 0.5319205
3 0 0 0 -0.0000000
3 0 1 0 -0.0000000
3 0 1 1 -0.0000000
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0000000
3 0 3 0 0.0082166
3 0 3 1 -0.0112938
3 0 3 2 -0.0030563
3 0 3 3 0.0000000
3 1 0 0 -0.0000000
3 1 1 0 -0.0000000
3 1 1 1 0.0000000
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0000000
3 1 3 0 -0.0112938
3 1 3 1 0.1113178
3 1 3 2 0.0536504
3 1 3 3 -0.0000000
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0000000
3 2 2 1 0.0000000
3 2 2 2 0.0000000
3 2 3 0 -0.0030563
3 2 3 1 0.0536504
3 2 3 2 0.0465899
3 2 3 3 -0.0000000
3 3 0 0 0.6311511
3 3 1 0 0.0015721
3 3 1 1 0.4989501
3 3 2 0 -0.0027919
3 3 2 1 0.0532630
3 3 2 2 0.4482921
3 3 3 0 0.0000000
3 3 3 1 -0.0000000
3 3 3 2 -0.0000000
3 3 3 3 0.5362023
4 0 0 0 -0.0419220
4 0 1 0 -0.0052832
4 0 1 1 0.0008450
4 0 2 0 0.0124811
4 0 2 1 -0.0159185
4 0 2 2 0.0028818
4 0 3 0 0.0000000
4 0 3 1 -0.0000000
4 0 3 2 -0.0000000
4 0 3 3 -0.0040177
4 0 4 0 0.0205813
4 0 4 1 -0.0090655
4 0 4 2 -0.0040313
4 0 4 3 0.0000000
4 0 4 4 0.0027162
4 1 0 0 -0.0444545
4 1 1 0 -0.0001020
4 1 1 1 -0.0159870
4 1 2 0 -0.0063065
4 1 2 1 -0.0096678
