NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.731372
ENERGIES
-11.064431
-0.784853
-0.518518
-0.516055
0.707128
0.707155
0.736807
1000000.630770

OEI
-18.439236	
-0.257806	-4.472601	
-0.004695	-0.002167	-4.039379	
-0.000000	-0.000000	-0.000000	-4.043483	
-0.000000	-0.000000	0.000000	-0.790061	-3.511805	
-0.043292	-0.144949	0.777619	0.000000	-0.000000	-3.519302	
0.303135	0.913073	0.128233	-0.000000	-0.000000	-0.011035	-3.412807	
0.159859	-0.149622	-0.002867	-0.000000	0.000000	0.000031	0.002383	999996.206450	

ENV_OEI
-4.827020	
-0.500373	-0.288300	
-0.009675	0.003474	-0.181484	
-0.000000	-0.000000	0.000000	-0.179093	
-0.000000	-0.000000	0.000000	-0.136306	-0.256475	
-0.089935	-0.037038	0.129207	0.000000	-0.000000	-0.261386	
0.636011	0.235270	0.023580	-0.000000	0.000000	0.016709	-0.342972	
0.311995	-0.004810	-0.007049	0.000000	0.000000	0.009722	-0.018412	-0.273020	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996670	-0.016876	0.006492	0.006565	0.006492	0.027082	0.000000	-0.000112	
-0.175612	0.464188	0.240937	0.252969	0.240937	-0.384705	0.000000	0.011030	
-0.003217	0.009138	0.254715	-0.497709	0.254715	-0.007174	-0.000000	-0.560996	
-0.000000	0.000000	-0.430156	0.000000	0.430156	-0.000000	-0.566650	0.000000	
-0.000000	0.000000	0.858148	-0.000000	-0.858148	-0.000000	-1.101121	0.000000	
-0.031674	0.198995	0.382718	-1.084861	0.382718	-0.072286	0.000000	1.092878	
0.222018	-1.393978	0.812764	0.602335	0.812764	0.507801	-0.000000	0.156009	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237595
1 0 0 0 0.2322791
1 0 1 0 0.0280878
1 0 1 1 -0.0030255
1 1 0 0 0.6876779
1 1 1 0 -0.0030255
1 1 1 1 0.5645576
2 0 0 0 0.0041933
2 0 1 0 0.0003537
2 0 1 1 0.0003525
2 0 2 0 0.0080976
2 0 2 1 -0.0112739
2 0 2 2 0.0024586
2 1 0 0 0.0009737
2 1 1 0 0.0001350
2 1 1 1 -0.0029047
2 1 2 0 -0.0112739
2 1 2 1 0.1149068
2 1 2 2 -0.0493369
2 2 0 0 0.6287153
2 2 1 0 0.0014122
2 2 1 1 0.5020354
2 2 2 0 0.0024586
2 2 2 1 -0.0493369
2 2 2 2 0.5319895
3 0 0 0 0.0000000
3 0 1 0 0.0000000
3 0 1 1 0.0000000
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0000000
3 0 3 0 0.0082197
3 0 3 1 -0.0112979
3 0 3 2 -0.0030530
3 0 3 3 0.0000000
3 1 0 0 -0.0000000
3 1 1 0 0.0000000
3 1 1 1 -0.0000000
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0000000
3 1 3 0 -0.0112979
3 1 3 1 0.1113360
3 1 3 2 0.0536140
3 1 3 3 -0.0000000
3 2 0 0 0.0000000
3 2 1 0 0.0000000
