NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.366582
ENERGIES
-11.046517
-0.760204
-0.491210
-0.486246
0.725696
0.728241
0.763917
849736.595452
965066.445787
996478.034746
1070620.663416
1118094.035084

OEI
-18.438515	
0.259902	-4.463171	
-0.000000	0.000000	-4.002954	
0.019095	-0.023903	0.000000	-4.028910	
-0.089086	0.272709	-0.000000	-0.781246	-3.463008	
0.000000	-0.000000	-0.789166	0.000000	-0.000000	-3.541299	
-0.291107	0.895947	0.000000	0.283370	-0.053656	0.000000	-3.326457	
0.113300	0.063557	-0.000000	0.007310	0.035904	-0.000000	0.017019	849733.143370	
-0.000000	0.000000	0.082470	-0.000000	0.000000	0.102638	-0.000000	-0.000000	965063.780817	
0.005045	0.016644	0.000000	0.013762	0.006947	0.000000	-0.016280	-0.000757	-0.000000	996475.037017	
-0.037412	-0.143140	0.000000	-0.150823	0.104221	-0.000000	-0.115048	0.157369	0.000000	-0.124201	1070618.287198	
0.110199	0.122560	0.000000	-0.040212	-0.009443	0.000000	-0.047961	-0.878185	-0.000000	-0.036398	0.326086	1118090.481301	

ENV_OEI
-4.965656	
0.503298	-0.485335	
-0.000000	0.000000	-0.262688	
0.033597	-0.206780	0.000000	-0.597000	
-0.194260	0.208305	-0.000000	0.112504	-0.617093	
0.000000	-0.000000	-0.175656	-0.000000	0.000000	-0.358948	
-0.604410	0.081347	0.000000	-0.296711	0.361352	-0.000000	-0.945979	
0.225442	0.033479	0.000000	-0.032585	-0.022864	0.000000	0.012599	-0.685807	
0.000000	-0.000000	-0.070906	-0.000000	-0.000000	-0.036811	0.000000	0.000000	-0.865410	
-0.018218	0.236952	-0.000000	0.648154	-0.878391	0.000000	1.167218	-0.147679	-0.000000	-18.814590	
-0.056282	0.029318	-0.000000	0.042442	-0.054727	0.000000	0.073597	-0.082915	0.000000	-1.711424	-0.829605	
0.214978	-0.010505	-0.000000	0.006192	0.002953	-0.000000	0.019085	0.229563	-0.000000	-0.167421	-0.025270	-0.556288	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.155576	0.155576	-0.045312	-0.338874	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.109532	0.109532	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	0.051506	-0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.029737	-0.029737	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.996705	-0.016496	0.006615	0.006615	-0.001620	0.008123	0.009074	0.000000	0.025977	0.002590	-0.000000	-0.003930	
0.176835	-0.479270	-0.257992	-0.257992	0.023835	-0.023145	0.135355	-0.000000	0.375862	-0.227914	0.000000	-0.077900	
-0.000000	0.000000	-0.447175	0.447175	-0.000000	0.000000	-0.000000	-0.555362	0.000000	0.000000	0.138495	-0.000000	
0.012830	-0.072200	0.246712	0.246712	0.060190	-0.159928	0.569954	-0.000000	-0.178689	-0.445074	0.000000	0.044413	
-0.064587	0.428981	-0.678207	-0.678207	-0.077226	0.470741	0.927234	-0.000000	-0.494524	0.553786	0.000000	0.041969	
0.000000	-0.000000	0.849690	-0.849690	0.000000	-0.000000	-0.000000	-1.122317	0.000000	-0.000000	0.099262	-0.000000	
-0.213406	1.306718	-0.585823	-0.585823	0.102823	-0.617763	-0.417551	0.000000	-0.369601	-0.771037	-0.000000	0.026672	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	0.000000	-0.573902	-0.025821	-0.000000	0.799278	
0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216380	-0.001361	0.000000	-0.003845	-0.105483	0.000000	-0.019655	
-0.018948	0.087231	0.000000	0.000000	-0.019715	-0.850777	0.045686	0.000000	0.129013	0.446528	-0.000000	0.196306	
0.081637	-0.375835	0.000000	0.000000	0.011611	-0.229176	-0.196837	0.000000	-0.555851	0.120150	0.000000	-0.583417	

ERI
0 0 0 0 3.5239010
1 0 0 0 -0.2338789
1 0 1 0 0.0286540
1 0 1 1 0.0030766
1 1 0 0 0.6926774
1 1 1 0 0.0030766
1 1 1 1 0.5660187
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0079188
2 0 2 1 0.0111074
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0111074
2 1 2 1 0.1164599
2 1 2 2 0.0000000
2 2 0 0 0.6234513
2 2 1 0 -0.0013845
2 2 1 1 0.5037388
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5348831
3 0 0 0 -0.0171149
3 0 1 0 0.0019430
3 0 1 1 -0.0006897
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0033472
3 0 3 0 0.0089459
3 0 3 1 0.0116282
3 0 3 2 -0.0000000
3 0 3 3 0.0035479
3 1 0 0 0.0130524
3 1 1 0 -0.0001679
3 1 1 1 -0.0042601
3 1 2 0 -0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0503894
3 1 3 0 0.0116282
3 1 3 1 0.1051832
3 1 3 2 -0.0000000
3 1 3 3 0.0518854
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0023783
3 2 2 1 -0.0528950
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0424938
3 2 3 3 -0.0000000
3 3 0 0 0.6406792
3 3 1 0 -0.0017976
3 3 1 1 0.4972062
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4446768
3 3 3 0 0.0035479
3 3 3 1 0.0518854
3 3 3 2 -0.0000000
3 3 3 3 0.5341631
4 0 0 0 0.0847952
4 0 1 0 -0.0104179
4 0 1 1 -0.0013577
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0033626
4 0 3 0 0.0118556
4 0 3 1 0.0153189
4 0 3 2 -0.0000000
4 0 3 3 0.0054067
4 0 4 0 0.0218082
4 0 4 1 0.0084776
4 0 4 2 0.0000000
4 0 4 3 -0.0031777
4 0 4 4 -0.0073510
4 1 0 0 -0.0838448
4 1 1 0 0.0001500
4 1 1 1 -0.0295353
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0069555
4 1 3 0 0.0065436
4 1 3 1 -0.0047839
4 1 3 2 0.0000000
4 1 3 3 -0.0370748
4 1 4 0 0.0084776
4 1 4 1 0.0470366
4 1 4 2 -0.0000000
4 1 4 3 -0.0223411
4 1 4 4 -0.0369844
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 0.0008443
4 2 2 1 0.0547975
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0261046
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0518065
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.2424351
4 3 1 0 -0.0055561
4 3 1 1 0.0570464
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0567069
4 3 3 0 -0.0039124
4 3 3 1 -0.0291344
4 3 3 2 -0.0000000
4 3 3 3 0.0498359
4 3 4 0 -0.0031777
4 3 4 1 -0.0223411
4 3 4 2 0.0000000
4 3 4 3 0.0976076
4 3 4 4 0.0813517
4 4 0 0 0.7252110
4 4 1 0 -0.0061605
4 4 1 1 0.4992519
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4843266
4 4 3 0 -0.0072907
4 4 3 1 -0.0221066
4 4 3 2 0.0000000
4 4 3 3 0.4946916
4 4 4 0 -0.0073510
4 4 4 1 -0.0369844
4 4 4 2 -0.0000000
4 4 4 3 0.0813517
4 4 4 4 0.5330956
5 0 0 0 -0.0000000
5 0 1 0 0.0000000
5 0 1 1 0.0000000
5 0 2 0 0.0127939
5 0 2 1 0.0163555
5 0 2 2 0.0000000
5 0 3 0 -0.0000000
5 0 3 1 -0.0000000
5 0 3 2 -0.0032292
5 0 3 3 -0.0000000
5 0 4 0 -0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0016856
5 0 4 3 0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0207897
5 0 5 1 0.0097558
5 0 5 2 -0.0000000
5 0 5 3 0.0048144
5 0 5 4 -0.0041657
5 0 5 5 0.0000000
5 1 0 0 0.0000000
5 1 1 0 -0.0000000
5 1 1 1 0.0000000
5 1 2 0 0.0064923
5 1 2 1 -0.0102995
5 1 2 2 -0.0000000
5 1 3 0 -0.0000000
5 1 3 1 0.0000000
5 1 3 2 0.0252062
5 1 3 3 0.0000000
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0265215
5 1 4 3 0.0000000
5 1 4 4 0.0000000
5 1 5 0 0.0097558
5 1 5 1 0.0434089
5 1 5 2 0.0000000
5 1 5 3 -0.0121227
5 1 5 4 0.0327263
5 1 5 5 -0.0000000
5 2 0 0 0.2508080
5 2 1 0 -0.0058096
5 2 1 1 0.0503136
5 2 2 0 -0.0000000
5 2 2 1 -0.0000000
5 2 2 2 0.0296335
5 2 3 0 0.0020625
5 2 3 1 0.0476352
5 2 3 2 0.0000000
5 2 3 3 0.0715251
5 2 4 0 0.0054859
5 2 4 1 -0.0350264
5 2 4 2 0.0000000
5 2 4 3 0.0586628
5 2 4 4 0.0493449
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1203412
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0592744
5 3 0 0 -0.0000000
5 3 1 0 0.0000000
5 3 1 1 -0.0000000
5 3 2 0 0.0029255
5 3 2 1 0.0474478
5 3 2 2 -0.0000000
5 3 3 0 0.0000000
5 3 3 1 0.0000000
5 3 3 2 -0.0167334
5 3 3 3 -0.0000000
5 3 4 0 0.0000000
5 3 4 1 0.0000000
5 3 4 2 0.0379394
5 3 4 3 -0.0000000
5 3 4 4 -0.0000000
5 3 5 0 0.0048144
5 3 5 1 -0.0121227
5 3 5 2 -0.0000000
5 3 5 3 0.0348658
5 3 5 4 -0.0239915
5 3 5 5 -0.0000000
5 4 0 0 0.0000000
5 4 1 0 -0.0000000
5 4 1 1 0.0000000
5 4 2 0 -0.0029446
5 4 2 1 -0.0608904
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 -0.0000000
5 4 3 2 0.0462433
5 4 3 3 -0.0000000
5 4 4 0 0.0000000
5 4 4 1 0.0000000
5 4 4 2 -0.0375517
5 4 4 3 -0.0000000
5 4 4 4 0.0000000
5 4 5 0 -0.0041657
5 4 5 1 0.0327263
5 4 5 2 0.0000000
5 4 5 3 -0.0239915
5 4 5 4 0.0611209
5 4 5 5 -0.0000000
5 5 0 0 0.7462384
5 5 1 0 -0.0072722
5 5 1 1 0.5038211
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5298702
5 5 3 0 -0.0001173
5 5 3 1 -0.0267498
5 5 3 2 -0.0000000
5 5 3 3 0.4645434
5 5 4 0 0.0033091
5 5 4 1 0.0070780
5 5 4 2 0.0000000
5 5 4 3 0.0713365
5 5 4 4 0.4993333
5 5 5 0 0.0000000
5 5 5 1 -0.0000000
5 5 5 2 0.0592744
5 5 5 3 -0.0000000
5 5 5 4 -0.0000000
5 5 5 5 0.5617291
6 0 0 0 0.2777400
6 0 1 0 -0.0337645
6 0 1 1 -0.0016147
6 0 2 0 -0.0000000
6 0 2 1 -0.0000000
6 0 2 2 0.0028364
6 0 3 0 -0.0057302
6 0 3 1 -0.0039905
6 0 3 2 0.0000000
6 0 3 3 0.0008727
6 0 4 0 0.0074231
6 0 4 1 -0.0028572
6 0 4 2 0.0000000
6 0 4 3 0.0072525
6 0 4 4 0.0092635
6 0 5 0 -0.0000000
6 0 5 1 0.0000000
6 0 5 2 0.0052178
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 0.0075700
6 0 6 0 0.0412883
6 0 6 1 -0.0011417
6 0 6 2 0.0000000
6 0 6 3 -0.0001708
6 0 6 4 0.0024516
6 0 6 5 -0.0000000
6 0 6 6 -0.0000160
6 1 0 0 -0.2678851
6 1 1 0 0.0006497
6 1 1 1 -0.1061094
6 1 2 0 -0.0000000
6 1 2 1 0.0000000
6 1 2 2 -0.0605427
6 1 3 0 -0.0014369
6 1 3 1 -0.0053437
6 1 3 2 -0.0000000
6 1 3 3 -0.0582632
6 1 4 0 -0.0026791
6 1 4 1 0.0220955
6 1 4 2 -0.0000000
6 1 4 3 -0.0636291
6 1 4 4 -0.0625352
6 1 5 0 0.0000000
6 1 5 1 -0.0000000
6 1 5 2 -0.0654843
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 -0.0746876
6 1 6 0 -0.0011417
6 1 6 1 0.0956916
6 1 6 2 0.0000000
6 1 6 3 0.0315172
6 1 6 4 -0.0112438
6 1 6 5 0.0000000
6 1 6 6 -0.0767665
6 2 0 0 -0.0000000
6 2 1 0 0.0000000
6 2 1 1 0.0000000
6 2 2 0 -0.0052398
6 2 2 1 0.0178903
6 2 2 2 0.0000000
6 2 3 0 -0.0000000
6 2 3 1 -0.0000000
6 2 3 2 -0.0267566
6 2 3 3 -0.0000000
6 2 4 0 -0.0000000
6 2 4 1 -0.0000000
6 2 4 2 0.0289518
6 2 4 3 0.0000000
6 2 4 4 -0.0000000
6 2 5 0 -0.0078152
6 2 5 1 -0.0391682
6 2 5 2 -0.0000000
6 2 5 3 0.0149320
6 2 5 4 -0.0353117
6 2 5 5 0.0000000
6 2 6 0 0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.0384667
6 2 6 3 -0.0000000
6 2 6 4 -0.0000000
6 2 6 5 -0.0136620
6 2 6 6 -0.0000000
6 3 0 0 -0.0844198
6 3 1 0 0.0016972
6 3 1 1 -0.0268030
6 3 2 0 -0.0000000
6 3 2 1 -0.0000000
6 3 2 2 -0.0537679
6 3 3 0 -0.0045885
6 3 3 1 0.0323296
6 3 3 2 -0.0000000
6 3 3 3 0.0087809
6 3 4 0 -0.0066293
6 3 4 1 -0.0347224
6 3 4 2 0.0000000
6 3 4 3 -0.0382717
6 3 4 4 -0.0142789
6 3 5 0 0.0000000
6 3 5 1 0.0000000
6 3 5 2 0.0074904
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0613971
6 3 6 0 -0.0001708
6 3 6 1 0.0315172
6 3 6 2 -0.0000000
6 3 6 3 0.0708119
6 3 6 4 -0.0485221
6 3 6 5 0.0000000
6 3 6 6 0.0120717
6 4 0 0 0.0073299
6 4 1 0 0.0014824
6 4 1 1 0.0219310
6 4 2 0 -0.0000000
6 4 2 1 -0.0000000
6 4 2 2 0.0560666
6 4 3 0 -0.0099559
6 4 3 1 -0.0888339
6 4 3 2 0.0000000
6 4 3 3 -0.0484001
6 4 4 0 -0.0139303
6 4 4 1 0.0167417
6 4 4 2 -0.0000000
6 4 4 3 0.0249159
6 4 4 4 0.0164875
6 4 5 0 -0.0000000
6 4 5 1 -0.0000000
6 4 5 2 -0.0501621
6 4 5 3 -0.0000000
6 4 5 4 0.0000000
6 4 5 5 0.0394485
6 4 6 0 0.0024516
6 4 6 1 -0.0112438
6 4 6 2 -0.0000000
6 4 6 3 -0.0485221
6 4 6 4 0.0987647
6 4 6 5 -0.0000000
6 4 6 6 -0.0448291
6 5 0 0 -0.0000000
6 5 1 0 -0.0000000
6 5 1 1 -0.0000000
6 5 2 0 -0.0109071
6 5 2 1 -0.0870412
6 5 2 2 -0.0000000
6 5 3 0 0.0000000
6 5 3 1 0.0000000
6 5 3 2 0.0359856
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 -0.0000000
6 5 4 2 -0.0486518
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0168000
6 5 5 1 0.0073459
6 5 5 2 0.0000000
6 5 5 3 -0.0438476
6 5 5 4 0.0475763
6 5 5 5 -0.0000000
6 5 6 0 -0.0000000
6 5 6 1 0.0000000
6 5 6 2 -0.0136620
6 5 6 3 0.0000000
6 5 6 4 -0.0000000
6 5 6 5 0.0774501
6 5 6 6 0.0000000
6 6 0 0 0.6942001
6 6 1 0 -0.0010985
6 6 1 1 0.5175483
6 6 2 0 0.0000000
6 6 2 1 0.0000000
6 6 2 2 0.4474904
6 6 3 0 0.0057265
6 6 3 1 0.0563100
6 6 3 2 -0.0000000
6 6 3 3 0.5090778
6 6 4 0 0.0088363
6 6 4 1 -0.0335331
6 6 4 2 0.0000000
6 6 4 3 0.0197966
6 6 4 4 0.4804562
6 6 5 0 -0.0000000
6 6 5 1 0.0000000
6 6 5 2 0.0649657
6 6 5 3 -0.0000000
6 6 5 4 -0.0000000
6 6 5 5 0.4698614
6 6 6 0 -0.0000160
6 6 6 1 -0.0767665
6 6 6 2 -0.0000000
6 6 6 3 0.0120717
6 6 6 4 -0.0448291
6 6 6 5 0.0000000
6 6 6 6 0.5449685
7 0 0 0 -0.0850199
7 0 1 0 0.0046213
7 0 1 1 -0.0097885
7 0 2 0 -0.0000000
7 0 2 1 0.0000000
7 0 2 2 -0.0006898
7 0 3 0 0.0004166
7 0 3 1 -0.0005508
7 0 3 2 0.0000000
7 0 3 3 -0.0008217
7 0 4 0 -0.0020319
7 0 4 1 0.0025076
7 0 4 2 0.0000000
7 0 4 3 0.0017839
7 0 4 4 -0.0003700
7 0 5 0 0.0000000
7 0 5 1 -0.0000000
7 0 5 2 0.0016165
7 0 5 3 -0.0000000
7 0 5 4 0.0000000
7 0 5 5 0.0008737
7 0 6 0 -0.0065384
7 0 6 1 0.0079779
7 0 6 2 -0.0000000
7 0 6 3 -0.0000633
7 0 6 4 -0.0028412
7 0 6 5 0.0000000
7 0 6 6 -0.0096963
7 0 7 0 0.0112629
7 0 7 1 0.0023539
7 0 7 2 0.0000000
7 0 7 3 -0.0006073
7 0 7 4 -0.0010666
7 0 7 5 0.0000000
7 0 7 6 -0.0041214
7 0 7 7 0.0059253
7 1 0 0 -0.0040275
7 1 1 0 -0.0028933
7 1 1 1 -0.0145454
7 1 2 0 0.0000000
7 1 2 1 0.0000000
7 1 2 2 0.0049206
7 1 3 0 -0.0003615
7 1 3 1 -0.0043010
7 1 3 2 0.0000000
7 1 3 3 -0.0021869
7 1 4 0 0.0005887
7 1 4 1 0.0055268
7 1 4 2 0.0000000
7 1 4 3 0.0054618
7 1 4 4 0.0006293
7 1 5 0 -0.0000000
7 1 5 1 -0.0000000
7 1 5 2 0.0023366
7 1 5 3 -0.0000000
7 1 5 4 0.0000000
7 1 5 5 0.0053170
7 1 6 0 0.0031281
7 1 6 1 0.0098560
7 1 6 2 0.0000000
7 1 6 3 -0.0052042
7 1 6 4 0.0013255
7 1 6 5 -0.0000000
7 1 6 6 -0.0157376
7 1 7 0 0.0023539
7 1 7 1 0.0099371
7 1 7 2 -0.0000000
7 1 7 3 0.0006932
7 1 7 4 -0.0077024
7 1 7 5 0.0000000
7 1 7 6 -0.0012115
7 1 7 7 -0.0042455
7 2 0 0 0.0000000
7 2 1 0 -0.0000000
7 2 1 1 0.0000000
7 2 2 0 0.0042550
7 2 2 1 0.0219024
7 2 2 2 0.0000000
7 2 3 0 -0.0000000
7 2 3 1 0.0000000
7 2 3 2 -0.0090188
7 2 3 3 -0.0000000
7 2 4 0 0.0000000
7 2 4 1 0.0000000
7 2 4 2 0.0074871
7 2 4 3 0.0000000
7 2 4 4 -0.0000000
7 2 5 0 0.0067789
7 2 5 1 0.0049031
7 2 5 2 -0.0000000
7 2 5 3 0.0078219
7 2 5 4 -0.0078675
7 2 5 5 0.0000000
7 2 6 0 -0.0000000
7 2 6 1 -0.0000000
7 2 6 2 -0.0010107
7 2 6 3 -0.0000000
7 2 6 4 -0.0000000
7 2 6 5 -0.0187506
7 2 6 6 0.0000000
7 2 7 0 0.0000000
7 2 7 1 -0.0000000
7 2 7 2 0.0160102
7 2 7 3 -0.0000000
7 2 7 4 0.0000000
7 2 7 5 0.0167779
7 2 7 6 -0.0000000
7 2 7 7 -0.0000000
7 3 0 0 -0.0049489
7 3 1 0 0.0004685
7 3 1 1 0.0024528
7 3 2 0 -0.0000000
7 3 2 1 0.0000000
7 3 2 2 -0.0102619
7 3 3 0 0.0043185
7 3 3 1 0.0199002
7 3 3 2 -0.0000000
7 3 3 3 0.0053031
7 3 4 0 0.0059103
7 3 4 1 0.0037251
7 3 4 2 0.0000000
7 3 4 3 -0.0118193
7 3 4 4 -0.0111443
7 3 5 0 -0.0000000
7 3 5 1 -0.0000000
7 3 5 2 0.0038640
7 3 5 3 0.0000000
7 3 5 4 0.0000000
7 3 5 5 -0.0044000
7 3 6 0 -0.0020215
7 3 6 1 -0.0024825
7 3 6 2 -0.0000000
7 3 6 3 0.0036036
7 3 6 4 -0.0163132
7 3 6 5 0.0000000
7 3 6 6 0.0125412
7 3 7 0 -0.0006073
7 3 7 1 0.0006932
7 3 7 2 -0.0000000
7 3 7 3 0.0215471
7 3 7 4 0.0073211
7 3 7 5 -0.0000000
7 3 7 6 0.0085632
7 3 7 7 0.0068484
7 4 0 0 -0.0105273
7 4 1 0 0.0012530
7 4 1 1 -0.0014085
7 4 2 0 0.0000000
7 4 2 1 0.0000000
7 4 2 2 -0.0087290
7 4 3 0 0.0054166
7 4 3 1 0.0186526
7 4 3 2 -0.0000000
7 4 3 3 0.0022940
7 4 4 0 0.0071195
7 4 4 1 0.0067263
7 4 4 2 0.0000000
7 4 4 3 -0.0112836
7 4 4 4 -0.0150228
7 4 5 0 0.0000000
7 4 5 1 0.0000000
7 4 5 2 0.0029950
7 4 5 3 0.0000000
7 4 5 4 0.0000000
7 4 5 5 -0.0032573
7 4 6 0 -0.0033774
7 4 6 1 -0.0010835
7 4 6 2 -0.0000000
7 4 6 3 -0.0002078
7 4 6 4 -0.0147504
7 4 6 5 -0.0000000
7 4 6 6 0.0103249
7 4 7 0 -0.0010666
7 4 7 1 -0.0077024
7 4 7 2 0.0000000
7 4 7 3 0.0073211
7 4 7 4 0.0276395
7 4 7 5 -0.0000000
7 4 7 6 -0.0136097
7 4 7 7 0.0028814
7 5 0 0 0.0000000
7 5 1 0 -0.0000000
7 5 1 1 0.0000000
7 5 2 0 0.0054813
7 5 2 1 0.0189020
7 5 2 2 0.0000000
7 5 3 0 -0.0000000
7 5 3 1 -0.0000000
7 5 3 2 -0.0042762
7 5 3 3 -0.0000000
7 5 4 0 0.0000000
7 5 4 1 0.0000000
7 5 4 2 0.0046807
7 5 4 3 0.0000000
7 5 4 4 0.0000000
7 5 5 0 0.0087240
7 5 5 1 0.0089990
7 5 5 2 -0.0000000
7 5 5 3 0.0070931
7 5 5 4 -0.0031185
7 5 5 5 0.0000000
7 5 6 0 0.0000000
7 5 6 1 0.0000000
7 5 6 2 -0.0063815
7 5 6 3 -0.0000000
7 5 6 4 -0.0000000
7 5 6 5 -0.0179282
7 5 6 6 -0.0000000
7 5 7 0 0.0000000
7 5 7 1 0.0000000
7 5 7 2 0.0167779
7 5 7 3 -0.0000000
7 5 7 4 -0.0000000
7 5 7 5 0.0203743
7 5 7 6 0.0000000
7 5 7 7 -0.0000000
7 6 0 0 -0.0180491
7 6 1 0 0.0049824
7 6 1 1 0.0182593
7 6 2 0 -0.0000000
7 6 2 1 -0.0000000
7 6 2 2 -0.0002051
