NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.347599
ENERGIES
-11.053808
-0.790662
-0.536200
-0.504799
0.665287
0.716016
0.734114
849736.529660
965066.338198
996477.773995
1070620.546732
1118093.980461

OEI
-18.380308	
-0.253307	-4.446425	
0.018088	0.035804	-3.990195	
-0.000000	-0.000000	-0.000000	-3.998934	
-0.137071	-0.469945	-0.692927	0.000000	-3.538808	
-0.000000	-0.000000	0.000000	0.782357	0.000000	-3.522122	
-0.274492	-0.802445	0.399007	-0.000000	0.039498	0.000000	-3.431316	
0.112650	-0.064026	0.002613	-0.000000	-0.016127	0.000000	0.034650	849733.072957	
-0.000000	-0.000000	0.000000	0.078548	0.000000	-0.099463	0.000000	-0.000000	965063.641799	
0.004930	-0.016827	-0.010536	0.000000	-0.017381	-0.000000	-0.007645	-0.000783	-0.000000	996474.709511	
-0.036975	0.159888	0.141553	-0.000000	-0.141100	-0.000000	-0.013277	0.150447	0.000000	-0.129999	1070618.140321	
0.109494	-0.114776	0.054425	-0.000000	-0.024811	-0.000000	-0.041793	-0.848283	0.000000	-0.037198	0.318643	1118090.428219	

ENV_OEI
-4.907304	
-0.490197	-0.557399	
0.041572	-0.272901	-0.630722	
-0.000000	0.000000	0.000000	-0.254462	
-0.272034	0.170990	0.360384	-0.000000	-1.156490	
-0.000000	-0.000000	0.000000	0.170777	-0.000000	-0.343977	
-0.578418	-0.166661	0.179787	-0.000000	-0.216022	-0.000000	-0.426140	
0.227607	-0.035381	0.042500	-0.000000	0.029370	-0.000000	-0.012616	-0.756220	
0.000000	-0.000000	-0.000000	-0.084252	-0.000000	0.043648	-0.000000	-0.000000	-1.004428	
-0.018852	-0.348144	-0.707876	0.000000	1.392588	0.000000	0.270223	-0.147932	-0.000000	-19.142098	
-0.056159	-0.045748	-0.051854	0.000000	0.091406	0.000000	0.019943	-0.099248	0.000000	-1.748098	-0.976480	
0.216872	0.012047	-0.008409	0.000000	0.011763	0.000000	0.014342	0.308304	0.000000	-0.173754	-0.048854	-0.609369	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.155576	0.155576	-0.045312	-0.338874	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.109532	0.109532	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	0.051506	-0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
