NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.061641
ENERGIES
-11.066032
-0.803904
-0.585706
-0.543262
0.648186
0.674946
0.721331
1000000.503238

OEI
-18.472577	
-0.257173	-4.485700	
-0.000000	0.000000	-4.152838	
-0.013736	-0.019367	0.000000	-4.099682	
0.000000	0.000000	-0.801859	0.000000	-3.544449	
-0.072549	-0.242127	-0.000000	0.768805	0.000000	-3.535691	
0.301035	0.895925	0.000000	0.222203	0.000000	0.006175	-3.441445	
0.159938	-0.149605	-0.000000	-0.006203	-0.000000	-0.001865	0.002000	999996.061838	

ENV_OEI
-4.860366	
-0.497351	-0.311884	
-0.000000	0.000000	-0.260920	
-0.027984	0.004767	0.000000	-0.216515	
0.000000	0.000000	-0.161646	0.000000	-0.316647	
-0.149646	-0.052251	-0.000000	0.145899	0.000000	-0.300977	
0.629742	0.228340	0.000000	0.055639	-0.000000	0.031891	-0.363191	
0.307001	0.014555	-0.000000	-0.008946	-0.000000	0.007877	-0.038124	-0.417631	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996672	0.016875	-0.006553	-0.006462	-0.006553	-0.027078	-0.000000	-0.000121	
0.173894	-0.454012	-0.263724	-0.222462	-0.263724	0.380824	0.000000	0.017534	
0.000000	-0.000000	-0.411806	-0.000000	0.411806	0.000000	-0.589941	-0.000000	
0.009760	-0.034150	0.238372	-0.485647	0.238372	0.021710	0.000000	-0.581037	
-0.000000	0.000000	0.867103	-0.000000	-0.867103	-0.000000	-1.088820	-0.000000	
0.052193	-0.322021	0.652815	-0.802872	0.652815	0.119042	-0.000000	1.066491	
-0.219279	1.373804	-0.614368	-0.959945	-0.614368	-0.501465	0.000000	0.241339	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237688
1 0 0 0 0.2300114
1 0 1 0 0.0275541
1 0 1 1 -0.0030425
1 1 0 0 0.6835723
1 1 1 0 -0.0030425
1 1 1 1 0.5620356
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087675
2 0 2 1 -0.0119094
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0119094
