NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.061925
ENERGIES
-11.066072
-0.803925
-0.585728
-0.543283
0.648161
0.674921
0.721310
1000000.503207

OEI
-18.472639	
0.257175	-4.485737	
-0.000000	0.000000	-4.152878	
-0.013737	0.019368	-0.000000	-4.099722	
-0.000000	0.000000	-0.801864	0.000000	-3.544466	
-0.072550	0.242131	0.000000	0.768810	-0.000000	-3.535707	
-0.301035	0.895927	0.000000	-0.222207	0.000000	-0.006176	-3.441460	
-0.159938	-0.149606	-0.000000	0.006203	-0.000000	0.001864	0.001999	999996.061798	

ENV_OEI
-4.860427	
0.497356	-0.311913	
-0.000000	0.000000	-0.260950	
-0.027986	-0.004768	0.000000	-0.216544	
-0.000000	0.000000	-0.161657	0.000000	-0.316674	
-0.149646	0.052254	0.000000	0.145910	-0.000000	-0.301005	
-0.629740	0.228349	0.000000	-0.055643	-0.000000	-0.031892	-0.363213	
-0.307000	0.014555	-0.000000	0.008946	-0.000000	-0.007878	-0.038126	-0.417672	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996672	-0.016875	0.006553	0.006462	0.006553	0.027078	-0.000000	0.000121	
0.173895	-0.454020	-0.263721	-0.222457	-0.263721	0.380827	0.000000	0.017535	
-0.000000	0.000000	0.411799	0.000000	-0.411799	-0.000000	0.589950	0.000000	
-0.009761	0.034152	-0.238367	0.485638	-0.238367	-0.021711	-0.000000	0.581046	
-0.000000	0.000000	-0.867106	-0.000000	0.867106	-0.000000	1.088815	-0.000000	
-0.052193	0.322022	-0.652818	0.802875	-0.652818	-0.119042	-0.000000	-1.066486	
-0.219278	1.373801	-0.614368	-0.959948	-0.614368	-0.501462	-0.000000	0.241339	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237690
1 0 0 0 -0.2300127
1 0 1 0 0.0275544
1 0 1 1 0.0030425
1 1 0 0 0.6835752
1 1 1 0 0.0030425
1 1 1 1 0.5620378
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087677
2 0 2 1 0.0119096
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0119096
2 1 2 1 0.1179216
2 1 2 2 -0.0000000
2 2 0 0 0.6419085
2 2 1 0 -0.0016499
2 2 1 1 0.5067091
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5392982
3 0 0 0 0.0128152
3 0 1 0 -0.0012554
3 0 1 1 0.0007493
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0028665
3 0 3 0 0.0086388
3 0 3 1 0.0114294
3 0 3 2 -0.0000000
3 0 3 3 -0.0038218
3 1 0 0 -0.0065402
3 1 1 0 0.0002337
3 1 1 1 0.0054542
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0465781
3 1 3 0 0.0114294
3 1 3 1 0.1077220
3 1 3 2 -0.0000000
3 1 3 3 -0.0587513
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0022547
3 2 2 1 0.0474017
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0397506
3 2 3 3 0.0000000
3 3 0 0 0.6383957
3 3 1 0 -0.0017829
3 3 1 1 0.4962014
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4485281
3 3 3 0 -0.0038218
3 3 3 1 -0.0587513
3 3 3 2 0.0000000
3 3 3 3 0.5462999
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0130067
4 0 2 1 0.0160887
4 0 2 2 -0.0000000
4 0 3 0 -0.0000000
4 0 3 1 -0.0000000
4 0 3 2 0.0027730
4 0 3 3 0.0000000
4 0 4 0 0.0194022
4 0 4 1 0.0084846
4 0 4 2 0.0000000
4 0 4 3 -0.0046072
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 0.0061369
4 1 2 1 -0.0147044
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0270173
4 1 3 3 -0.0000000
4 1 4 0 0.0084846
4 1 4 1 0.0449140
4 1 4 2 -0.0000000
4 1 4 3 0.0149146
4 1 4 4 0.0000000
4 2 0 0 0.2522087
4 2 1 0 -0.0058871
4 2 1 1 0.0472003
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 0.0386715
4 2 3 0 -0.0023563
4 2 3 1 -0.0477116
4 2 3 2 0.0000000
4 2 3 3 0.0741448
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1214123
4 2 4 3 -0.0000000
4 2 4 4 0.0490542
4 3 0 0 -0.0000000
4 3 1 0 0.0000000
4 3 1 1 -0.0000000
4 3 2 0 -0.0030886
4 3 2 1 -0.0491271
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 0.0000000
4 3 3 2 -0.0143875
4 3 3 3 -0.0000000
4 3 4 0 -0.0046072
4 3 4 1 0.0149146
4 3 4 2 -0.0000000
4 3 4 3 0.0356854
4 3 4 4 0.0000000
4 4 0 0 0.7220356
4 4 1 0 -0.0065341
4 4 1 1 0.4977545
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5303035
4 4 3 0 0.0000604
4 4 3 1 0.0317314
4 4 3 2 -0.0000000
4 4 3 3 0.4569270
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 0.0490542
4 4 4 3 0.0000000
4 4 4 4 0.5512149
5 0 0 0 0.0682155
5 0 1 0 -0.0085342
5 0 1 1 -0.0016478
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0028903
5 0 3 0 -0.0121467
5 0 3 1 -0.0153030
5 0 3 2 0.0000000
5 0 3 3 0.0055095
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0055428
5 0 4 3 0.0000000
5 0 4 4 0.0025039
5 0 5 0 0.0210691
5 0 5 1 0.0084877
5 0 5 2 -0.0000000
5 0 5 3 0.0035778
5 0 5 4 -0.0000000
5 0 5 5 -0.0063600
5 1 0 0 -0.0731360
5 1 1 0 0.0001363
5 1 1 1 -0.0252858
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0078597
5 1 3 0 -0.0063015
5 1 3 1 0.0079344
5 1 3 2 0.0000000
5 1 3 3 -0.0405136
5 1 4 0 -0.0000000
5 1 4 1 0.0000000
5 1 4 2 -0.0325022
5 1 4 3 0.0000000
5 1 4 4 0.0131872
5 1 5 0 0.0084877
5 1 5 1 0.0470355
5 1 5 2 0.0000000
5 1 5 3 0.0148157
5 1 5 4 -0.0000000
5 1 5 5 -0.0389039
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0012648
5 2 2 1 0.0519981
5 2 2 2 -0.0000000
5 2 3 0 0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0203361
5 2 3 3 -0.0000000
5 2 4 0 0.0021148
5 2 4 1 -0.0258230
5 2 4 2 -0.0000000
5 2 4 3 -0.0364453
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0463630
5 2 5 3 0.0000000
5 2 5 4 -0.0331557
5 2 5 5 0.0000000
5 3 0 0 -0.2419132
5 3 1 0 0.0054871
5 3 1 1 -0.0524575
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 -0.0628266
5 3 3 0 -0.0037923
5 3 3 1 -0.0381989
5 3 3 2 0.0000000
5 3 3 3 -0.0382920
5 3 4 0 -0.0000000
5 3 4 1 0.0000000
5 3 4 2 -0.0564321
5 3 4 3 0.0000000
5 3 4 4 -0.0675689
5 3 5 0 0.0035778
5 3 5 1 0.0148157
5 3 5 2 0.0000000
5 3 5 3 0.1051661
5 3 5 4 -0.0000000
5 3 5 5 -0.0736648
5 4 0 0 0.0000000
5 4 1 0 0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0023975
5 4 2 1 -0.0576327
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 0.0000000
5 4 3 2 -0.0429095
5 4 3 3 0.0000000
5 4 4 0 -0.0030507
5 4 4 1 0.0365833
5 4 4 2 -0.0000000
5 4 4 3 0.0243573
5 4 4 4 0.0000000
5 4 5 0 -0.0000000
5 4 5 1 -0.0000000
