NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.062010
ENERGIES
-11.066084
-0.803932
-0.585735
-0.543290
0.648154
0.674914
0.721303
1000000.503197

OEI
-18.472657	
0.257175	-4.485747	
-0.000000	0.000000	-4.152890	
0.013737	-0.019368	-0.000000	-4.099735	
-0.000000	0.000000	0.801866	-0.000000	-3.544472	
0.072550	-0.242132	0.000000	0.768812	0.000000	-3.535712	
-0.301034	0.895928	-0.000000	0.222209	-0.000000	0.006176	-3.441465	
-0.159938	-0.149606	-0.000000	-0.006203	-0.000000	-0.001864	0.001999	999996.061785	

ENV_OEI
-4.860445	
0.497357	-0.311922	
-0.000000	-0.000000	-0.260959	
0.027986	0.004768	-0.000000	-0.216553	
-0.000000	0.000000	0.161660	-0.000000	-0.316683	
0.149647	-0.052255	0.000000	0.145913	0.000000	-0.301013	
-0.629740	0.228351	-0.000000	0.055644	-0.000000	0.031892	-0.363220	
-0.306999	0.014555	0.000000	-0.008946	-0.000000	0.007878	-0.038127	-0.417685	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996672	-0.016875	0.006553	0.006462	0.006553	0.027078	0.000000	0.000121	
0.173895	-0.454022	-0.263720	-0.222455	-0.263720	0.380828	0.000000	0.017536	
-0.000000	0.000000	0.411797	0.000000	-0.411797	-0.000000	0.589952	0.000000	
0.009761	-0.034153	0.238366	-0.485635	0.238366	0.021712	0.000000	-0.581049	
-0.000000	0.000000	0.867107	0.000000	-0.867107	-0.000000	-1.088814	-0.000000	
0.052193	-0.322023	0.652819	-0.802875	0.652819	0.119042	-0.000000	1.066485	
-0.219277	1.373800	-0.614367	-0.959950	-0.614367	-0.501462	0.000000	0.241339	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237691
1 0 0 0 -0.2300131
1 0 1 0 0.0275545
1 0 1 1 0.0030425
1 1 0 0 0.6835760
1 1 1 0 0.0030425
1 1 1 1 0.5620385
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087677
2 0 2 1 0.0119097
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0119097
2 1 2 1 0.1179216
2 1 2 2 -0.0000000
2 2 0 0 0.6419096
2 2 1 0 -0.0016499
2 2 1 1 0.5067096
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5392985
3 0 0 0 -0.0128154
3 0 1 0 0.0012554
3 0 1 1 -0.0007493
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0028665
3 0 3 0 0.0086388
3 0 3 1 0.0114294
3 0 3 2 -0.0000000
3 0 3 3 0.0038218
3 1 0 0 0.0065403
3 1 1 0 -0.0002337
3 1 1 1 -0.0054543
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0465777
3 1 3 0 0.0114294
3 1 3 1 0.1077218
3 1 3 2 -0.0000000
3 1 3 3 0.0587511
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0022547
3 2 2 1 -0.0474013
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0397504
3 2 3 3 -0.0000000
3 3 0 0 0.6383970
3 3 1 0 -0.0017830
3 3 1 1 0.4962018
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4485287
3 3 3 0 0.0038218
3 3 3 1 0.0587511
3 3 3 2 -0.0000000
3 3 3 3 0.5463004
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 -0.0000000
4 0 2 0 -0.0130067
4 0 2 1 -0.0160887
4 0 2 2 0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0027729
4 0 3 3 0.0000000
4 0 4 0 0.0194021
4 0 4 1 0.0084846
4 0 4 2 -0.0000000
4 0 4 3 0.0046072
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 -0.0061369
4 1 2 1 0.0147044
4 1 2 2 -0.0000000
4 1 3 0 0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0270173
4 1 3 3 -0.0000000
4 1 4 0 0.0084846
4 1 4 1 0.0449140
4 1 4 2 0.0000000
4 1 4 3 -0.0149146
4 1 4 4 0.0000000
4 2 0 0 -0.2522088
4 2 1 0 0.0058872
4 2 1 1 -0.0472004
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 -0.0386720
4 2 3 0 -0.0023563
4 2 3 1 -0.0477115
4 2 3 2 0.0000000
4 2 3 3 -0.0741452
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1214123
4 2 4 3 -0.0000000
4 2 4 4 -0.0490537
4 3 0 0 0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 -0.0030887
4 3 2 1 -0.0491270
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 -0.0000000
4 3 3 2 0.0143873
4 3 3 3 0.0000000
4 3 4 0 0.0046072
4 3 4 1 -0.0149146
4 3 4 2 -0.0000000
4 3 4 3 0.0356854
4 3 4 4 -0.0000000
4 4 0 0 0.7220345
4 4 1 0 -0.0065340
4 4 1 1 0.4977545
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5303035
4 4 3 0 -0.0000604
4 4 3 1 -0.0317314
4 4 3 2 -0.0000000
4 4 3 3 0.4569271
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 -0.0490537
4 4 4 3 -0.0000000
4 4 4 4 0.5512144
5 0 0 0 -0.0682157
5 0 1 0 0.0085343
5 0 1 1 0.0016478
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0028902
5 0 3 0 -0.0121467
5 0 3 1 -0.0153030
5 0 3 2 0.0000000
5 0 3 3 -0.0055095
5 0 4 0 -0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0055428
5 0 4 3 0.0000000
5 0 4 4 -0.0025038
5 0 5 0 0.0210691
5 0 5 1 0.0084876
5 0 5 2 0.0000000
5 0 5 3 -0.0035778
5 0 5 4 -0.0000000
5 0 5 5 0.0063600
5 1 0 0 0.0731365
5 1 1 0 -0.0001363
5 1 1 1 0.0252860
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0078595
5 1 3 0 -0.0063015
5 1 3 1 0.0079343
5 1 3 2 -0.0000000
5 1 3 3 0.0405138
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0325024
5 1 4 3 0.0000000
