NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.730410
ENERGIES
-6.904234
-0.262837
-0.120252
-0.112342
1.298233
1.308875
1.462785
1000000.957232

OEI
-13.552534	
0.235682	-3.427994	
0.026003	-0.006096	-3.244572	
-0.000000	-0.000000	0.000000	-3.254132	
-0.000000	0.000000	0.000000	0.584612	-2.990350	
0.034097	-0.101166	0.557577	-0.000000	0.000000	-3.009433	
-0.495035	0.718574	0.114372	-0.000000	-0.000000	0.017316	-3.003671	
-0.152888	-0.121806	-0.012825	-0.000000	-0.000000	-0.001763	0.030678	999996.812837	

ENV_OEI
0.071650	
0.123277	0.343205	
0.014416	0.019871	0.332832	
-0.000000	-0.000000	0.000000	0.350166	
-0.000000	-0.000000	-0.000000	-0.135222	0.525071	
0.017019	0.027061	-0.152772	0.000000	0.000000	0.536535	
-0.284018	-0.139232	-0.017442	0.000000	-0.000000	0.016641	0.459735	
-0.112089	0.051215	0.000914	0.000000	-0.000000	0.013255	-0.063753	0.333367	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.974548	0.110886	-0.033568	-0.033853	-0.033568	-0.071326	0.000000	0.000378	
-0.143747	0.088583	0.391303	0.496045	0.391303	-0.239000	0.000000	0.029405	
-0.015921	0.017083	0.381883	-0.648753	0.381883	-0.026935	0.000000	-0.325707	
0.000000	-0.000000	0.582301	0.000000	-0.582301	0.000000	0.351897	0.000000	
0.000000	-0.000000	0.763137	0.000000	-0.763137	0.000000	-1.187320	-0.000000	
-0.021859	0.097475	0.389733	-0.907492	0.389733	-0.039474	-0.000000	1.191929	
0.321494	-1.472643	0.691418	0.599877	0.691418	0.589387	0.000000	0.076914	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.3978999
1 0 0 0 -0.2211470
1 0 1 0 0.0236661
1 0 1 1 0.0021961
1 1 0 0 0.5638297
1 1 1 0 0.0021961
1 1 1 1 0.4862502
2 0 0 0 -0.0243553
2 0 1 0 0.0021813
2 0 1 1 -0.0013355
2 0 2 0 0.0047602
2 0 2 1 0.0080173
2 0 2 2 -0.0015592
2 1 0 0 0.0048258
2 1 1 0 -0.0005721
2 1 1 1 -0.0274015
2 1 2 0 0.0080173
2 1 2 1 0.1514225
2 1 2 2 -0.0627051
2 2 0 0 0.5350197
2 2 1 0 0.0001617
2 2 1 1 0.4761778
2 2 2 0 -0.0015592
2 2 2 1 -0.0627051
2 2 2 2 0.4985795
3 0 0 0 0.0000000
3 0 1 0 -0.0000000
3 0 1 1 -0.0000000
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0000000
3 0 3 0 0.0049872
3 0 3 1 0.0080020
3 0 3 2 0.0041641
3 0 3 3 -0.0000000
3 1 0 0 -0.0000000
3 1 1 0 0.0000000
3 1 1 1 -0.0000000
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0000000
3 1 3 0 0.0080020
3 1 3 1 0.1201111
3 1 3 2 0.0908548
3 1 3 3 -0.0000000
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0000000
3 2 2 1 0.0000000
3 2 2 2 0.0000000
3 2 3 0 0.0041641
3 2 3 1 0.0908548
3 2 3 2 0.0792243
3 2 3 3 0.0000000
3 3 0 0 0.5431055
3 3 1 0 -0.0005065
3 3 1 1 0.4470570
3 3 2 0 0.0030846
3 3 2 1 0.0897111
3 3 2 2 0.4195060
3 3 3 0 -0.0000000
3 3 3 1 -0.0000000
3 3 3 2 0.0000000
3 3 3 3 0.5268108
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 0.0000000
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0000000
4 0 3 0 -0.0115793
4 0 3 1 -0.0177147
4 0 3 2 -0.0097843
4 0 3 3 0.0000000
4 0 4 0 0.0277692
4 0 4 1 0.0084978
4 0 4 2 -0.0038767
4 0 4 3 -0.0000000
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0000000
4 1 3 0 -0.0048861
4 1 3 1 0.0229231
4 1 3 2 0.0312483
4 1 3 3 -0.0000000
4 1 4 0 0.0084978
4 1 4 1 0.0368243
4 1 4 2 0.0166290
4 1 4 3 0.0000000
4 1 4 4 -0.0000000
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 -0.0000000
4 2 3 0 0.0009129
4 2 3 1 0.0487480
4 2 3 2 0.0344665
4 2 3 3 0.0000000
4 2 4 0 -0.0038767
4 2 4 1 0.0166290
4 2 4 2 0.0327073
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.2129560
4 3 1 0 0.0053441
4 3 1 1 -0.0263845
4 3 2 0 0.0019805
4 3 2 1 0.0506822
4 3 2 2 -0.0334831
4 3 3 0 -0.0000000
4 3 3 1 0.0000000
4 3 3 2 0.0000000
4 3 3 3 0.0067673
4 3 4 0 -0.0000000
4 3 4 1 0.0000000
4 3 4 2 0.0000000
4 3 4 3 0.0988929
4 3 4 4 -0.0845693
4 4 0 0 0.8178372
4 4 1 0 -0.0117582
4 4 1 1 0.4654617
4 4 2 0 -0.0025811
4 4 2 1 0.0304895
4 4 2 2 0.4513336
4 4 3 0 0.0000000
4 4 3 1 0.0000000
4 4 3 2 0.0000000
4 4 3 3 0.5077841
4 4 4 0 -0.0000000
4 4 4 1 -0.0000000
4 4 4 2 0.0000000
4 4 4 3 -0.0845693
4 4 4 4 0.6087410
5 0 0 0 -0.0329510
5 0 1 0 0.0044811
5 0 1 1 0.0036495
5 0 2 0 -0.0106408
5 0 2 1 -0.0190036
5 0 2 2 0.0041889
5 0 3 0 0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0000000
5 0 3 3 -0.0080727
5 0 4 0 -0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0000000
5 0 4 3 -0.0040163
5 0 4 4 0.0009600
5 0 5 0 0.0286335
5 0 5 1 0.0079414
5 0 5 2 0.0059516
5 0 5 3 -0.0000000
5 0 5 4 -0.0000000
5 0 5 5 -0.0011712
5 1 0 0 0.0369781
5 1 1 0 -0.0002086
5 1 1 1 -0.0020520
5 1 2 0 -0.0047002
5 1 2 1 0.0366114
5 1 2 2 -0.0231305
5 1 3 0 0.0000000
5 1 3 1 -0.0000000
5 1 3 2 0.0000000
5 1 3 3 0.0362160
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 0.0000000
5 1 4 3 0.0064704
5 1 4 4 0.0374672
5 1 5 0 0.0079414
5 1 5 1 0.0437876
5 1 5 2 -0.0259100
5 1 5 3 0.0000000
5 1 5 4 0.0000000
5 1 5 5 -0.0098065
5 2 0 0 -0.2037945
5 2 1 0 0.0052992
5 2 1 1 -0.0060532
5 2 2 0 -0.0008826
5 2 2 1 -0.0500589
5 2 2 2 0.0004198
5 2 3 0 0.0000000
5 2 3 1 0.0000000
5 2 3 2 -0.0000000
5 2 3 3 -0.0427535
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0000000
5 2 4 3 0.0406977
5 2 4 4 -0.0834496
5 2 5 0 0.0059516
5 2 5 1 -0.0259100
5 2 5 2 0.0931276
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0815248
5 3 0 0 0.0000000
5 3 1 0 -0.0000000
5 3 1 1 -0.0000000
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 0.0000000
5 3 3 0 0.0017694
5 3 3 1 0.0425073
5 3 3 2 0.0272043
5 3 3 3 0.0000000
5 3 4 0 -0.0053077
5 3 4 1 0.0096675
5 3 4 2 0.0255824
5 3 4 3 0.0000000
5 3 4 4 0.0000000
5 3 5 0 -0.0000000
