NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.126803
ENERGIES
-10.944099
-0.729313
-0.501046
-0.477168
0.734840
0.753650
0.790892
1000000.596284

OEI
-18.278034	
-0.250569	-4.365365	
-0.000000	-0.000000	-4.016717	
0.002517	0.006833	0.000000	-3.971426	
-0.000000	-0.000000	-0.784396	0.000000	-3.472275	
0.009961	0.031963	0.000000	0.777502	0.000000	-3.482067	
-0.312343	-0.916414	0.000000	0.030146	0.000000	0.001676	-3.393047	
-0.158821	0.148153	-0.000000	-0.000563	-0.000000	-0.001158	0.005441	999996.187688	

ENV_OEI
-4.665520	
-0.483313	-0.214031	
0.000000	-0.000000	-0.152363	
0.004867	0.000948	0.000000	-0.128210	
-0.000000	-0.000000	-0.130624	0.000000	-0.216909	
0.020774	0.003920	0.000000	0.114695	0.000000	-0.205434	
-0.651070	-0.205198	0.000000	0.007368	-0.000000	0.003273	-0.294583	
-0.310702	-0.012132	-0.000000	-0.003473	-0.000000	-0.002021	-0.032734	-0.291782	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996567	-0.017376	0.006660	0.006690	0.006660	0.027313	-0.000000	-0.000055	
-0.170531	0.430998	0.265815	0.256038	0.265815	-0.372578	0.000000	-0.001182	
-0.000000	-0.000000	0.430180	-0.000000	-0.430180	-0.000000	0.566619	-0.000000	
0.001892	-0.006810	0.256160	-0.512708	0.256160	0.004126	-0.000000	-0.548825	
-0.000000	0.000000	-0.858136	-0.000000	0.858136	-0.000000	1.101137	-0.000000	
0.007060	-0.042351	0.512064	-0.961401	0.512064	0.016152	0.000000	1.109683	
-0.228508	1.417995	-0.729041	-0.773769	-0.729041	-0.521566	-0.000000	0.030865	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	0.000000	-0.000000	

ERI
0 0 0 0 3.5232196
1 0 0 0 0.2258815
1 0 1 0 0.0265460
1 0 1 1 -0.0029992
1 1 0 0 0.6746869
1 1 1 0 -0.0029992
1 1 1 1 0.5545717
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0082269
2 0 2 1 -0.0112675
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0112675
2 1 2 1 0.1155390
2 1 2 2 0.0000000
2 2 0 0 0.6311975
2 2 1 0 0.0014718
2 2 1 1 0.4989743
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5362151
3 0 0 0 -0.0025320
3 0 1 0 -0.0002698
3 0 1 1 -0.0001074
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0027976
3 0 3 0 0.0078219
3 0 3 1 -0.0108552
3 0 3 2 0.0000000
3 0 3 3 0.0030307
3 1 0 0 -0.0017596
3 1 1 0 -0.0000215
3 1 1 1 0.0009544
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0526097
3 1 3 0 -0.0108552
3 1 3 1 0.1137448
3 1 3 2 -0.0000000
3 1 3 3 -0.0564018
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0027803
3 2 2 1 0.0532797
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0444387
3 2 3 3 -0.0000000
3 3 0 0 0.6231926
3 3 1 0 0.0013137
3 3 1 1 0.4954659
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4443009
3 3 3 0 0.0030307
3 3 3 1 -0.0564018
3 3 3 2 -0.0000000
3 3 3 3 0.5355317
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 -0.0000000
4 0 2 0 0.0127794
4 0 2 1 -0.0159183
4 0 2 2 -0.0000000
4 0 3 0 -0.0000000
4 0 3 1 0.0000000
4 0 3 2 -0.0036711
4 0 3 3 0.0000000
4 0 4 0 0.0199661
4 0 4 1 -0.0088272
4 0 4 2 0.0000000
4 0 4 3 0.0041383
4 0 4 4 -0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 0.0000000
4 1 2 0 -0.0061089
4 1 2 1 -0.0127845
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 -0.0269152
4 1 3 3 0.0000000
4 1 4 0 -0.0088272
4 1 4 1 0.0437620
4 1 4 2 0.0000000
4 1 4 3 0.0151583
4 1 4 4 0.0000000
4 2 0 0 0.2502680
4 2 1 0 0.0056228
4 2 1 1 0.0483955
4 2 2 0 -0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0336743
4 2 3 0 0.0024260
4 2 3 1 -0.0482420
4 2 3 2 -0.0000000
4 2 3 3 0.0678033
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1207636
4 2 4 3 0.0000000
4 2 4 4 0.0537179
4 3 0 0 -0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 0.0026232
4 3 2 1 -0.0487497
4 3 2 2 -0.0000000
4 3 3 0 -0.0000000
4 3 3 1 -0.0000000
4 3 3 2 -0.0183111
4 3 3 3 0.0000000
4 3 4 0 0.0041383
4 3 4 1 0.0151583
4 3 4 2 0.0000000
4 3 4 3 0.0359815
4 3 4 4 -0.0000000
4 4 0 0 0.7327360
4 4 1 0 0.0066833
4 4 1 1 0.4951382
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
