NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.059067
ENERGIES
-11.065675
-0.803706
-0.585500
-0.543065
0.648407
0.675167
0.721520
1000000.503517

OEI
-18.472021	
0.257154	-4.485372	
-0.000000	0.000000	-4.152474	
-0.013728	0.019362	0.000000	-4.099313	
-0.000000	-0.000000	-0.801808	-0.000000	-3.544292	
-0.072544	0.242080	-0.000000	0.768761	0.000000	-3.535547	
-0.301045	0.895903	-0.000000	-0.222153	0.000000	-0.006161	-3.441307	
-0.159935	-0.149601	-0.000000	0.006199	-0.000000	0.001867	0.002009	999996.062209	

ENV_OEI
-4.859808	
0.497310	-0.311621	
-0.000000	-0.000000	-0.260647	
-0.027968	-0.004764	0.000000	-0.216252	
-0.000000	-0.000000	-0.161549	-0.000000	-0.316400	
-0.149635	0.052221	-0.000000	0.145798	0.000000	-0.300731	
-0.629755	0.228260	-0.000000	-0.055599	0.000000	-0.031885	-0.362986	
-0.307014	0.014551	0.000000	0.008940	0.000000	-0.007867	-0.038105	-0.417261	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996671	-0.016877	0.006554	0.006463	0.006554	0.027079	-0.000000	0.000121	
0.173884	-0.453947	-0.263754	-0.222507	-0.263754	0.380801	-0.000000	0.017518	
-0.000000	0.000000	-0.411867	0.000000	0.411867	-0.000000	-0.589865	0.000000	
-0.009755	0.034132	-0.238414	0.485726	-0.238414	-0.021699	0.000000	0.580949	
-0.000000	0.000000	0.867074	-0.000000	-0.867074	-0.000000	-1.088861	0.000000	
-0.052190	0.321997	-0.652782	0.802856	-0.652782	-0.119035	-0.000000	-1.066541	
-0.219289	1.373831	-0.614374	-0.959908	-0.614374	-0.501485	0.000000	0.241331	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237670
1 0 0 0 -0.2299998
1 0 1 0 0.0275513
1 0 1 1 0.0030424
1 1 0 0 0.6835468
1 1 1 0 0.0030424
1 1 1 1 0.5620152
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087657
2 0 2 1 0.0119076
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0119076
2 1 2 1 0.1179244
2 1 2 2 0.0000000
2 2 0 0 0.6418691
2 2 1 0 -0.0016490
2 2 1 1 0.5066930
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5392861
3 0 0 0 0.0128080
3 0 1 0 -0.0012547
3 0 1 1 0.0007486
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0028665
3 0 3 0 0.0086364
3 0 3 1 0.0114273
3 0 3 2 -0.0000000
3 0 3 3 -0.0038212
3 1 0 0 -0.0065382
3 1 1 0 0.0002335
3 1 1 1 0.0054516
3 1 2 0 -0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0465910
3 1 3 0 0.0114273
3 1 3 1 0.1077290
3 1 3 2 -0.0000000
3 1 3 3 -0.0587590
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0022553
3 2 2 1 0.0474152
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0397575
3 2 3 3 0.0000000
3 3 0 0 0.6383505
3 3 1 0 -0.0017817
3 3 1 1 0.4961881
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4485057
3 3 3 0 -0.0038212
3 3 3 1 -0.0587590
3 3 3 2 0.0000000
3 3 3 3 0.5462830
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0130059
4 0 2 1 0.0160886
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0027743
4 0 3 3 -0.0000000
4 0 4 0 0.0194042
4 0 4 1 0.0084856
4 0 4 2 -0.0000000
4 0 4 3 -0.0046069
4 0 4 4 -0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 0.0061367
4 1 2 1 -0.0147046
4 1 2 2 -0.0000000
4 1 3 0 0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0270183
4 1 3 3 0.0000000
4 1 4 0 0.0084856
4 1 4 1 0.0449135
4 1 4 2 0.0000000
4 1 4 3 0.0149143
4 1 4 4 -0.0000000
4 2 0 0 0.2522024
4 2 1 0 -0.0058864
4 2 1 1 0.0471957
4 2 2 0 -0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0386532
4 2 3 0 -0.0023559
4 2 3 1 -0.0477134
4 2 3 2 0.0000000
4 2 3 3 0.0741326
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1214107
4 2 4 3 0.0000000
4 2 4 4 0.0490715
4 3 0 0 0.0000000
4 3 1 0 -0.0000000
4 3 1 1 0.0000000
4 3 2 0 -0.0030879
4 3 2 1 -0.0491284
4 3 2 2 0.0000000
4 3 3 0 0.0000000
4 3 3 1 0.0000000
4 3 3 2 -0.0143946
4 3 3 3 0.0000000
4 3 4 0 -0.0046069
4 3 4 1 0.0149143
4 3 4 2 0.0000000
4 3 4 3 0.0356857
4 3 4 4 0.0000000
4 4 0 0 0.7220749
4 4 1 0 -0.0065347
4 4 1 1 0.4977539
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5303018
4 4 3 0 0.0000599
4 4 3 1 0.0317298
4 4 3 2 -0.0000000
4 4 3 3 0.4569258
4 4 4 0 -0.0000000
4 4 4 1 -0.0000000
4 4 4 2 0.0490715
4 4 4 3 0.0000000
4 4 4 4 0.5512302
5 0 0 0 0.0682119
5 0 1 0 -0.0085330
5 0 1 1 -0.0016470
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0028914
5 0 3 0 -0.0121461
5 0 3 1 -0.0153032
5 0 3 2 0.0000000
5 0 3 3 0.0055094
5 0 4 0 -0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0055426
5 0 4 3 -0.0000000
5 0 4 4 0.0025047
5 0 5 0 0.0210713
5 0 5 1 0.0084887
5 0 5 2 0.0000000
5 0 5 3 0.0035779
5 0 5 4 0.0000000
5 0 5 5 -0.0063608
5 1 0 0 -0.0731232
5 1 1 0 0.0001363
5 1 1 1 -0.0252800
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0078659
5 1 3 0 -0.0063010
5 1 3 1 0.0079371
5 1 3 2 -0.0000000
5 1 3 3 -0.0405085
5 1 4 0 -0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0324983
5 1 4 3 0.0000000
5 1 4 4 0.0131845
5 1 5 0 0.0084887
5 1 5 1 0.0470343
5 1 5 2 -0.0000000
5 1 5 3 0.0148128
5 1 5 4 0.0000000
5 1 5 5 -0.0389058
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0012646
5 2 2 1 0.0520001
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0203424
5 2 3 3 0.0000000
5 2 4 0 0.0021149
5 2 4 1 -0.0258205
5 2 4 2 0.0000000
5 2 4 3 -0.0364456
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0463623
5 2 5 3 -0.0000000
5 2 5 4 -0.0331470
5 2 5 5 -0.0000000
5 3 0 0 -0.2419088
5 3 1 0 0.0054866
5 3 1 1 -0.0524498
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0628175
5 3 3 0 -0.0037913
5 3 3 1 -0.0381989
5 3 3 2 0.0000000
5 3 3 3 -0.0382755
5 3 4 0 -0.0000000
5 3 4 1 0.0000000
5 3 4 2 -0.0564320
5 3 4 3 -0.0000000
5 3 4 4 -0.0675770
5 3 5 0 0.0035779
5 3 5 1 0.0148128
5 3 5 2 -0.0000000
5 3 5 3 0.1051654
5 3 5 4 0.0000000
5 3 5 5 -0.0736803
5 4 0 0 -0.0000000
5 4 1 0 0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0023967
5 4 2 1 -0.0576263
5 4 2 2 0.0000000
5 4 3 0 -0.0000000
5 4 3 1 0.0000000
5 4 3 2 -0.0429109
5 4 3 3 -0.0000000
5 4 4 0 -0.0030501
5 4 4 1 0.0365773
5 4 4 2 -0.0000000
5 4 4 3 0.0243516
5 4 4 4 -0.0000000
5 4 5 0 0.0000000
5 4 5 1 0.0000000
5 4 5 2 -0.0331470
5 4 5 3 0.0000000
5 4 5 4 0.0592616
5 4 5 5 0.0000000
5 5 0 0 0.7271914
5 5 1 0 -0.0061671
5 5 1 1 0.4983535
5 5 2 0 0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.4838916
5 5 3 0 0.0059282
5 5 3 1 0.0113922
5 5 3 2 -0.0000000
5 5 3 3 0.5057371
5 5 4 0 0.0000000
5 5 4 1 0.0000000
5 5 4 2 0.0548157
5 5 4 3 0.0000000
5 5 4 4 0.4921842
5 5 5 0 -0.0063608
5 5 5 1 -0.0389058
5 5 5 2 -0.0000000
5 5 5 3 -0.0736803
5 5 5 4 0.0000000
5 5 5 5 0.5371571
6 0 0 0 0.2860395
6 0 1 0 -0.0339881
