NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.840307
ENERGIES
-10.875688
-0.834845
-0.400205
-0.242909
0.563603
0.758680
0.844466
849736.619511
965066.344268
996478.025104
1070620.633650
1118094.064852

OEI
-18.426935	
-0.214327	-4.511786	
-0.000000	-0.000000	-4.031993	
0.196389	0.156716	0.000000	-4.192874	
0.119671	0.171886	-0.000000	-0.424024	-3.041086	
0.243652	0.902986	-0.000000	0.163219	-0.002841	-3.831271	
0.000000	0.000000	0.766035	-0.000000	0.000000	0.000000	-3.437834	
-0.115815	0.052847	-0.000000	-0.039483	0.001984	0.018101	0.000000	849733.038320	
-0.000000	-0.000000	0.126617	0.000000	-0.000000	0.000000	0.017441	-0.000000	965063.471875	
0.004939	-0.022057	0.000000	-0.001319	-0.005040	0.013701	0.000000	0.001052	0.000000	996474.768755	
-0.037806	0.201509	-0.000000	0.073124	-0.128384	0.116152	-0.000000	-0.141627	0.000000	-0.139369	1070618.081387	
0.112533	-0.076951	-0.000000	0.128278	-0.003326	-0.003340	-0.000000	0.814953	0.000000	-0.038546	0.314877	1118090.384950	

ENV_OEI
-4.953920	
-0.404655	-0.554563	
-0.000000	-0.000000	-0.330089	
0.383203	-0.104697	-0.000000	-0.582902	
0.241479	0.342260	0.000000	0.202354	-0.742093	
0.499542	0.023997	-0.000000	-0.237999	0.341637	-0.782308	
0.000000	0.000000	0.096794	0.000000	-0.000000	0.000000	-0.380003	
-0.225636	0.020203	0.000000	-0.038964	0.013197	0.027510	0.000000	-0.653446	
0.000000	0.000000	-0.166789	0.000000	0.000000	0.000000	-0.158662	-0.000000	-0.825858	
-0.015039	-0.329300	-0.000000	-0.685534	1.436633	-0.763887	0.000000	0.147479	0.000000	-18.759946	
-0.056529	-0.045684	-0.000000	-0.031530	0.054786	-0.076829	0.000000	0.085964	-0.000000	-1.706538	-0.799990	
0.215499	-0.003704	-0.000000	-0.028118	0.001931	-0.004372	0.000000	-0.219907	-0.000000	-0.166996	-0.021245	-0.518139	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
