NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.840658
ENERGIES
-10.875737
-0.834843
-0.400218
-0.242917
0.563620
0.758673
0.844446
849736.619523
965066.344309
996478.025224
1070620.633693
1118094.064857

OEI
-18.427056	
0.214337	-4.511822	
-0.000000	-0.000000	-4.032039	
-0.196382	0.156703	-0.000000	-4.192954	
0.119690	-0.171988	0.000000	0.423988	-3.041027	
-0.243645	0.902995	-0.000000	0.163303	0.002986	-3.831232	
-0.000000	0.000000	0.766061	-0.000000	0.000000	-0.000000	-3.437851	
-0.115816	-0.052848	-0.000000	0.039477	0.001988	-0.018098	-0.000000	849733.038338	
-0.000000	-0.000000	0.126624	0.000000	0.000000	0.000000	0.017447	-0.000000	965063.471955	
0.004939	0.022059	-0.000000	0.001320	-0.005038	-0.013700	0.000000	0.001052	-0.000000	996474.768952	
-0.037806	-0.201506	0.000000	-0.073119	-0.128378	-0.116172	0.000000	-0.141635	0.000000	-0.139363	1070618.081466	
0.112533	0.076956	0.000000	-0.128276	-0.003334	0.003336	0.000000	0.814989	0.000000	-0.038545	0.314885	1118090.384953	

ENV_OEI
-4.954041	
0.404673	-0.554543	
-0.000000	-0.000000	-0.330119	
-0.383192	-0.104642	-0.000000	-0.582900	
0.241520	-0.342229	-0.000000	-0.202277	-0.742036	
-0.499526	0.024015	-0.000000	-0.237968	-0.341633	-0.782405	
-0.000000	-0.000000	0.096828	-0.000000	-0.000000	-0.000000	-0.380037	
-0.225633	-0.020203	0.000000	0.038955	0.013202	-0.027507	-0.000000	-0.653428	
0.000000	0.000000	-0.166766	0.000000	0.000000	0.000000	-0.158649	0.000000	-0.825778	
-0.015038	0.329241	0.000000	0.685438	1.436591	0.764066	0.000000	0.147479	0.000000	-18.759749	
-0.056529	0.045673	0.000000	0.031526	0.054788	0.076833	0.000000	0.085947	-0.000000	-1.706513	-0.799911	
0.215497	0.003705	0.000000	0.028118	0.001931	0.004375	-0.000000	-0.219837	-0.000000	-0.166991	-0.021227	-0.518136	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996660	0.016317	-0.006488	-0.006488	0.001353	-0.006646	-0.016527	-0.000000	-0.023303	-0.002250	0.000000	0.003208	
-0.142268	0.330786	0.247536	0.247536	-0.033732	-0.009859	-0.301029	-0.000000	-0.229233	0.361551	0.000000	0.063747	
0.000000	-0.000000	-0.466565	0.466565	-0.000000	0.000000	-0.000000	0.585558	0.000000	0.000000	-0.347777	-0.000000	
0.134602	-0.549686	-0.118894	-0.118894	-0.061235	0.263293	-0.492360	-0.000000	0.511106	0.401426	0.000000	-0.097358	
-0.082832	0.525431	-0.842970	-0.842970	-0.124812	0.755512	0.209559	0.000000	-0.274340	0.687056	0.000000	-0.041504	
0.175739	-1.082232	0.525559	0.525559	-0.068204	0.422447	1.012627	0.000000	0.052363	0.650139	0.000000	0.045628	
0.000000	-0.000000	-0.937151	0.937151	-0.000000	0.000000	0.000000	-1.099354	-0.000000	0.000000	-0.319831	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	-0.000000	-0.573901	-0.025821	-0.000000	0.799278	
-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	0.000000	0.003845	0.105482	0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019715	0.850777	-0.045686	-0.000000	-0.129013	-0.446528	-0.000000	-0.196305	
-0.081637	0.375836	0.000000	0.000000	-0.011611	0.229176	0.196837	-0.000000	0.555851	-0.120150	-0.000000	0.583417	

ERI
0 0 0 0 3.5235937
1 0 0 0 -0.1896021
1 0 1 0 0.0200475
1 0 1 1 0.0056894
1 1 0 0 0.6394126
1 1 1 0 0.0056894
1 1 1 1 0.5933277
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087030
2 0 2 1 0.0103369
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0103369
2 1 2 1 0.1013013
2 1 2 2 -0.0000000
2 2 0 0 0.6378348
2 2 1 0 -0.0004869
2 2 1 1 0.5070972
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5344797
3 0 0 0 0.1758139
3 0 1 0 -0.0139978
3 0 1 1 0.0079136
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0037145
3 0 3 0 0.0252713
3 0 3 1 0.0075592
3 0 3 2 -0.0000000
3 0 3 3 -0.0087117
3 1 0 0 -0.0702818
3 1 1 0 0.0011167
3 1 1 1 0.0202343
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0225027
3 1 3 0 0.0075592
3 1 3 1 0.0655497
3 1 3 2 0.0000000
3 1 3 3 -0.0452612
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0071404
3 2 2 1 -0.0398957
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0370054
3 2 3 3 0.0000000
3 3 0 0 0.7636261
3 3 1 0 -0.0057772
3 3 1 1 0.4887648
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4772435
3 3 3 0 -0.0087117
3 3 3 1 -0.0452612
3 3 3 2 0.0000000
3 3 3 3 0.6185947
4 0 0 0 -0.1089368
4 0 1 0 0.0091454
4 0 1 1 -0.0033901
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0022674
4 0 3 0 -0.0138380
4 0 3 1 -0.0029287
4 0 3 2 0.0000000
4 0 3 3 0.0032415
4 0 4 0 0.0077926
4 0 4 1 0.0000449
4 0 4 2 -0.0000000
4 0 4 3 -0.0028331
4 0 4 4 -0.0002398
4 1 0 0 0.0480871
4 1 1 0 0.0006081
4 1 1 1 0.0342957
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0262340
4 1 3 0 -0.0001356
4 1 3 1 0.0247392
4 1 3 2 0.0000000
4 1 3 3 0.0432888
4 1 4 0 0.0000449
4 1 4 1 0.0669662
4 1 4 2 -0.0000000
4 1 4 3 0.0153438
4 1 4 4 0.0138351
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0020569
4 2 2 1 -0.0762409
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0197473
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0840891
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1584013
4 3 1 0 0.0053369
4 3 1 1 0.0264493
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0187616
4 3 3 0 0.0073706
4 3 3 1 0.0596872
4 3 3 2 -0.0000000
4 3 3 3 -0.0919124
4 3 4 0 -0.0028331
4 3 4 1 0.0153438
4 3 4 2 0.0000000
4 3 4 3 0.0926801
4 3 4 4 0.0389681
4 4 0 0 0.4990048
4 4 1 0 0.0012440
4 4 1 1 0.5113995
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4699285
4 4 3 0 0.0006587
4 4 3 1 0.0243181
4 4 3 2 -0.0000000
4 4 3 3 0.4477548
4 4 4 0 -0.0002398
4 4 4 1 0.0138351
4 4 4 2 0.0000000
4 4 4 3 0.0389681
4 4 4 4 0.5178253
5 0 0 0 0.2309816
5 0 1 0 -0.0269320
5 0 1 1 -0.0119731
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0010584
5 0 3 0 0.0095386
5 0 3 1 -0.0065085
5 0 3 2 0.0000000
5 0 3 3 0.0151307
5 0 4 0 -0.0078778
5 0 4 1 -0.0003180
5 0 4 2 -0.0000000
5 0 4 3 -0.0128758
5 0 4 4 -0.0018279
5 0 5 0 0.0419973
5 0 5 1 0.0045598
5 0 5 2 -0.0000000
5 0 5 3 -0.0037560
5 0 5 4 0.0021302
5 0 5 5 -0.0103180
5 1 0 0 -0.2692878
5 1 1 0 -0.0005111
5 1 1 1 -0.0729470
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0639548
5 1 3 0 -0.0080261
5 1 3 1 0.0290718
5 1 3 2 -0.0000000
5 1 3 3 -0.0894339
5 1 4 0 0.0038758
5 1 4 1 -0.0067113
5 1 4 2 0.0000000
5 1 4 3 0.0506521
5 1 4 4 0.0032138
5 1 5 0 0.0045598
5 1 5 1 0.1063642
5 1 5 2 -0.0000000
5 1 5 3 0.0268801
5 1 5 4 0.0148283
5 1 5 5 -0.1037512
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 -0.0052075
5 2 2 1 0.0051616
5 2 2 2 0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0015814
5 2 3 3 0.0000000
5 2 4 0 0.0000000
5 2 4 1 0.0000000
5 2 4 2 -0.0241590
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0283494
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0633475
5 3 1 0 0.0037375
5 3 1 1 0.0227262
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0115949
5 3 3 0 -0.0027465
5 3 3 1 0.0064655
5 3 3 2 0.0000000
5 3 3 3 -0.0218420
5 3 4 0 0.0011533
5 3 4 1 0.0236687
5 3 4 2 0.0000000
5 3 4 3 0.0362295
5 3 4 4 0.0246316
5 3 5 0 -0.0037560
5 3 5 1 0.0268801
5 3 5 2 0.0000000
5 3 5 3 0.0464560
5 3 5 4 0.0106762
5 3 5 5 -0.0025806
5 4 0 0 -0.0009771
5 4 1 0 -0.0015114
5 4 1 1 0.0031588
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 -0.0256051
5 4 3 0 0.0001191
5 4 3 1 0.0329915
