NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.432467
ENERGIES
-10.812319
-0.808184
-0.370614
-0.213700
0.581177
0.792493
0.878333
849736.642871
965066.351881
996478.016141
1070620.638239
1118094.091399

OEI
-18.326648	
0.209804	-4.463129	
-0.000000	-0.000000	-3.980162	
-0.198475	0.162435	0.000000	-4.130862	
-0.117728	0.153398	-0.000000	-0.432830	-3.042600	
-0.244098	0.890878	0.000000	0.140254	0.031230	-3.819506	
-0.000000	-0.000000	0.751271	-0.000000	0.000000	0.000000	-3.411139	
-0.115560	-0.052130	-0.000000	0.041698	-0.000364	-0.019241	-0.000000	849733.060564	
0.000000	0.000000	-0.123355	0.000000	-0.000000	0.000000	-0.014387	0.000000	965063.462260	
0.004883	0.021422	0.000000	0.000935	0.005219	-0.014066	-0.000000	0.001045	-0.000000	996474.726620	
-0.037616	-0.202360	-0.000000	-0.076323	0.129046	-0.109775	-0.000000	-0.137438	0.000000	-0.142148	1070618.070129	
0.112281	0.075318	-0.000000	-0.128857	-0.000079	0.005201	0.000000	0.798000	-0.000000	-0.038923	0.311003	1118090.413258	

ENV_OEI
-4.853467	
0.395646	-0.531639	
0.000000	-0.000000	-0.292058	
-0.385934	-0.125329	-0.000000	-0.557901	
-0.236564	0.350861	0.000000	0.232278	-0.727895	
-0.501176	0.005948	0.000000	-0.254478	0.335201	-0.723676	
0.000000	0.000000	0.075564	0.000000	-0.000000	0.000000	-0.339509	
-0.227490	-0.020698	-0.000000	0.042176	-0.011286	-0.026842	0.000000	-0.631202	
-0.000000	-0.000000	0.176243	0.000000	-0.000000	0.000000	0.161141	0.000000	-0.835473	
-0.015185	0.347571	0.000000	0.726405	-1.437171	0.719536	-0.000000	0.147148	-0.000000	-18.802081	
-0.056647	0.050982	-0.000000	0.034133	-0.054359	0.076816	-0.000000	0.094015	0.000000	-1.713078	-0.811248	
0.217319	0.003690	0.000000	0.029386	-0.002501	0.001618	-0.000000	-0.254039	0.000000	-0.168267	-0.030308	-0.489831	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
