NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.838305
ENERGIES
-10.875419
-0.834868
-0.400138
-0.242863
0.563494
0.758706
0.844574
849736.619430
965066.344012
996478.024382
1070620.633390
1118094.064814

OEI
-18.426230	
-0.214267	-4.511590	
0.000000	-0.000000	-4.031731	
0.196427	0.156792	0.000000	-4.192393	
0.119560	0.171294	-0.000000	-0.424241	-3.041454	
0.243687	0.902928	-0.000000	0.162718	-0.001985	-3.831512	
-0.000000	-0.000000	-0.765879	-0.000000	-0.000000	0.000000	-3.437741	
-0.115812	0.052835	0.000000	-0.039518	0.001958	0.018121	-0.000000	849733.038207	
0.000000	-0.000000	0.126573	0.000000	-0.000000	-0.000000	-0.017407	0.000000	965063.471381	
0.004938	-0.022049	-0.000000	-0.001312	-0.005048	0.013704	-0.000000	0.001052	-0.000000	996474.767570	
-0.037804	0.201529	-0.000000	0.073159	-0.128417	0.116034	-0.000000	-0.141573	-0.000000	-0.139409	1070618.080910	
0.112530	-0.076919	-0.000000	0.128294	-0.003280	-0.003371	0.000000	0.814734	-0.000000	-0.038552	0.314827	1118090.384918	

ENV_OEI
-4.953215	
-0.404546	-0.554698	
-0.000000	-0.000000	-0.329929	
0.383273	-0.105027	0.000000	-0.582922	
0.241246	0.342440	-0.000000	0.202822	-0.742431	
0.499631	0.023889	-0.000000	-0.238195	0.341653	-0.781749	
-0.000000	-0.000000	-0.096589	0.000000	-0.000000	0.000000	-0.379808	
-0.225652	0.020206	0.000000	-0.039027	0.013163	0.027538	-0.000000	-0.653559	
-0.000000	0.000000	-0.166922	-0.000000	0.000000	0.000000	0.158737	-0.000000	-0.826352	
-0.015040	-0.329653	-0.000000	-0.686124	1.436863	-0.762843	0.000000	0.147478	-0.000000	-18.761131	
-0.056530	-0.045748	0.000000	-0.031555	0.054773	-0.076804	0.000000	0.086060	0.000000	-1.706690	-0.800467	
0.215515	-0.003688	-0.000000	-0.028112	0.001936	-0.004356	0.000000	-0.220332	0.000000	-0.167023	-0.021351	-0.518172	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996660	0.016318	-0.006488	-0.006488	0.001353	-0.006646	-0.016527	-0.000000	-0.023304	-0.002251	0.000000	0.003208	
0.142233	-0.330614	-0.247477	-0.247477	0.033769	0.009651	0.300931	-0.000000	0.229183	-0.361805	-0.000000	-0.063733	
0.000000	-0.000000	0.466648	-0.466648	0.000000	-0.000000	0.000000	-0.585461	0.000000	-0.000000	0.347805	-0.000000	
-0.134636	0.549798	0.119127	0.119127	0.061294	-0.263681	0.491992	-0.000000	-0.511051	-0.401784	0.000000	0.097373	
-0.082739	0.524824	-0.842586	-0.842586	-0.124833	0.755713	0.210506	-0.000000	-0.274465	0.687316	-0.000000	-0.041443	
-0.175787	1.082522	-0.526150	-0.526150	0.068096	-0.421849	-1.012639	-0.000000	-0.052469	-0.649503	-0.000000	-0.045671	
0.000000	-0.000000	-0.937110	0.937110	-0.000000	0.000000	0.000000	-1.099406	0.000000	0.000000	-0.319800	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	-0.000000	-0.573901	-0.025821	0.000000	0.799278	
0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	0.000000	0.003845	0.105482	-0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019715	0.850777	-0.045686	0.000000	-0.129013	-0.446528	0.000000	-0.196305	
-0.081637	0.375836	0.000000	0.000000	-0.011611	0.229176	0.196837	0.000000	0.555851	-0.120150	0.000000	0.583417	

ERI
0 0 0 0 3.5235916
1 0 0 0 0.1895576
1 0 1 0 0.0200380
1 0 1 1 -0.0056887
1 1 0 0 0.6393255
1 1 1 0 -0.0056887
1 1 1 1 0.5933170
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087008
2 0 2 1 -0.0103332
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0103332
2 1 2 1 0.1012738
2 1 2 2 -0.0000000
2 2 0 0 0.6377902
2 2 1 0 0.0004858
2 2 1 1 0.5070619
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5344661
3 0 0 0 -0.1758604
