NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.538087
ENERGIES
-10.878095
-0.551794
-0.471319
-0.284955
0.546318
0.753911
0.852929
849736.522311
965066.525531
996478.230621
1070621.136405
1118093.653872

OEI
-18.436086	
-0.270354	-4.345296	
-0.000000	0.000000	-3.800653	
0.109602	0.159152	0.000000	-4.121033	
-0.266861	-0.184310	0.000000	0.480006	-3.079827	
0.000000	-0.000000	0.858470	-0.000000	-0.000000	-3.673782	
0.198658	0.801635	0.000000	0.417098	-0.102259	-0.000000	-3.251610	
0.105135	-0.066193	0.000000	0.107661	0.459841	-0.000000	-0.065318	849732.976651	
-0.000000	0.000000	0.073955	0.000000	-0.000000	-0.116814	0.000000	-0.000000	965063.849262	
-0.005107	0.020998	-0.000000	0.004211	-0.002459	-0.000000	-0.017250	0.002798	-0.000000	996475.222690	
-0.035757	0.192385	0.000000	0.043323	-0.105787	-0.000000	0.171140	0.192138	-0.000000	0.125901	1070618.758211	
0.101605	-0.077356	0.000000	0.213192	0.461212	-0.000000	-0.026831	-0.955715	-0.000000	0.034721	0.332298	1118089.991722	

ENV_OEI
-4.964248	
-0.504988	-0.679271	
0.000000	0.000000	-0.170294	
0.218236	-0.096456	-0.000000	-0.460654	
-0.471979	-0.096609	0.000000	0.125766	-0.210887	
-0.000000	0.000000	0.206065	0.000000	-0.000000	-0.381524	
0.387882	-0.155499	0.000000	-0.237017	0.004646	0.000000	-1.125277	
0.225885	-0.013188	0.000000	0.072447	0.070060	-0.000000	0.014721	-0.629352	
0.000000	-0.000000	-0.064750	0.000000	0.000000	0.034415	0.000000	-0.000000	-0.796965	
0.018322	0.489994	0.000000	0.466214	0.056268	-0.000000	1.462587	0.126084	-0.000000	-18.639125	
-0.055684	-0.040947	-0.000000	-0.009885	-0.021363	0.000000	-0.075456	-0.248006	-0.000000	1.675680	-0.854466	
0.214539	-0.021699	0.000000	0.000041	0.082904	-0.000000	-0.050759	0.165490	0.000000	0.179227	0.102914	-0.447479	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.259000	0.259000	-0.015125	-0.113119	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.073326	0.073326	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.064594	0.064594	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	-0.051506	0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.093323	0.093323	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996506	-0.018412	0.008829	0.008829	-0.001634	0.008302	0.020618	-0.000000	0.002371	-0.002489	0.000000	0.003840	
-0.178181	0.552480	0.051707	0.051707	-0.047275	0.088349	-0.444176	0.000000	-0.199817	0.183918	-0.000000	0.353079	
0.000000	0.000000	-0.518993	0.518993	-0.000000	0.000000	0.000000	0.456207	-0.000000	-0.000000	-0.129390	-0.000000	
0.078245	-0.234450	-0.255575	-0.255575	-0.042555	0.126245	0.400256	-0.000000	-0.675498	0.017919	0.000000	0.305608	
-0.156885	1.041551	-0.924096	-0.924096	-0.004740	0.038143	0.407812	-0.000000	0.395337	0.015293	0.000000	0.004411	
-0.000000	0.000000	-0.807828	0.807828	0.000000	-0.000000	-0.000000	-1.166147	-0.000000	-0.000000	0.110869	-0.000000	
0.138063	-0.825441	0.092736	0.092736	-0.129070	0.777265	0.232100	-0.000000	0.837718	0.322647	0.000000	0.897310	
0.084288	-0.388041	0.000000	0.000000	-0.012325	0.049401	-0.608823	-0.000000	0.000000	0.744813	-0.000000	-0.291146	
-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-1.000000	-0.000000	
-0.000565	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	-0.000000	0.092871	
-0.018947	0.087226	-0.000000	-0.000000	-0.019715	-0.850780	0.136854	0.000000	0.000000	0.334096	-0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	-0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5226506
1 0 0 0 0.2350003
1 0 1 0 0.0305608
1 0 1 1 -0.0059588
1 1 0 0 0.7246467
1 1 1 0 -0.0059588
1 1 1 1 0.6493086
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0056889
2 0 2 1 -0.0057082
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0057082
2 1 2 1 0.0321690
2 1 2 2 -0.0000000
2 2 0 0 0.5806893
2 2 1 0 0.0062245
2 2 1 1 0.4078198
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5280939
3 0 0 0 -0.1001946
3 0 1 0 -0.0111445
3 0 1 1 -0.0048488
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0023218
3 0 3 0 0.0180014
3 0 3 1 -0.0128745
3 0 3 2 0.0000000
3 0 3 3 0.0074616
3 1 0 0 -0.0649444
3 1 1 0 -0.0011886
3 1 1 1 0.0275422
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0256007
3 1 3 0 -0.0128745
3 1 3 1 0.0861935
3 1 3 2 0.0000000
3 1 3 3 -0.0437438
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0037163
3 2 2 1 -0.0269953
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0504149
3 2 3 3 -0.0000000
3 3 0 0 0.7394601
3 3 1 0 0.0051402
3 3 1 1 0.5140918
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4562474
3 3 3 0 0.0074616
3 3 3 1 -0.0437438
3 3 3 2 -0.0000000
3 3 3 3 0.5710897
4 0 0 0 0.2135079
4 0 1 0 0.0175181
4 0 1 1 0.0175220
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0000261
4 0 3 0 -0.0126101
4 0 3 1 0.0011737
4 0 3 2 -0.0000000
4 0 3 3 0.0041504
4 0 4 0 0.0247755
4 0 4 1 0.0025785
4 0 4 2 -0.0000000
4 0 4 3 -0.0003354
4 0 4 4 -0.0019593
4 1 0 0 0.0620723
4 1 1 0 0.0016372
4 1 1 1 0.0234448
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0019515
4 1 3 0 0.0019959
4 1 3 1 -0.0134753
4 1 3 2 0.0000000
4 1 3 3 0.0318688
4 1 4 0 0.0025785
4 1 4 1 0.0091854
4 1 4 2 0.0000000
4 1 4 3 -0.0204852
4 1 4 4 -0.0028354
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0014967
