NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.460334
ENERGIES
-11.107653
-0.841091
-0.627927
-0.587561
0.605241
0.634564
0.683244
1000000.443158

OEI
-18.534753	
-0.259048	-4.533247	
0.000000	0.000000	-4.217906	
0.008433	0.017783	0.000000	-4.158256	
-0.000000	-0.000000	0.808391	-0.000000	-3.572290	
-0.042671	-0.137046	-0.000000	-0.794941	0.000000	-3.569980	
-0.306841	-0.921453	-0.000000	0.126922	0.000000	-0.011269	-3.480668	
-0.160176	0.149994	-0.000000	-0.002960	-0.000000	0.002000	0.001417	999995.991894	

ENV_OEI
-4.922546	
-0.500410	-0.354897	
0.000000	-0.000000	-0.310858	
0.017197	-0.000592	0.000000	-0.267995	
-0.000000	-0.000000	0.176256	-0.000000	-0.359619	
-0.087823	-0.026154	-0.000000	-0.160338	0.000000	-0.339494	
-0.640846	-0.239500	0.000000	0.036674	-0.000000	-0.020234	-0.409808	
-0.306124	-0.018329	-0.000000	-0.001137	0.000000	0.002680	-0.042978	-0.487575	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996673	0.016866	-0.006528	-0.006505	-0.006528	-0.027074	-0.000000	-0.000019	
0.174655	-0.458397	-0.257375	-0.229141	-0.257375	0.382566	0.000000	0.004671	
-0.000000	0.000000	0.401466	0.000000	-0.401466	-0.000000	0.602847	0.000000	
-0.006149	0.024091	-0.240107	0.475326	-0.240107	-0.013684	-0.000000	0.588034	
0.000000	-0.000000	0.871938	-0.000000	-0.871938	0.000000	-1.081728	0.000000	
0.030369	-0.185210	0.590258	-0.896904	0.590258	0.069277	0.000000	1.081484	
0.222876	-1.397611	0.676527	0.876676	0.676527	0.509699	0.000000	-0.134713	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237785
1 0 0 0 0.2310001
1 0 1 0 0.0277828
1 0 1 1 -0.0030251
1 1 0 0 0.6853006
1 1 1 0 -0.0030251
1 1 1 1 0.5628583
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0090782
2 0 2 1 -0.0121443
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0121443
2 1 2 1 0.1156198
2 1 2 2 0.0000000
2 2 0 0 0.6479128
2 2 1 0 0.0018574
2 2 1 1 0.5063630
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5412023
3 0 0 0 -0.0080945
3 0 1 0 -0.0008768
3 0 1 1 -0.0003449
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0027971
3 0 3 0 0.0087550
3 0 3 1 -0.0116645
3 0 3 2 0.0000000
3 0 3 3 0.0033795
3 1 0 0 -0.0057156
3 1 1 0 -0.0000847
3 1 1 1 0.0023580
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0463002
3 1 3 0 -0.0116645
3 1 3 1 0.1098380
3 1 3 2 -0.0000000
3 1 3 3 -0.0545181
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0024819
3 2 2 1 0.0476692
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0411046
3 2 3 3 0.0000000
3 3 0 0 0.6412552
3 3 1 0 0.0017750
3 3 1 1 0.4996054
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4530139
3 3 3 0 0.0033795
3 3 3 1 -0.0545181
3 3 3 2 0.0000000
3 3 3 3 0.5426431
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 -0.0131294
4 0 2 1 0.0160116
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 -0.0000000
