NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.922637
ENERGIES
-6.800884
-0.185259
-0.033612
-0.025226
1.404870
1.416733
1.545424
1000001.146217

OEI
-13.413919	
0.232086	-3.338172	
-0.025516	0.007254	-3.132854	
-0.000000	-0.000000	0.000000	-3.141464	
-0.000000	0.000000	0.000000	-0.564872	-2.893096	
-0.041850	0.109182	0.535135	0.000000	-0.000000	-2.911142	
0.493953	-0.708249	0.120113	-0.000000	0.000000	0.018450	-2.916486	
-0.152492	-0.120637	0.012553	-0.000000	-0.000000	0.002294	-0.031723	999997.019012	

ENV_OEI
0.210042	
0.118991	0.424244	
-0.013855	-0.020324	0.417948	
-0.000000	-0.000000	-0.000000	0.436920	
-0.000000	-0.000000	-0.000000	0.156094	0.648239	
-0.021015	-0.031622	-0.173257	-0.000000	-0.000000	0.661444	
0.278718	0.149203	-0.022056	0.000000	0.000000	0.020483	0.555911	
-0.116606	0.045925	-0.000100	0.000000	-0.000000	-0.013742	0.046444	0.539542	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.974385	0.111509	-0.033743	-0.034036	-0.033743	-0.071620	0.000000	0.000384	
-0.142357	0.081174	0.394516	0.499757	0.394516	-0.236054	0.000000	0.027068	
0.015708	-0.016766	-0.389372	0.665251	-0.389372	0.026523	0.000000	0.303637	
0.000000	-0.000000	-0.595930	0.000000	0.595930	0.000000	-0.330489	0.000000	
0.000000	-0.000000	0.752542	0.000000	-0.752542	0.000000	-1.193456	-0.000000	
0.027011	-0.120793	-0.372344	0.903872	-0.372344	0.048839	0.000000	-1.196395	
-0.322224	1.471298	-0.694981	-0.583971	-0.694981	-0.589856	-0.000000	-0.096286	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.3969202
1 0 0 0 -0.2192069
1 0 1 0 0.0232546
1 0 1 1 0.0022055
1 1 0 0 0.5612651
1 1 1 0 0.0022055
1 1 1 1 0.4851007
2 0 0 0 0.0240505
2 0 1 0 -0.0021670
2 0 1 1 0.0012302
2 0 2 0 0.0043612
2 0 2 1 0.0075712
2 0 2 2 0.0015442
2 1 0 0 -0.0052958
2 1 1 0 0.0005399
2 1 1 1 0.0273213
2 1 2 0 0.0075712
2 1 2 1 0.1532117
2 1 2 2 0.0654568
2 2 0 0 0.5274885
2 2 1 0 0.0003508
2 2 1 1 0.4756412
2 2 2 0 0.0015442
