NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.202735
ENERGIES
-11.071758
-0.820610
-0.606120
-0.566565
0.628274
0.657582
0.703038
1000000.473163

OEI
-18.480994	
0.257294	-4.500938	
0.000000	-0.000000	-4.180771	
-0.007872	0.017228	-0.000000	-4.120935	
-0.000000	0.000000	0.803711	0.000000	-3.556161	
0.041122	-0.130573	0.000000	-0.790562	-0.000000	-3.555065	
-0.307702	0.919106	-0.000000	-0.120923	0.000000	0.010021	-3.465456	
0.159945	0.149682	0.000000	-0.002674	0.000000	0.002088	-0.002259	999996.030208	

ENV_OEI
-4.868699	
0.496595	-0.328447	
0.000000	0.000000	-0.282547	
-0.015978	-0.000366	0.000000	-0.240808	
-0.000000	0.000000	0.166809	0.000000	-0.334666	
0.084718	-0.023732	0.000000	-0.150372	-0.000000	-0.314590	
-0.642164	0.231837	-0.000000	-0.033664	0.000000	0.019093	-0.388680	
0.307307	-0.017743	0.000000	-0.000859	-0.000000	0.003426	0.040852	-0.449262	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996643	-0.017011	0.006564	0.006553	0.006564	0.027143	-0.000000	0.000002	
0.173781	-0.452442	-0.260096	-0.233237	-0.260096	0.380398	-0.000000	0.003765	
0.000000	-0.000000	0.407520	-0.000000	-0.407520	0.000000	0.595311	-0.000000	
-0.005757	0.022603	-0.244033	0.483163	-0.244033	-0.012792	0.000000	0.579502	
-0.000000	0.000000	0.869126	-0.000000	-0.869126	-0.000000	-1.085894	-0.000000	
0.029324	-0.178493	0.585016	-0.897532	0.585016	0.066886	-0.000000	1.086614	
-0.223844	1.400446	-0.678632	-0.870649	-0.678632	-0.511657	0.000000	0.130357	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5236177
1 0 0 0 -0.2299427
1 0 1 0 0.0275219
1 0 1 1 0.0030179
1 1 0 0 0.6829900
1 1 1 0 0.0030179
1 1 1 1 0.5610403
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0088988
2 0 2 1 0.0119670
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0119670
2 1 2 1 0.1158496
2 1 2 2 0.0000000
2 2 0 0 0.6443957
2 2 1 0 -0.0017753
2 2 1 1 0.5049805
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5400721
3 0 0 0 0.0075900
3 0 1 0 -0.0008261
3 0 1 1 0.0003085
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0028030
3 0 3 0 0.0085513
3 0 3 1 0.0114802
3 0 3 2 0.0000000
3 0 3 3 -0.0033475
3 1 0 0 -0.0054849
3 1 1 0 0.0000726
3 1 1 1 0.0021917
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0474192
3 1 3 0 0.0114802
3 1 3 1 0.1103917
3 1 3 2 0.0000000
3 1 3 3 -0.0552538
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0025266
3 2 2 1 0.0487965
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0416838
3 2 3 3 -0.0000000
3 3 0 0 0.6372928
3 3 1 0 -0.0016747
3 3 1 1 0.4984251
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4509934
3 3 3 0 -0.0033475
3 3 3 1 -0.0552538
3 3 3 2 -0.0000000
3 3 3 3 0.5412323
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 0.0000000
4 0 2 0 -0.0130618
4 0 2 1 -0.0160050
4 0 2 2 -0.0000000
4 0 3 0 -0.0000000
4 0 3 1 -0.0000000
4 0 3 2 -0.0031055
4 0 3 3 0.0000000
4 0 4 0 0.0192779
4 0 4 1 0.0084504
4 0 4 2 0.0000000
4 0 4 3 -0.0044038
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 -0.0061698
4 1 2 1 0.0136720
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 -0.0000000
4 1 3 2 0.0272326
4 1 3 3 -0.0000000
4 1 4 0 0.0084504
4 1 4 1 0.0445207
4 1 4 2 0.0000000
4 1 4 3 0.0155997
4 1 4 4 0.0000000
4 2 0 0 -0.2525906
4 2 1 0 0.0058504
4 2 1 1 -0.0489991
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 -0.0398231
4 2 3 0 0.0024950
4 2 3 1 0.0483580
4 2 3 2 0.0000000
4 2 3 3 -0.0719619
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1215036
4 2 4 3 0.0000000
4 2 4 4 -0.0479571
4 3 0 0 -0.0000000
4 3 1 0 0.0000000
4 3 1 1 -0.0000000
4 3 2 0 0.0029764
4 3 2 1 0.0492717
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 0.0000000
4 3 3 2 0.0161064
4 3 3 3 -0.0000000
4 3 4 0 -0.0044038
4 3 4 1 0.0155997
4 3 4 2 0.0000000
4 3 4 3 0.0364278
4 3 4 4 0.0000000
4 4 0 0 0.7195450
4 4 1 0 -0.0064741
4 4 1 1 0.4957256
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5303947
4 4 3 0 -0.0000570
4 4 3 1 0.0331750
4 4 3 2 0.0000000
4 4 3 3 0.4572804
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 -0.0479571
4 4 4 3 0.0000000
4 4 4 4 0.5502583
5 0 0 0 -0.0382973
5 0 1 0 0.0046803
5 0 1 1 0.0007880
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0031547
5 0 3 0 0.0126649
5 0 3 1 0.0157152
5 0 3 2 0.0000000
5 0 3 3 -0.0046792
5 0 4 0 -0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0049657
5 0 4 3 -0.0000000
5 0 4 4 -0.0016882
5 0 5 0 0.0201397
5 0 5 1 0.0087852
5 0 5 2 0.0000000
5 0 5 3 0.0038441
5 0 5 4 -0.0000000
5 0 5 5 0.0040624
5 1 0 0 0.0394262
5 1 1 0 -0.0000754
5 1 1 1 0.0136493
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0157355
5 1 3 0 0.0062960
5 1 3 1 -0.0090777
5 1 3 2 0.0000000
5 1 3 3 0.0335122
