NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.413517
ENERGIES
-11.101391
-0.837388
-0.623977
-0.583802
0.609414
0.638701
0.686819
1000000.448480

OEI
-18.525062	
-0.258725	-4.527357	
-0.000000	0.000000	-4.211144	
-0.008309	-0.017662	-0.000000	-4.151502	
-0.000000	-0.000000	-0.807555	-0.000000	-3.569314	
-0.042251	-0.135398	-0.000000	0.794232	0.000000	-3.567234	
-0.307013	-0.921117	0.000000	-0.125394	-0.000000	-0.011061	-3.477908	
-0.160130	0.149935	0.000000	0.002897	0.000000	0.002014	0.001569	999995.998798	

ENV_OEI
-4.912840	
-0.499722	-0.350063	
-0.000000	0.000000	-0.305664	
-0.016934	0.000545	-0.000000	-0.263043	
-0.000000	-0.000000	-0.174561	-0.000000	-0.355075	
-0.086968	-0.025597	-0.000000	0.158571	0.000000	-0.334969	
-0.641131	-0.238138	0.000000	-0.036020	0.000000	-0.019976	-0.405985	
-0.306333	-0.018217	0.000000	0.001081	0.000000	0.002832	-0.042602	-0.480672	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996668	0.016891	-0.006534	-0.006513	-0.006534	-0.027086	0.000000	-0.000016	
0.174496	-0.457321	-0.257849	-0.229922	-0.257849	0.382175	-0.000000	0.004466	
0.000000	-0.000000	0.402546	-0.000000	-0.402546	0.000000	0.601506	0.000000	
0.006064	-0.023779	0.240822	-0.476711	0.240822	0.013491	0.000000	-0.586517	
0.000000	-0.000000	-0.871440	0.000000	0.871440	0.000000	1.082474	-0.000000	
0.030078	-0.183355	0.589009	-0.897436	0.589009	0.068611	0.000000	1.082466	
0.223065	-1.398213	0.677181	0.875175	0.677181	0.510087	-0.000000	-0.133435	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237512
1 0 0 0 0.2308074
1 0 1 0 0.0277353
1 0 1 1 -0.0030239
1 1 0 0 0.6848825
1 1 1 0 -0.0030239
1 1 1 1 0.5625273
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0090462
2 0 2 1 -0.0121123
2 0 2 2 -0.0000000
