NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.452864
ENERGIES
-6.648651
-0.265872
0.071862
0.331248
1.042240
1.477003
1.605481
849736.939043
965066.671619
996478.475187
1070620.834925
1118094.372529

OEI
-13.520962	
-0.185607	-3.609198	
0.000000	-0.000000	-3.272744	
-0.245972	-0.001275	-0.000000	-3.215454	
0.235110	0.074396	-0.000000	0.415375	-2.819679	
-0.000000	-0.000000	-0.550739	-0.000000	-0.000000	-2.871723	
-0.405987	-0.674979	-0.000000	-0.021976	-0.021442	-0.000000	-3.216853	
-0.108923	0.033394	-0.000000	0.058010	-0.029456	-0.000000	-0.028777	849733.388850	
-0.000000	-0.000000	0.092337	-0.000000	0.000000	0.009937	-0.000000	0.000000	965063.627675	
0.005075	-0.015065	-0.000000	0.000103	-0.003919	-0.000000	-0.016668	0.000750	-0.000000	996474.924109	
-0.036047	0.203340	0.000000	-0.089625	-0.130741	-0.000000	-0.069372	-0.093735	0.000000	-0.162439	1070618.132705	
0.109197	-0.038742	0.000000	-0.124926	0.048321	0.000000	0.003468	0.615767	-0.000000	-0.040997	0.265909	1118090.752652	

ENV_OEI
-0.039456	
-0.094825	-0.064851	
0.000000	-0.000000	0.206782	
-0.114682	0.329120	0.000000	-0.014154	
0.120572	0.328718	0.000000	-0.523601	-0.117008	
-0.000000	0.000000	0.185236	0.000000	-0.000000	0.408485	
-0.225716	0.305061	0.000000	-0.248873	-0.219682	-0.000000	0.241489	
-0.085140	0.007042	-0.000000	0.025650	-0.004944	-0.000000	-0.051773	-0.302917	
0.000000	0.000000	-0.253469	-0.000000	0.000000	0.141694	-0.000000	-0.000000	-0.670058	
-0.031946	-0.458383	-0.000000	1.039381	1.280254	0.000000	0.558276	0.148604	-0.000000	-18.604590	
-0.015944	-0.150299	-0.000000	0.068906	0.094370	0.000000	0.079111	0.111435	-0.000000	-1.694754	-0.748675	
0.076168	0.030759	-0.000000	0.071708	-0.022677	0.000000	0.043558	-0.451310	-0.000000	-0.159555	-0.125824	-0.150437	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.975070	0.103321	-0.031288	-0.031288	0.002345	-0.017610	-0.047131	-0.000000	-0.058255	-0.014177	-0.000000	0.006460	
0.110710	-0.024183	-0.375040	-0.375040	0.046007	-0.060277	0.161793	0.000000	0.141920	-0.484387	-0.000000	-0.062399	
-0.000000	0.000000	0.607324	-0.607324	0.000000	-0.000000	0.000000	-0.406510	-0.000000	-0.000000	0.393497	0.000000	
0.136318	-0.346910	-0.410710	-0.410710	-0.091144	0.467120	-0.413943	-0.000000	0.415775	0.538736	0.000000	-0.111666	
-0.129292	0.530101	-0.674623	-0.674623	-0.110905	0.691971	0.463504	0.000000	-0.415312	0.638714	-0.000000	-0.000634	
0.000000	-0.000000	-0.852697	0.852697	-0.000000	0.000000	0.000000	-1.177373	-0.000000	0.000000	-0.261535	0.000000	
0.266679	-1.202718	0.544822	0.544822	-0.048888	0.343155	0.994010	0.000000	0.153091	0.503559	0.000000	0.030855	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	-0.000000	-0.573901	-0.025821	0.000000	0.799278	
0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	0.000000	0.003845	0.105483	-0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019716	0.850778	-0.045686	-0.000000	-0.129012	-0.446528	0.000000	-0.196305	
-0.081637	0.375836	0.000000	0.000000	-0.011611	0.229175	0.196837	0.000000	0.555851	-0.120149	0.000000	0.583417	

ERI
0 0 0 0 3.3997729
1 0 0 0 0.1719322
1 0 1 0 0.0151777
1 0 1 1 -0.0051340
1 1 0 0 0.5330218
1 1 1 0 -0.0051340
1 1 1 1 0.5581270
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0061725
2 0 2 1 -0.0084740
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0084740
2 1 2 1 0.1141224
2 1 2 2 -0.0000000
2 2 0 0 0.5618311
2 2 1 0 -0.0007490
2 2 1 1 0.4871256
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5217717
3 0 0 0 0.2103302
3 0 1 0 0.0147316
3 0 1 1 0.0096002
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0055774
3 0 3 0 0.0281320
3 0 3 1 -0.0050373
3 0 3 2 -0.0000000
3 0 3 3 -0.0006197
3 1 0 0 0.0395471
3 1 1 0 0.0015110
3 1 1 1 -0.0413382
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0305510
3 1 3 0 -0.0050373
3 1 3 1 0.0714235
3 1 3 2 0.0000000
3 1 3 3 -0.0082195
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0073949
3 2 2 1 0.0745660
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0626557
3 2 3 3 0.0000000
3 3 0 0 0.6662485
3 3 1 0 0.0034079
3 3 1 1 0.4727417
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4539295
3 3 3 0 -0.0006197
3 3 3 1 -0.0082195
3 3 3 2 0.0000000
3 3 3 3 0.5230005
