NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.455056
ENERGIES
-6.743141
-0.133067
0.024439
0.025752
1.464587
1.478698
1.596820
1000001.225182

OEI
-13.345480	
-0.232318	-3.283655	
0.000000	0.000000	-3.081558	
0.010382	0.002840	0.000000	-3.067170	
-0.000000	-0.000000	0.555902	-0.000000	-2.840191	
-0.020025	-0.047003	-0.000000	-0.539579	0.000000	-2.846855	
0.495005	0.714541	-0.000000	-0.051460	-0.000000	0.009708	-2.864746	
-0.152382	0.120826	-0.000000	-0.005050	-0.000000	0.001019	-0.032090	999997.103275	

ENV_OEI
0.278422	
-0.118471	0.479597	
0.000000	-0.000000	0.484335	
0.005555	-0.009115	-0.000000	0.476477	
-0.000000	0.000000	-0.165276	0.000000	0.713636	
-0.010165	0.014140	0.000000	0.179099	-0.000000	0.729917	
0.277859	-0.153637	0.000000	0.008905	0.000000	0.010237	0.609842	
-0.117952	-0.042237	0.000000	0.002702	-0.000000	-0.004913	0.042564	0.623805	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.974342	0.111670	-0.033841	-0.033973	-0.033841	-0.071696	0.000000	0.000152	
0.142772	-0.080539	-0.418055	-0.459158	-0.418055	0.236617	0.000000	-0.009736	
-0.000000	0.000000	0.602425	-0.000000	-0.602425	-0.000000	0.320140	-0.000000	
-0.006365	0.007901	0.368202	-0.694788	0.368202	-0.010771	-0.000000	-0.301009	
0.000000	-0.000000	0.747352	0.000000	-0.747352	0.000000	-1.196274	0.000000	
0.012983	-0.057986	-0.400209	0.876442	-0.400209	0.023502	-0.000000	-1.200305	
-0.323358	1.475205	-0.677034	-0.623394	-0.677034	-0.591669	-0.000000	-0.046111	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.3966639
1 0 0 0 0.2198883
1 0 1 0 0.0233691
1 0 1 1 -0.0021148
1 1 0 0 0.5612867
1 1 1 0 -0.0021148
1 1 1 1 0.4804497
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0043957
2 0 2 1 -0.0076119
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0076119
2 1 2 1 0.1329816
2 1 2 2 -0.0000000
2 2 0 0 0.5319590
2 2 1 0 0.0000313
2 2 1 1 0.4565071
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5277785
3 0 0 0 -0.0097519
3 0 1 0 -0.0008946
3 0 1 1 -0.0004610
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0030239
3 0 3 0 0.0040951
3 0 3 1 -0.0074534
3 0 3 2 -0.0000000
3 0 3 3 -0.0024771
3 1 0 0 -0.0024293
3 1 1 0 -0.0001982
3 1 1 1 0.0100609
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0907722
3 1 3 0 -0.0074534
3 1 3 1 0.1468230
3 1 3 2 0.0000000
3 1 3 3 0.0815933
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0034824
3 2 2 1 -0.0911233
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0712251
3 2 3 3 -0.0000000
3 3 0 0 0.5256743
3 3 1 0 -0.0003124
3 3 1 1 0.4688642
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4050074
3 3 3 0 -0.0024771
3 3 3 1 0.0815933
3 3 3 2 -0.0000000
3 3 3 3 0.5162779
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 -0.0109717
4 0 2 1 0.0182567
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 -0.0000000
4 0 3 2 -0.0089949
4 0 3 3 0.0000000
4 0 4 0 0.0284007
4 0 4 1 -0.0086968
4 0 4 2 -0.0000000
4 0 4 3 -0.0042007
4 0 4 4 -0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 0.0000000
4 1 2 0 0.0047473
4 1 2 1 0.0261632
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0304246
4 1 3 3 0.0000000
4 1 4 0 -0.0086968
4 1 4 1 0.0374408
4 1 4 2 -0.0000000
4 1 4 3 -0.0148504
4 1 4 4 0.0000000
4 2 0 0 -0.2053195
4 2 1 0 -0.0050846
4 2 1 1 -0.0191698
4 2 2 0 0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0113190
4 2 3 0 0.0013906
4 2 3 1 -0.0488307
4 2 3 2 -0.0000000
4 2 3 3 -0.0366892
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0938392
4 2 4 3 -0.0000000
4 2 4 4 -0.0868285
4 3 0 0 0.0000000
4 3 1 0 0.0000000
4 3 1 1 0.0000000
4 3 2 0 0.0009997
4 3 2 1 -0.0480998
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 0.0000000
4 3 3 2 0.0298676
4 3 3 3 -0.0000000
4 3 4 0 -0.0042007
4 3 4 1 -0.0148504
4 3 4 2 -0.0000000
4 3 4 3 0.0293572
4 3 4 4 0.0000000
4 4 0 0 0.8289505
4 4 1 0 0.0120724
4 4 1 1 0.4691643
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5027304
4 4 3 0 -0.0018283
4 4 3 1 -0.0272090
4 4 3 2 -0.0000000
4 4 3 3 0.4461418
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 -0.0868285
4 4 4 3 0.0000000
4 4 4 4 0.6178807
5 0 0 0 0.0195369
5 0 1 0 0.0023981
5 0 1 1 -0.0013645
5 0 2 0 0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0083255
5 0 3 0 0.0104812
5 0 3 1 -0.0188221
5 0 3 2 -0.0000000
5 0 3 3 -0.0069144
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0041662
5 0 4 3 -0.0000000
5 0 4 4 -0.0019496
5 0 5 0 0.0288783
5 0 5 1 -0.0086949
5 0 5 2 0.0000000
5 0 5 3 0.0050858
5 0 5 4 -0.0000000
5 0 5 5 0.0020974
5 1 0 0 0.0173614
5 1 1 0 0.0001001
5 1 1 1 0.0002847
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0316388
5 1 3 0 -0.0046620
5 1 3 1 -0.0304552
5 1 3 2 -0.0000000
5 1 3 3 -0.0269907
5 1 4 0 0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0096698
5 1 4 3 -0.0000000
5 1 4 4 0.0289539
5 1 5 0 -0.0086949
5 1 5 1 0.0391516
5 1 5 2 0.0000000
5 1 5 3 0.0189560
5 1 5 4 0.0000000
5 1 5 5 -0.0154719
5 2 0 0 0.0000000
5 2 1 0 0.0000000
5 2 1 1 0.0000000
5 2 2 0 -0.0013765
5 2 2 1 0.0442152
5 2 2 2 -0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0260542
5 2 3 3 0.0000000
5 2 4 0 0.0048517
5 2 4 1 0.0112539
5 2 4 2 -0.0000000
5 2 4 3 -0.0243461
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0261395
5 2 5 3 0.0000000
5 2 5 4 -0.0028379
5 2 5 5 0.0000000
5 3 0 0 0.1998026
5 3 1 0 0.0049496
5 3 1 1 0.0116307
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
