NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.707948
ENERGIES
-11.137174
-0.863592
-0.653505
-0.611747
0.579584
0.609692
0.661292
1000000.409034

OEI
-18.577524	
-0.260140	-4.562849	
0.000000	0.000000	-4.254942	
-0.009065	-0.018716	0.000000	-4.194673	
0.000000	0.000000	0.811691	-0.000000	-3.592666	
0.045082	0.145575	-0.000000	-0.797422	-0.000000	-3.589009	
-0.306326	-0.922264	0.000000	-0.134928	-0.000000	0.012862	-3.500627	
-0.160340	0.150197	-0.000000	0.003243	-0.000000	-0.002007	0.000891	999995.951529	

ENV_OEI
-4.965357	
-0.502526	-0.381483	
0.000000	0.000000	-0.341341	
-0.018522	0.000748	0.000000	-0.296899	
0.000000	0.000000	0.183199	-0.000000	-0.386548	
0.092708	0.028455	-0.000000	-0.167472	0.000000	-0.365818	
-0.639781	-0.243831	0.000000	-0.040050	0.000000	0.021749	-0.432964	
-0.305343	-0.019957	-0.000000	0.001088	0.000000	-0.002152	-0.045071	-0.527941	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996687	-0.016802	0.006513	0.006482	0.006513	0.027044	0.000000	0.000030	
-0.175113	0.461507	0.256312	0.226242	0.256312	-0.383691	0.000000	-0.005314	
0.000000	-0.000000	0.396928	-0.000000	-0.396928	0.000000	0.608462	0.000000	
-0.006592	0.025816	-0.237249	0.469385	-0.237249	-0.014682	-0.000000	0.594352	
0.000000	-0.000000	0.874013	-0.000000	-0.874013	0.000000	-1.078580	0.000000	
0.032041	-0.195551	0.596503	-0.893196	0.596503	0.073092	0.000000	1.077120	
-0.222208	1.395147	-0.672450	-0.884383	-0.672450	-0.508292	-0.000000	0.141735	
-0.117784	0.542251	-0.000000	0.000000	-0.000000	0.850774	-0.000000	-0.000000	

ERI
0 0 0 0 3.5238499
1 0 0 0 0.2315609
1 0 1 0 0.0279211
1 0 1 1 -0.0030288
1 1 0 0 0.6865060
1 1 1 0 -0.0030288
1 1 1 1 0.5638291
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0092138
2 0 2 1 -0.0122754
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0122754
2 1 2 1 0.1155703
2 1 2 2 -0.0000000
2 2 0 0 0.6505462
2 2 1 0 0.0019183
2 2 1 1 0.5073424
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5420766
3 0 0 0 0.0086707
3 0 1 0 0.0009373
3 0 1 1 0.0003786
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
