NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-33.982044
ENERGIES
-10.790624
-0.629188
-0.386833
-0.382009
0.851986
0.859487
0.891267
1000000.724069

OEI
-18.057050	
0.243987	-4.223016	
0.000000	0.000000	-3.848619	
-0.007038	0.004693	-0.000000	-3.819680	
-0.000000	0.000000	-0.764292	0.000000	-3.376500	
0.063897	-0.199997	-0.000000	-0.734007	0.000000	-3.403092	
-0.308055	0.881356	0.000000	-0.175946	0.000000	-0.007438	-3.305838	
-0.157909	-0.146651	0.000000	0.004350	0.000000	-0.001132	0.008404	999996.346851	

ENV_OEI
-4.444230	
0.469326	-0.094042	
0.000000	0.000000	-0.017569	
-0.014619	-0.006394	-0.000000	-0.014501	
-0.000000	0.000000	-0.096018	0.000000	-0.087831	
0.131090	-0.036607	-0.000000	-0.072937	0.000000	-0.094976	
-0.640900	0.172567	0.000000	-0.024144	-0.000000	0.028324	-0.178764	
-0.314604	0.008202	-0.000000	0.002290	-0.000000	0.010487	-0.023513	-0.132618	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996459	0.017887	-0.006772	-0.006906	-0.006772	-0.027554	0.000000	0.000207	
-0.167203	0.409070	0.266905	0.287795	0.266905	-0.364424	-0.000000	0.012030	
-0.000000	0.000000	-0.451653	-0.000000	0.451653	-0.000000	-0.538710	-0.000000	
0.004875	-0.015279	-0.274192	0.536225	-0.274192	0.010908	-0.000000	0.516763	
0.000000	-0.000000	0.847031	0.000000	-0.847031	0.000000	-1.115057	-0.000000	
-0.046893	0.287438	0.324747	-1.096471	0.324747	-0.106515	-0.000000	1.102620	
0.226682	-1.395743	0.823471	0.528036	0.823471	0.516566	0.000000	0.224944	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5226547
1 0 0 0 -0.2218026
1 0 1 0 0.0255797
1 0 1 1 0.0029835
1 1 0 0 0.6662517
1 1 1 0 0.0029835
1 1 1 1 0.5485339
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0075992
2 0 2 1 0.0105501
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0105501
2 1 2 1 0.1130581
2 1 2 2 0.0000000
2 2 0 0 0.6186584
2 2 1 0 -0.0012568
2 2 1 1 0.4909562
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5331208
3 0 0 0 0.0063472
3 0 1 0 -0.0005683
3 0 1 1 0.0004067
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0027605
3 0 3 0 0.0071354
3 0 3 1 0.0102573
3 0 3 2 -0.0000000
3 0 3 3 0.0023641
3 1 0 0 -0.0025471
3 1 1 0 0.0001576
3 1 1 1 0.0040751
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0585662
3 1 3 0 0.0102573
3 1 3 1 0.1191952
3 1 3 2 -0.0000000
3 1 3 3 0.0539683
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0031934
3 2 2 1 -0.0589318
