NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.772537
ENERGIES
-10.963778
-0.924861
-0.533839
-0.322852
0.477106
0.657963
0.721496
849736.477125
965066.273584
996477.955901
1070620.572245
1118093.907897

OEI
-18.563402	
0.212438	-4.612647	
0.000000	0.000000	-4.226945	
-0.194523	0.118328	0.000000	-4.301139	
-0.121791	0.155902	-0.000000	-0.446332	-3.137352	
-0.251562	0.927207	-0.000000	0.149198	-0.017624	-3.911656	
-0.000000	0.000000	0.786387	0.000000	0.000000	0.000000	-3.513822	
-0.115747	-0.052387	0.000000	0.038531	-0.000796	-0.017591	0.000000	849732.892555	
0.000000	-0.000000	-0.129249	-0.000000	0.000000	0.000000	-0.023958	-0.000000	965063.418115	
0.005002	0.022685	0.000000	0.001035	0.005342	-0.013367	-0.000000	0.001161	-0.000000	996474.730987	
-0.037936	-0.201765	0.000000	-0.065211	0.131265	-0.119271	0.000000	-0.147276	0.000000	-0.136975	1070618.036291	
0.112454	0.073732	-0.000000	-0.130432	0.002636	-0.000080	-0.000000	0.836031	0.000000	-0.038167	0.319526	1118090.221014	

ENV_OEI
-5.090499	
0.399821	-0.645294	
0.000000	0.000000	-0.478212	
-0.378827	-0.112003	0.000000	-0.661681	
-0.244823	0.324562	-0.000000	0.179853	-0.844024	
-0.512829	0.047041	0.000000	-0.208162	0.349842	-0.896532	
-0.000000	0.000000	0.141772	0.000000	-0.000000	0.000000	-0.502820	
-0.220340	-0.007682	-0.000000	0.029800	-0.007649	-0.049844	0.000000	-0.799210	
-0.000000	0.000000	0.148687	0.000000	-0.000000	0.000000	0.161821	-0.000000	-0.879618	
-0.014974	0.319718	-0.000000	0.661210	-1.445046	0.771751	-0.000000	0.148067	-0.000000	-18.797714	
-0.055565	0.043450	-0.000000	0.025406	-0.055289	0.068830	-0.000000	0.060127	0.000000	-1.705446	-0.845085	
0.210221	-0.019755	0.000000	0.027014	-0.000655	0.027800	-0.000000	-0.120776	0.000000	-0.166662	0.001788	-0.682076	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996700	0.016165	-0.006483	-0.006483	0.001353	-0.006648	-0.016615	0.000000	-0.023174	-0.002256	0.000000	0.003186	
-0.139517	0.321330	0.250211	0.250211	-0.032847	-0.017897	-0.326688	0.000000	-0.213263	0.355298	-0.000000	0.061366	
-0.000000	0.000000	-0.432899	0.432899	0.000000	-0.000000	0.000000	0.624332	-0.000000	-0.000000	-0.336168	0.000000	
0.131776	-0.519834	-0.146972	-0.146972	-0.058933	0.254532	-0.515325	0.000000	0.513086	0.375523	-0.000000	-0.100591	
0.083364	-0.520112	0.832590	0.832590	0.125721	-0.758783	-0.220025	0.000000	0.279604	-0.697351	0.000000	0.039554	
0.179566	-1.102219	0.533674	0.533674	-0.068991	0.421689	0.990791	-0.000000	0.069789	0.658056	-0.000000	0.043567	
0.000000	-0.000000	-0.953170	0.953170	0.000000	-0.000000	-0.000000	-1.077806	0.000000	-0.000000	-0.332011	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	-0.000000	-0.573902	-0.025821	0.000000	0.799278	
-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	-0.000000	0.003845	0.105482	0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019715	0.850777	-0.045686	-0.000000	-0.129013	-0.446528	-0.000000	-0.196306	
-0.081637	0.375835	0.000000	0.000000	-0.011611	0.229176	0.196837	-0.000000	0.555851	-0.120150	0.000000	0.583417	

ERI
0 0 0 0 3.5238049
1 0 0 0 -0.1859083
1 0 1 0 0.0196496
1 0 1 1 0.0061207
1 1 0 0 0.6404976
1 1 1 0 0.0061207
1 1 1 1 0.5964897
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0096398
2 0 2 1 0.0108410
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0108410
2 1 2 1 0.0990683
2 1 2 2 -0.0000000
2 2 0 0 0.6559230
2 2 1 0 -0.0007754
2 2 1 1 0.5088973
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5405783
3 0 0 0 0.1719249
3 0 1 0 -0.0128032
3 0 1 1 0.0086354
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0038171
3 0 3 0 0.0250981
3 0 3 1 0.0074609
3 0 3 2 0.0000000
3 0 3 3 -0.0091424
3 1 0 0 -0.0552990
3 1 1 0 0.0010138
3 1 1 1 0.0213625
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0223069
3 1 3 0 0.0074609
3 1 3 1 0.0593119
3 1 3 2 -0.0000000
3 1 3 3 -0.0399303
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0078488
3 2 2 1 -0.0426488
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0413713
3 2 3 3 -0.0000000
3 3 0 0 0.7686826
3 3 1 0 -0.0063989
3 3 1 1 0.4852679
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4864832
3 3 3 0 -0.0091424
3 3 3 1 -0.0399303
3 3 3 2 -0.0000000
3 3 3 3 0.6232006
4 0 0 0 0.1095968
4 0 1 0 -0.0087792
4 0 1 1 0.0037147
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0024182
4 0 3 0 0.0139406
4 0 3 1 0.0029549
4 0 3 2 -0.0000000
4 0 3 3 -0.0034228
4 0 4 0 0.0079929
4 0 4 1 -0.0000034
4 0 4 2 0.0000000
4 0 4 3 -0.0029896
4 0 4 4 0.0002125
4 1 0 0 -0.0431277
4 1 1 0 -0.0008195
4 1 1 1 -0.0346645
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0245583
4 1 3 0 -0.0000091
4 1 3 1 -0.0260154
4 1 3 2 0.0000000
4 1 3 3 -0.0377374
4 1 4 0 -0.0000034
4 1 4 1 0.0668093
4 1 4 2 -0.0000000
4 1 4 3 0.0148617
4 1 4 4 -0.0173349
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 0.0017902
4 2 2 1 0.0703646
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0203052
4 2 3 3 0.0000000
