NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.623220
ENERGIES
-6.545212
-0.177468
0.163687
0.422854
1.132966
1.582892
1.707286
849737.069562
965066.751848
996478.569563
1070620.906354
1118094.512114

OEI
-13.382396	
-0.185705	-3.516201	
0.000000	0.000000	-3.161794	
0.244208	0.006813	-0.000000	-3.103525	
0.247535	0.095322	0.000000	-0.403554	-2.737924	
-0.000000	-0.000000	-0.531497	-0.000000	0.000000	-2.773169	
-0.396060	-0.660417	0.000000	0.016512	-0.007626	-0.000000	-3.115622	
-0.108733	0.033421	-0.000000	-0.058401	-0.030886	-0.000000	-0.030720	849733.520003	
0.000000	-0.000000	0.089652	0.000000	0.000000	0.012126	0.000000	0.000000	965063.693527	
0.005018	-0.014580	0.000000	-0.000165	-0.003454	0.000000	-0.016862	0.000717	0.000000	996474.992284	
-0.035852	0.201757	-0.000000	0.095707	-0.127660	0.000000	-0.069791	-0.089858	-0.000000	-0.164561	1070618.191157	
0.108964	-0.039606	0.000000	0.123436	0.051340	-0.000000	0.006603	0.600660	0.000000	-0.041286	0.262476	1118090.895218	

ENV_OEI
0.098878	
-0.093071	0.024525	
0.000000	0.000000	0.294382	
0.110817	-0.337919	0.000000	0.048568	
0.124196	0.313324	-0.000000	0.543712	0.007806	
-0.000000	0.000000	0.207264	0.000000	-0.000000	0.530390	
-0.218055	0.317910	-0.000000	0.274225	-0.201799	-0.000000	0.352719	
-0.088290	0.005441	0.000000	-0.033105	-0.007253	-0.000000	-0.041801	-0.171763	
-0.000000	-0.000000	-0.260250	-0.000000	-0.000000	0.136431	-0.000000	0.000000	-0.604206	
-0.032043	-0.449065	0.000000	-1.075148	1.249038	0.000000	0.568764	0.147860	-0.000000	-18.536415	
-0.016373	-0.153975	0.000000	-0.076454	0.091987	0.000000	0.082829	0.130868	-0.000000	-1.692407	-0.690222	
0.079301	0.024851	-0.000000	-0.072450	-0.018695	0.000000	0.031964	-0.517354	0.000000	-0.159299	-0.140841	-0.007870	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.974936	0.103763	-0.031376	-0.031376	0.002346	-0.017607	-0.046986	-0.000000	-0.058565	-0.014193	-0.000000	0.006503	
0.111354	-0.022791	-0.382743	-0.382743	0.045239	-0.057173	0.148965	0.000000	0.147647	-0.481094	-0.000000	-0.064149	
-0.000000	0.000000	-0.620747	0.620747	-0.000000	0.000000	-0.000000	0.387819	-0.000000	0.000000	-0.397588	0.000000	
-0.135872	0.350986	0.411178	0.411178	0.094348	-0.484429	0.395918	0.000000	-0.407893	-0.562869	-0.000000	0.110403	
-0.137194	0.560570	-0.678924	-0.678924	-0.108137	0.676227	0.450823	-0.000000	-0.425405	0.617530	-0.000000	0.000601	
0.000000	-0.000000	0.842976	-0.842976	-0.000000	0.000000	0.000000	1.183661	0.000000	0.000000	0.255272	0.000000	
0.263156	-1.187614	0.533650	0.533650	-0.049719	0.350985	1.009082	-0.000000	0.140529	0.506731	-0.000000	0.031791	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	0.000000	-0.573901	-0.025821	-0.000000	0.799278	
-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	-0.000000	0.003845	0.105483	0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019716	0.850778	-0.045685	-0.000000	-0.129012	-0.446529	-0.000000	-0.196305	
-0.081637	0.375836	0.000000	0.000000	-0.011611	0.229175	0.196837	-0.000000	0.555851	-0.120149	-0.000000	0.583417	

ERI
0 0 0 0 3.3989518
1 0 0 0 0.1730648
1 0 1 0 0.0152456
1 0 1 1 -0.0048689
1 1 0 0 0.5314012
1 1 1 0 -0.0048689
1 1 1 1 0.5552965
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0057852
2 0 2 1 -0.0082600
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0082600
2 1 2 1 0.1174334
2 1 2 2 -0.0000000
2 2 0 0 0.5547609
2 2 1 0 -0.0008119
2 2 1 1 0.4880004
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5217085
3 0 0 0 -0.2097755
3 0 1 0 -0.0150395
3 0 1 1 -0.0091590
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0053883
3 0 3 0 0.0275627
3 0 3 1 -0.0049106
3 0 3 2 0.0000000
3 0 3 3 0.0001936
3 1 0 0 -0.0441713
3 1 1 0 -0.0015476
3 1 1 1 0.0411700
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0310698
3 1 3 0 -0.0049106
3 1 3 1 0.0747509
3 1 3 2 -0.0000000
3 1 3 3 0.0117886
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0070621
3 2 2 1 -0.0756235
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0618042
3 2 3 3 0.0000000
3 3 0 0 0.6572953
3 3 1 0 0.0029883
3 3 1 1 0.4759770
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4516278
3 3 3 0 0.0001936
3 3 3 1 0.0117886
3 3 3 2 0.0000000
3 3 3 3 0.5206199
4 0 0 0 -0.2125104
4 0 1 0 -0.0149952
4 0 1 1 -0.0087265
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0056791
4 0 3 0 0.0277629
4 0 3 1 -0.0042593
4 0 3 2 -0.0000000
4 0 3 3 -0.0002990
4 0 4 0 0.0281517
4 0 4 1 0.0001951
4 0 4 2 0.0000000
4 0 4 3 0.0056454
4 0 4 4 0.0002864
4 1 0 0 -0.0340475
4 1 1 0 0.0004071
4 1 1 1 -0.0225680
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0368242
4 1 3 0 -0.0005645
4 1 3 1 -0.0475910
4 1 3 2 0.0000000
4 1 3 3 -0.0361041
4 1 4 0 0.0001951
4 1 4 1 0.0606377
4 1 4 2 0.0000000
4 1 4 3 0.0083349
4 1 4 4 -0.0188767
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0010549
4 2 2 1 0.0787743
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0458139
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0696290
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.2255646
4 3 1 0 0.0077830
4 3 1 1 -0.0684678
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0122116
4 3 3 0 0.0062553
4 3 3 1 -0.0579704
4 3 3 2 0.0000000
4 3 3 3 0.0480080
4 3 4 0 0.0056454
4 3 4 1 0.0083349
4 3 4 2 -0.0000000
4 3 4 3 0.1594876
4 3 4 4 0.0352299
4 4 0 0 0.6414109
4 4 1 0 0.0044438
4 4 1 1 0.4782808
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4646890
4 4 3 0 0.0001720
4 4 3 1 0.0041570
4 4 3 2 -0.0000000
4 4 3 3 0.5099950
4 4 4 0 0.0002864
4 4 4 1 -0.0188767
4 4 4 2 0.0000000
4 4 4 3 0.0352299
4 4 4 4 0.5138105
5 0 0 0 0.0000000
5 0 1 0 0.0000000
5 0 1 1 -0.0000000
5 0 2 0 0.0123108
5 0 2 1 -0.0160308
5 0 2 2 0.0000000
5 0 3 0 -0.0000000
5 0 3 1 -0.0000000
5 0 3 2 0.0139725
5 0 3 3 0.0000000
5 0 4 0 -0.0000000
5 0 4 1 -0.0000000
5 0 4 2 -0.0031464
5 0 4 3 0.0000000
5 0 4 4 0.0000000
5 0 5 0 0.0269859
5 0 5 1 -0.0030805
5 0 5 2 0.0000000
5 0 5 3 0.0107975
5 0 5 4 0.0143396
5 0 5 5 -0.0000000
5 1 0 0 0.0000000
5 1 1 0 0.0000000
5 1 1 1 -0.0000000
5 1 2 0 -0.0025161
5 1 2 1 -0.0426666
5 1 2 2 0.0000000
5 1 3 0 -0.0000000
5 1 3 1 -0.0000000
5 1 3 2 0.0241996
5 1 3 3 0.0000000
5 1 4 0 -0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0416645
5 1 4 3 0.0000000
5 1 4 4 0.0000000
5 1 5 0 -0.0030805
5 1 5 1 0.0357862
5 1 5 2 0.0000000
5 1 5 3 -0.0228771
5 1 5 4 0.0296018
5 1 5 5 0.0000000
5 2 0 0 0.2211215
5 2 1 0 0.0052649
5 2 1 1 -0.0186551
