NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.222539
ENERGIES
-10.892639
-0.870414
-0.473149
-0.258469
0.537938
0.729107
0.779422
849736.497221
965066.352628
996478.129016
1070621.044643
1118093.628684

OEI
-18.478089	
0.216774	-4.556954	
0.000000	-0.000000	-4.135048	
0.189251	-0.125814	0.000000	-4.234707	
0.152001	-0.285436	0.000000	-0.406974	-3.090660	
0.234475	-0.890794	0.000000	0.229000	-0.151806	-3.811744	
-0.000000	0.000000	0.781414	-0.000000	-0.000000	0.000000	-3.486102	
-0.115652	-0.053293	0.000000	-0.036410	0.002728	0.016843	0.000000	849732.919760	
0.000000	0.000000	0.130632	0.000000	0.000000	0.000000	0.022402	0.000000	965063.502839	
-0.005000	-0.022925	0.000000	0.001912	0.003221	-0.013505	0.000000	-0.001088	0.000000	996474.918458	
0.037917	0.197788	-0.000000	-0.070282	0.119883	-0.134660	-0.000000	0.146920	-0.000000	-0.135480	1070618.513840	
0.112409	0.078384	0.000000	0.127498	-0.002896	0.000337	0.000000	0.835990	0.000000	0.037938	-0.319472	1118089.948443	

ENV_OEI
-5.005043	
0.407108	-0.569925	
0.000000	-0.000000	-0.411537	
0.368359	0.082391	0.000000	-0.594170	
0.305832	-0.302505	0.000000	0.158806	-0.715856	
0.477736	-0.021494	0.000000	-0.225385	0.312539	-0.898995	
-0.000000	0.000000	0.123007	0.000000	-0.000000	0.000000	-0.449880	
-0.222506	-0.006628	-0.000000	-0.049666	0.046075	0.018256	-0.000000	-0.699516	
-0.000000	0.000000	-0.140190	0.000000	-0.000000	-0.000000	-0.142169	0.000000	-0.794893	
0.015034	-0.272167	-0.000000	0.652667	-1.352120	0.940077	-0.000000	-0.125804	0.000000	-18.620275	
0.055177	-0.043512	-0.000000	0.007443	-0.036497	0.068442	-0.000000	-0.230062	-0.000000	-1.671732	-0.857035	
0.211558	-0.001057	0.000000	-0.032842	0.031435	-0.047280	0.000000	-0.084985	0.000000	0.179112	-0.120797	-0.527607	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996649	-0.016382	0.006520	0.006520	-0.001356	0.006678	0.027506	-0.000000	0.007936	-0.002256	0.000000	0.003217	
0.142583	-0.329952	-0.268827	-0.268827	0.028739	0.039153	0.317170	0.000000	0.219706	-0.172000	-0.000000	-0.289940	
0.000000	-0.000000	-0.451265	0.451265	0.000000	-0.000000	0.000000	-0.603357	-0.000000	-0.000000	0.342530	-0.000000	
0.128714	-0.518443	-0.125637	-0.125637	-0.058346	0.243867	0.304623	0.000000	-0.666883	0.034145	-0.000000	0.389501	
0.105090	-0.647903	0.888622	0.888622	0.117787	-0.705176	0.237669	0.000000	-0.175133	-0.165879	0.000000	-0.602837	
0.167882	-1.030265	0.429556	0.429556	-0.083748	0.510296	0.369806	0.000000	0.940124	0.282840	0.000000	0.682996	
