NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.207286
ENERGIES
-10.934265
-0.978869
-0.491971
-0.357207
0.408007
0.650097
0.764165
849736.416261
965066.111951
996477.545653
1070620.296256
1118093.914523

OEI
-18.319694	
-0.187805	-4.586196	
-0.000000	0.000000	-4.078819	
-0.214342	-0.186865	0.000000	-4.137195	
0.087699	-0.028660	0.000000	0.448209	-3.410437	
0.246117	0.842259	0.000000	0.076544	0.296811	-3.938576	
-0.000000	-0.000000	0.706630	-0.000000	-0.000000	0.000000	-3.490631	
0.114858	-0.046170	0.000000	-0.053897	0.012743	-0.026579	0.000000	849732.813276	
-0.000000	-0.000000	-0.107326	-0.000000	0.000000	-0.000000	-0.005836	-0.000000	965063.131282	
0.004633	-0.018063	0.000000	-0.002409	-0.008444	0.014785	0.000000	-0.001157	0.000000	996474.075092	
-0.036878	0.211734	-0.000000	-0.084327	-0.127545	0.073778	0.000000	0.119009	-0.000000	-0.157977	1070617.645319	
0.111395	-0.060708	0.000000	-0.134325	0.021218	-0.014531	0.000000	-0.721910	-0.000000	-0.041155	0.294020	1118090.228885	

ENV_OEI
-4.846572	
-0.359035	-0.793966	
-0.000000	0.000000	-0.389287	
-0.417140	0.284487	-0.000000	-0.761289	
0.171787	0.432882	-0.000000	-0.391085	-0.902247	
0.516129	-0.003220	0.000000	0.287742	0.296425	-0.699858	
-0.000000	-0.000000	0.031576	-0.000000	-0.000000	0.000000	-0.420429	
0.230860	-0.022459	-0.000000	-0.073173	-0.006517	-0.041439	0.000000	-0.878491	
-0.000000	-0.000000	0.224282	-0.000000	0.000000	0.000000	0.198669	-0.000000	-1.166451	
-0.015832	-0.504391	0.000000	0.939380	1.419292	-0.376996	-0.000000	-0.132780	0.000000	-19.453610	
-0.055813	-0.092118	-0.000000	0.034004	0.044714	-0.082685	0.000000	-0.211323	-0.000000	-1.755825	-1.236056	
0.219645	0.001030	0.000000	0.032989	0.012770	-0.008079	0.000000	0.388391	0.000000	-0.187053	-0.011638	-0.674204	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.996621	-0.016473	0.006498	0.006498	-0.001357	0.006656	0.016418	-0.000000	0.023438	0.002277	-0.000000	-0.003229	
-0.128781	0.271719	0.207873	0.207873	-0.049339	0.078641	-0.272128	0.000000	-0.206682	0.464247	-0.000000	0.055893	
-0.000000	-0.000000	0.475181	-0.475181	0.000000	-0.000000	0.000000	-0.575403	-0.000000	-0.000000	0.350709	0.000000	
-0.148119	0.588453	0.214738	0.214738	0.082023	-0.410207	0.333383	0.000000	-0.484828	-0.524922	-0.000000	0.102895	
0.057986	-0.356888	0.697851	0.697851	0.121573	-0.769159	-0.511404	0.000000	0.326220	-0.703928	0.000000	0.017864	
0.185187	-1.145162	0.697066	0.697066	-0.034284	0.229390	0.977567	0.000000	0.087064	0.447219	0.000000	0.057586	
-0.000000	0.000000	0.932812	-0.932812	-0.000000	0.000000	-0.000000	1.104703	-0.000000	-0.000000	0.316612	-0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049398	-0.203229	-0.000000	-0.573901	-0.025821	0.000000	0.799278	
0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216379	-0.001361	0.000000	-0.003845	-0.105482	-0.000000	-0.019655	
-0.018948	0.087232	0.000000	0.000000	-0.019715	-0.850777	0.045686	0.000000	0.129013	0.446528	-0.000000	0.196305	
0.081637	-0.375836	-0.000000	-0.000000	0.011611	-0.229177	-0.196837	0.000000	-0.555851	0.120150	-0.000000	-0.583417	

ERI
0 0 0 0 3.5233901
1 0 0 0 0.1719708
1 0 1 0 0.0165893
1 0 1 1 -0.0055768
1 1 0 0 0.6084121
1 1 1 0 -0.0055768
1 1 1 1 0.5984938
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0084674
2 0 2 1 -0.0092404
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0092404
2 1 2 1 0.0861291
2 1 2 2 0.0000000
2 2 0 0 0.6331859
2 2 1 0 0.0003169
2 2 1 1 0.4935356
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5330965
3 0 0 0 0.1940834
3 0 1 0 0.0149310
3 0 1 1 0.0058913
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0032339
3 0 3 0 0.0250542
3 0 3 1 -0.0048429
3 0 3 2 0.0000000
3 0 3 3 -0.0057261
3 1 0 0 0.0919089
3 1 1 0 0.0008528
3 1 1 1 -0.0326014
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0354620
3 1 3 0 -0.0048429
3 1 3 1 0.0791916
3 1 3 2 -0.0000000
3 1 3 3 0.0324413
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0084951
3 2 2 1 0.0529937
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0513092
3 2 3 3 -0.0000000
3 3 0 0 0.7143890
3 3 1 0 0.0033093
3 3 1 1 0.4934561
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4731561
3 3 3 0 -0.0057261
3 3 3 1 0.0324413
3 3 3 2 -0.0000000
3 3 3 3 0.5735210
4 0 0 0 -0.0760347
4 0 1 0 -0.0039202
4 0 1 1 -0.0076032
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0030169
4 0 3 0 -0.0136982
4 0 3 1 0.0041765
4 0 3 2 0.0000000
4 0 3 3 0.0064680
