NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.207787
ENERGIES
-10.840363
-0.498559
-0.437378
-0.244606
0.576950
0.791884
0.904562
849736.572320
965066.576619
996478.288360
1070621.186058
1118093.700343

OEI
-18.399031	
-0.271653	-4.298841	
-0.000000	0.000000	-3.758355	
-0.104526	-0.148971	-0.000000	-4.081798	
-0.268063	-0.188617	-0.000000	-0.481960	-3.057280	
0.000000	0.000000	-0.852749	-0.000000	-0.000000	-3.649220	
-0.198305	-0.800119	-0.000000	0.423272	0.098743	-0.000000	-3.179597	
0.104949	-0.067220	-0.000000	-0.108970	0.459331	-0.000000	0.065077	849733.029014	
0.000000	-0.000000	-0.073787	0.000000	0.000000	-0.117653	-0.000000	0.000000	965063.906529	
-0.005112	0.021121	0.000000	-0.004557	-0.002466	-0.000000	0.017054	0.002809	-0.000000	996475.292065	
-0.035732	0.191441	0.000000	-0.042827	-0.105547	0.000000	-0.172529	0.193339	-0.000000	0.124948	1070618.813685	
0.101417	-0.079156	-0.000000	-0.214626	0.460035	0.000000	0.025366	-0.959839	-0.000000	0.034548	0.333012	1118090.039643	

ENV_OEI
-4.927233	
-0.508377	-0.619876	
0.000000	-0.000000	-0.136515	
-0.208248	0.092529	0.000000	-0.415348	
-0.473356	-0.096674	-0.000000	-0.122706	-0.184545	
0.000000	-0.000000	-0.198195	0.000000	-0.000000	-0.348444	
-0.388496	0.147084	0.000000	-0.222992	-0.005599	0.000000	-1.076029	
0.225219	-0.015260	0.000000	-0.066867	0.070055	0.000000	-0.010239	-0.576988	
-0.000000	-0.000000	0.063269	0.000000	0.000000	0.034902	0.000000	0.000000	-0.739698	
0.018227	0.478335	0.000000	-0.454902	0.056155	0.000000	-1.468618	0.127000	0.000000	-18.569750	
-0.055571	-0.046099	-0.000000	0.011860	-0.021399	-0.000000	0.082811	-0.239557	0.000000	1.672605	-0.798992	
0.213904	-0.015994	-0.000000	0.000360	0.082316	-0.000000	0.049076	0.148187	-0.000000	0.177664	0.099643	-0.399558	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.259000	0.259000	-0.015125	-0.113119	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.073326	0.073326	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.064594	0.064594	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	-0.051506	0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.093323	0.093323	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996521	-0.018364	0.008875	0.008875	-0.001627	0.008244	0.020547	-0.000000	0.002254	-0.002502	0.000000	0.003798	
-0.179104	0.556399	0.055034	0.055034	-0.046300	0.083523	-0.449269	-0.000000	-0.199068	0.182190	0.000000	0.346273	
0.000000	-0.000000	-0.524247	0.524247	-0.000000	0.000000	-0.000000	0.448596	-0.000000	0.000000	-0.128665	0.000000	
-0.074657	0.216586	0.260392	0.260392	0.041621	-0.119088	-0.396129	0.000000	0.683866	-0.016138	-0.000000	-0.299174	
-0.157514	1.042954	-0.922724	-0.922724	-0.004733	0.038347	0.405330	0.000000	0.398802	0.015804	-0.000000	0.004356	
0.000000	-0.000000	0.804428	-0.804428	-0.000000	0.000000	0.000000	1.169096	0.000000	0.000000	-0.111710	0.000000	
-0.138031	0.825918	-0.091066	-0.091066	0.129727	-0.778916	-0.233728	0.000000	-0.829424	-0.323695	-0.000000	-0.902118	
0.084288	-0.388041	0.000000	0.000000	-0.012325	0.049401	-0.608823	0.000000	0.000000	0.744812	-0.000000	-0.291146	
-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	1.000000	-0.000000	
-0.000565	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	-0.000000	-0.000000	-0.019715	-0.850780	0.136854	-0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5227282
1 0 0 0 0.2360799
1 0 1 0 0.0308781
1 0 1 1 -0.0059866
1 1 0 0 0.7276915
1 1 1 0 -0.0059866
1 1 1 1 0.6495632
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0055392
2 0 2 1 -0.0056116
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0056116
2 1 2 1 0.0323861
2 1 2 2 -0.0000000
2 2 0 0 0.5776136
2 2 1 0 0.0062395
2 2 1 1 0.4073046
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5278561
3 0 0 0 0.0954573
3 0 1 0 0.0106680
3 0 1 1 0.0047516
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0022280
3 0 3 0 0.0177336
3 0 3 1 -0.0131186
3 0 3 2 -0.0000000
3 0 3 3 -0.0072524
3 1 0 0 0.0614522
3 1 1 0 0.0011770
3 1 1 1 -0.0277335
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0249335
3 1 3 0 -0.0131186
3 1 3 1 0.0860132
3 1 3 2 0.0000000
3 1 3 3 0.0416908
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0035389
3 2 2 1 0.0270894
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0504473
3 2 3 3 0.0000000
3 3 0 0 0.7397400
3 3 1 0 0.0051754
3 3 1 1 0.5150015
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4558286
