NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.010504
ENERGIES
-10.962422
-0.722541
-0.571175
-0.390352
0.456721
0.645028
0.654802
849736.305939
965066.271902
996477.792848
1070620.869934
1118093.444806

OEI
-18.390496	
0.227796	-4.306723	
0.000000	-0.000000	-3.852491	
0.155986	-0.204933	-0.000000	-4.166755	
0.271737	-0.142760	-0.000000	-0.491417	-3.149536	
0.200884	-0.805187	0.000000	0.267535	0.112017	-3.653465	
0.000000	-0.000000	-0.836682	0.000000	-0.000000	-0.000000	-3.729661	
0.104153	0.051949	0.000000	0.125390	-0.448340	-0.056811	0.000000	849732.756138	
0.000000	-0.000000	0.066469	-0.000000	0.000000	-0.000000	0.111389	-0.000000	965063.542305	
-0.004893	-0.018440	0.000000	-0.000427	0.001674	-0.019306	0.000000	0.002838	-0.000000	996474.670294	
-0.034999	-0.204852	-0.000000	0.020718	0.108240	0.147739	-0.000000	0.179506	-0.000000	0.135907	1070618.440392	
0.100528	0.042098	0.000000	0.226520	-0.447401	-0.026657	0.000000	-0.901116	-0.000000	0.036047	0.318672	1118089.789435	

ENV_OEI
-4.918544	
0.422463	-0.920357	
0.000000	-0.000000	-0.228239	
0.309464	0.162196	-0.000000	-0.518863	
0.490247	-0.058276	-0.000000	-0.132837	-0.270755	
0.386604	0.331634	0.000000	-0.306619	-0.044676	-1.244939	
0.000000	0.000000	-0.182724	-0.000000	-0.000000	-0.000000	-0.431295	
0.229348	0.007949	0.000000	0.087057	-0.043523	-0.007359	0.000000	-0.849865	
-0.000000	0.000000	-0.084807	0.000000	-0.000000	0.000000	-0.050101	0.000000	-1.103922	
0.019348	-0.686667	0.000000	0.485393	-0.004026	1.384930	0.000000	0.128859	0.000000	-19.191523	
-0.055489	0.071135	0.000000	-0.016329	0.011722	-0.080504	-0.000000	-0.236891	0.000000	1.721833	-1.172284	
0.217767	0.008883	0.000000	-0.000353	-0.066317	-0.037667	-0.000000	0.329267	0.000000	0.184381	0.032144	-0.649765	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.259000	0.259000	-0.015125	-0.113119	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.073326	0.073326	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.064594	0.064594	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	-0.051506	0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.093323	0.093323	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996463	-0.018532	0.008578	0.008578	-0.001675	0.008630	0.020917	0.000000	0.003074	-0.002386	-0.000000	0.004109	
0.150762	-0.431649	-0.020158	-0.020158	0.064785	-0.176765	0.353986	-0.000000	0.226195	-0.212854	0.000000	-0.475947	
0.000000	-0.000000	-0.522764	0.522764	-0.000000	0.000000	0.000000	0.450750	-0.000000	-0.000000	-0.128871	0.000000	
0.111410	-0.351329	-0.276835	-0.276835	-0.043338	0.165085	0.492330	-0.000000	-0.563879	0.010729	0.000000	0.306214	
0.163773	-1.075805	0.920210	0.920210	0.000079	-0.011571	-0.388098	0.000000	-0.382472	-0.006088	-0.000000	0.028014	
0.140237	-0.811954	0.081966	0.081966	-0.121045	0.755447	0.243620	-0.000000	0.915902	0.304998	0.000000	0.837954	
0.000000	-0.000000	0.805393	-0.805393	-0.000000	0.000000	0.000000	1.168267	0.000000	0.000000	-0.111472	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049402	-0.608823	0.000000	0.000000	0.744813	0.000000	-0.291146	
-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216379	0.004077	-0.000000	-0.000000	0.053739	-0.000000	0.092871	
-0.018946	0.087225	-0.000000	-0.000000	-0.019714	-0.850780	0.136853	0.000000	0.000000	0.334096	-0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229165	-0.589676	-0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5224362
1 0 0 0 -0.1997124
1 0 1 0 0.0224297
1 0 1 1 0.0062640
1 1 0 0 0.6592606
1 1 1 0 0.0062640
1 1 1 1 0.6522622
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0055860
2 0 2 1 0.0046504
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0046504
2 1 2 1 0.0215207
2 1 2 2 0.0000000
2 2 0 0 0.5784736
2 2 1 0 -0.0053660
2 2 1 1 0.3863386
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5279196
3 0 0 0 -0.1436431
3 0 1 0 0.0135300
3 0 1 1 -0.0052249
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0036010
3 0 3 0 0.0215376
3 0 3 1 0.0090932
3 0 3 2 0.0000000
3 0 3 3 0.0093879
3 1 0 0 0.0832719
3 1 1 0 -0.0008363
3 1 1 1 -0.0353648
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0257723
3 1 3 0 0.0090932
3 1 3 1 0.0689603
3 1 3 2 -0.0000000
3 1 3 3 0.0599357
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0047330
3 2 2 1 0.0240026
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0614488
3 2 3 3 -0.0000000
3 3 0 0 0.7402603
3 3 1 0 -0.0049105
3 3 1 1 0.4766170
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4564697
3 3 3 0 0.0093879
3 3 3 1 0.0599357
3 3 3 2 -0.0000000
3 3 3 3 0.5818618
4 0 0 0 -0.2219359
4 0 1 0 0.0153874
4 0 1 1 -0.0154059
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0001762
4 0 3 0 0.0159341
4 0 3 1 -0.0013474
4 0 3 2 0.0000000
4 0 3 3 -0.0045303
4 0 4 0 0.0260736
4 0 4 1 -0.0026209
4 0 4 2 -0.0000000
4 0 4 3 -0.0012481
4 0 4 4 0.0012303
4 1 0 0 0.0507303
4 1 1 0 -0.0011186
4 1 1 1 0.0121957
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0018292
4 1 3 0 0.0006105
4 1 3 1 0.0111031
4 1 3 2 0.0000000
4 1 3 3 0.0258186
4 1 4 0 -0.0026209
4 1 4 1 0.0053102
4 1 4 2 0.0000000
4 1 4 3 0.0140583
4 1 4 4 0.0010383
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 0.0016697
4 2 2 1 -0.0189991
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0598326
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1219786
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1465729
4 3 1 0 -0.0034396
4 3 1 1 0.0447513
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0100468
4 3 3 0 0.0089595
4 3 3 1 0.0303150
4 3 3 2 0.0000000
4 3 3 3 0.0947764
4 3 4 0 -0.0012481
4 3 4 1 0.0140583
4 3 4 2 0.0000000
4 3 4 3 0.0735925
4 3 4 4 -0.0022557
4 4 0 0 0.6000052
4 4 1 0 -0.0119671
4 4 1 1 0.3456371
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5111448
4 4 3 0 -0.0021030
4 4 3 1 0.0315806
4 4 3 2 0.0000000
4 4 3 3 0.4597530
4 4 4 0 0.0012303
4 4 4 1 0.0010383
4 4 4 2 -0.0000000
4 4 4 3 -0.0022557
4 4 4 4 0.5389497
5 0 0 0 -0.1840145
5 0 1 0 0.0231562
5 0 1 1 0.0124412
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0047166
5 0 3 0 0.0041266
5 0 3 1 -0.0072360
5 0 3 2 -0.0000000
5 0 3 3 -0.0128184
5 0 4 0 0.0106311
5 0 4 1 -0.0018718
