NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.403271
ENERGIES
-10.872069
-0.580653
-0.487512
-0.296277
0.532074
0.742290
0.801527
849736.471475
965066.454699
996478.107518
1070621.077623
1118093.599244

OEI
-18.362573	
0.251428	-4.278826	
0.000000	-0.000000	-3.780667	
-0.129746	0.179859	0.000000	-4.092915	
-0.269401	0.163595	0.000000	-0.488054	-3.090720	
0.000000	-0.000000	0.840082	0.000000	-0.000000	-3.675663	
-0.200474	0.812174	0.000000	0.350818	0.110243	-0.000000	-3.390325	
0.104566	0.059985	0.000000	-0.119421	0.453061	-0.000000	0.061740	849732.924530	
-0.000000	0.000000	-0.069456	0.000000	-0.000000	0.114597	-0.000000	-0.000000	965063.752615	
-0.004999	-0.019926	-0.000000	-0.002010	-0.002150	0.000000	0.018250	0.002818	-0.000000	996475.043934	
-0.035355	-0.198297	-0.000000	-0.031968	-0.106853	0.000000	-0.160867	0.185877	-0.000000	0.130769	1070618.674599	
0.100996	0.060992	0.000000	-0.223102	0.452601	-0.000000	0.026713	-0.928454	0.000000	0.035354	0.325471	1118089.941269	

ENV_OEI
-4.890685	
0.468645	-0.730265	
0.000000	-0.000000	-0.162807	
-0.258435	-0.127668	-0.000000	-0.446520	
-0.481230	0.078505	0.000000	-0.124641	-0.211288	
0.000000	-0.000000	0.184565	0.000000	-0.000000	-0.370906	
-0.389301	-0.235314	-0.000000	-0.269668	-0.023373	-0.000000	-1.143086	
0.227521	0.013088	0.000000	-0.074790	0.053789	-0.000000	0.001191	-0.681472	
0.000000	-0.000000	0.072517	0.000000	-0.000000	-0.042186	0.000000	0.000000	-0.893612	
0.018753	-0.577742	-0.000000	-0.476061	0.030989	-0.000000	-1.428783	0.128929	0.000000	-18.817881	
-0.055665	0.053189	0.000000	0.013375	-0.016247	0.000000	0.076976	-0.229271	0.000000	1.694135	-0.938078	
0.216176	0.008700	0.000000	-0.001460	0.071133	-0.000000	0.038595	0.238029	-0.000000	0.179550	0.062597	-0.497931	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.259000	0.259000	-0.015125	-0.113119	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.073326	0.073326	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.064594	0.064594	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	-0.051506	0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.093323	0.093323	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996488	-0.018464	0.008721	0.008721	-0.001652	0.008445	0.020747	0.000000	0.002679	-0.002444	-0.000000	0.003958	
0.166308	-0.499723	-0.037667	-0.037667	0.055223	-0.127248	0.404707	-0.000000	0.217542	-0.196998	0.000000	-0.409014	
0.000000	-0.000000	-0.526689	0.526689	0.000000	-0.000000	0.000000	0.445042	-0.000000	-0.000000	-0.128325	-0.000000	
-0.092873	0.282588	0.272633	0.272633	0.043094	-0.144902	-0.447287	0.000000	0.623779	-0.014692	-0.000000	-0.306951	
-0.160492	1.058062	-0.920329	-0.920329	-0.002473	0.026130	0.396031	-0.000000	0.395763	0.011431	0.000000	-0.011431	
0.000000	-0.000000	-0.802832	0.802832	0.000000	-0.000000	-0.000000	-1.170453	-0.000000	-0.000000	0.112100	-0.000000	
-0.139786	0.822986	-0.088284	-0.088284	0.125756	-0.769067	-0.238703	0.000000	-0.872487	-0.315162	-0.000000	-0.872699	
0.084288	-0.388041	0.000000	0.000000	-0.012325	0.049402	-0.608823	0.000000	0.000000	0.744813	-0.000000	-0.291146	
-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	1.000000	-0.000000	
-0.000565	0.002599	0.000000	0.000000	1.025611	-0.216379	0.004077	0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087225	-0.000000	-0.000000	-0.019714	-0.850780	0.136854	-0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229165	-0.589676	0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5225586
1 0 0 0 -0.2197396
1 0 1 0 0.0269164
1 0 1 1 0.0061893
1 1 0 0 0.6960783
1 1 1 0 0.0061893
1 1 1 1 0.6489942
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0054732
2 0 2 1 0.0050984
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0050984
2 1 2 1 0.0266862
2 1 2 2 -0.0000000
2 2 0 0 0.5761809
2 2 1 0 -0.0058443
2 2 1 1 0.3965233
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5277578
3 0 0 0 0.1192698
3 0 1 0 -0.0123819
3 0 1 1 0.0051506
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0029247
3 0 3 0 0.0192791
3 0 3 1 0.0111307
3 0 3 2 0.0000000
3 0 3 3 -0.0084460
3 1 0 0 -0.0738856
3 1 1 0 0.0010809
3 1 1 1 0.0318466
3 1 2 0 0.0000000
