NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.872223
ENERGIES
-11.156468
-0.879980
-0.671317
-0.629965
0.561808
0.591780
0.644703
1000000.386100

OEI
-18.603088	
0.260672	-4.582530	
0.000000	0.000000	-4.279444	
0.007946	-0.017906	0.000000	-4.217490	
-0.000000	0.000000	0.813483	0.000000	-3.606128	
-0.038926	0.124460	0.000000	-0.801924	0.000000	-3.604665	
0.307147	-0.926396	0.000000	-0.115578	-0.000000	0.012929	-3.517542	
-0.160414	-0.150299	-0.000000	-0.002628	-0.000000	0.001999	-0.000705	999995.925615	

ENV_OEI
-4.990935	
0.503513	-0.399735	
0.000000	0.000000	-0.361588	
0.016261	-0.000010	-0.000000	-0.317352	
-0.000000	0.000000	0.187405	0.000000	-0.404265	
-0.079976	0.023418	0.000000	-0.171197	0.000000	-0.383789	
0.641379	-0.246463	0.000000	-0.035516	0.000000	0.019022	-0.451341	
-0.304977	0.020973	-0.000000	-0.000297	-0.000000	0.003594	0.046171	-0.553855	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996692	0.016779	-0.006503	-0.006482	-0.006503	-0.027033	-0.000000	-0.000016	
-0.175332	0.462906	0.254656	0.227445	0.254656	-0.384220	-0.000000	-0.003284	
-0.000000	0.000000	0.393962	0.000000	-0.393962	-0.000000	0.612116	-0.000000	
-0.005822	0.023323	-0.236805	0.466970	-0.236805	-0.012969	0.000000	0.596513	
0.000000	-0.000000	0.875354	0.000000	-0.875354	0.000000	-1.076510	0.000000	
0.027572	-0.167705	0.583567	-0.911485	0.583567	0.062899	0.000000	1.078520	
-0.222633	1.398349	-0.684479	-0.866512	-0.684479	-0.509303	-0.000000	0.120485	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5238760
1 0 0 0 -0.2318330
1 0 1 0 0.0279873
1 0 1 1 0.0030282
1 1 0 0 0.6870623
1 1 1 0 0.0030282
1 1 1 1 0.5641927
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0093028
2 0 2 1 0.0123457
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0123457
2 1 2 1 0.1150706
2 1 2 2 0.0000000
2 2 0 0 0.6522657
2 2 1 0 -0.0019699
2 2 1 1 0.5074546
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5426604
3 0 0 0 -0.0076613
3 0 1 0 0.0008471
3 0 1 1 -0.0003072
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0027749
3 0 3 0 0.0089531
3 0 3 1 0.0118580
3 0 3 2 0.0000000
3 0 3 3 0.0033279
3 1 0 0 0.0057015
3 1 1 0 -0.0000694
3 1 1 1 -0.0020044
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0452699
3 1 3 0 0.0118580
3 1 3 1 0.1097425
3 1 3 2 -0.0000000
3 1 3 3 0.0531791
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0024826
3 2 2 1 -0.0467147
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0408119
3 2 3 3 0.0000000
3 3 0 0 0.6451656
3 3 1 0 -0.0018619
3 3 1 1 0.5010618
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4556054
3 3 3 0 0.0033279
3 3 3 1 0.0531791
3 3 3 2 0.0000000
3 3 3 3 0.5433670
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 0.0000000
4 0 2 0 -0.0132116
4 0 2 1 -0.0159935
4 0 2 2 -0.0000000
4 0 3 0 -0.0000000
4 0 3 1 -0.0000000
4 0 3 2 0.0029338
4 0 3 3 0.0000000
4 0 4 0 0.0188633
4 0 4 1 0.0082279
4 0 4 2 0.0000000
4 0 4 3 0.0044169
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 -0.0061972
4 1 2 1 0.0136792
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 0.0000000
4 1 3 2 -0.0271866
4 1 3 3 -0.0000000
4 1 4 0 0.0082279
4 1 4 1 0.0446064
4 1 4 2 0.0000000
4 1 4 3 -0.0159170
4 1 4 4 0.0000000
4 2 0 0 -0.2536394
4 2 1 0 0.0059537
4 2 1 1 -0.0499232
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 -0.0434340
4 2 3 0 -0.0025998
4 2 3 1 -0.0482130
4 2 3 2 -0.0000000
4 2 3 3 -0.0736257
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1216460
4 2 4 3 -0.0000000
4 2 4 4 -0.0444620
4 3 0 0 -0.0000000
4 3 1 0 0.0000000
4 3 1 1 0.0000000
4 3 2 0 -0.0030906
4 3 2 1 -0.0491196
4 3 2 2 -0.0000000
4 3 3 0 -0.0000000
4 3 3 1 -0.0000000
4 3 3 2 0.0152047
4 3 3 3 0.0000000
4 3 4 0 0.0044169
4 3 4 1 -0.0159170
4 3 4 2 -0.0000000
4 3 4 3 0.0365305
4 3 4 4 -0.0000000
4 4 0 0 0.7116795
4 4 1 0 -0.0063267
4 4 1 1 0.4950933
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5305372
4 4 3 0 -0.0000133
4 4 3 1 -0.0338648
4 4 3 2 -0.0000000
4 4 3 3 0.4574812
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 -0.0444620
4 4 4 3 -0.0000000
4 4 4 4 0.5473851
5 0 0 0 0.0360059
5 0 1 0 -0.0044337
5 0 1 1 -0.0007519
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0029785
5 0 3 0 0.0128460
5 0 3 1 0.0157320
5 0 3 2 0.0000000
5 0 3 3 0.0045163
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 -0.0049419
5 0 4 3 -0.0000000
5 0 4 4 0.0014742
5 0 5 0 0.0196817
5 0 5 1 0.0085838
5 0 5 2 0.0000000
5 0 5 3 -0.0038758
5 0 5 4 -0.0000000
5 0 5 5 -0.0036967
5 1 0 0 -0.0373352
5 1 1 0 0.0000733
5 1 1 1 -0.0130228
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0158900
5 1 3 0 0.0063403
5 1 3 1 -0.0090703
5 1 3 2 0.0000000
5 1 3 3 -0.0332936
5 1 4 0 -0.0000000
5 1 4 1 -0.0000000
5 1 4 2 0.0237787
5 1 4 3 -0.0000000
5 1 4 4 0.0233296
5 1 5 0 0.0085838
5 1 5 1 0.0434682
5 1 5 2 -0.0000000
5 1 5 3 -0.0006730
5 1 5 4 0.0000000
5 1 5 5 -0.0352814
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0019961
5 2 2 1 0.0486711
5 2 2 2 0.0000000
5 2 3 0 0.0000000
5 2 3 1 0.0000000
5 2 3 2 -0.0170316
5 2 3 3 -0.0000000
5 2 4 0 -0.0029897
5 2 4 1 0.0207033
5 2 4 2 0.0000000
5 2 4 3 -0.0348067
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0400869
5 2 5 3 -0.0000000
5 2 5 4 0.0242818
5 2 5 5 -0.0000000
5 3 0 0 0.2501259
5 3 1 0 -0.0057974
5 3 1 1 0.0535738
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 0.0700098
5 3 3 0 -0.0034178
5 3 3 1 -0.0422782
5 3 3 2 -0.0000000
5 3 3 3 0.0412489
5 3 4 0 0.0000000
5 3 4 1 -0.0000000
5 3 4 2 -0.0555106
5 3 4 3 -0.0000000
5 3 4 4 0.0709642
5 3 5 0 -0.0038758
5 3 5 1 -0.0006730
5 3 5 2 -0.0000000
5 3 5 3 0.1146931
5 3 5 4 0.0000000
5 3 5 5 0.0617620
5 4 0 0 -0.0000000
5 4 1 0 0.0000000
5 4 1 1 -0.0000000
5 4 2 0 0.0012082
5 4 2 1 0.0469678
5 4 2 2 0.0000000
5 4 3 0 -0.0000000
5 4 3 1 -0.0000000
5 4 3 2 -0.0395611
5 4 3 3 -0.0000000
5 4 4 0 -0.0013181
5 4 4 1 0.0355301
