NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-33.703839
ENERGIES
-10.756208
-0.602247
-0.357868
-0.352560
0.882553
0.890442
0.917866
1000000.763652

OEI
-18.010547	
-0.243053	-4.190007	
0.000000	0.000000	-3.808092	
-0.005476	-0.003693	-0.000000	-3.780991	
0.000000	0.000000	-0.759633	-0.000000	-3.352538	
-0.061431	-0.188231	-0.000000	0.732590	0.000000	-3.375158	
0.308681	0.881704	0.000000	0.163973	0.000000	-0.008001	-3.280221	
-0.157764	0.146435	-0.000000	0.003440	0.000000	0.001229	-0.008847	999996.392189	

ENV_OEI
-4.397681	
-0.467447	-0.063790	
0.000000	-0.000000	0.014670	
-0.011500	0.005255	-0.000000	0.018097	
0.000000	0.000000	-0.088055	-0.000000	-0.055581	
-0.126096	-0.033840	-0.000000	0.067438	0.000000	-0.060754	
0.642048	0.168907	0.000000	0.020680	-0.000000	0.027196	-0.150634	
-0.315407	-0.006405	-0.000000	0.000989	0.000000	-0.008549	0.021611	-0.087281	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996443	0.017963	-0.006798	-0.006919	-0.006798	-0.027590	0.000000	0.000188	
0.166811	-0.406359	-0.269850	-0.286309	-0.269850	0.363446	-0.000000	-0.008942	
-0.000000	0.000000	-0.456884	-0.000000	0.456884	-0.000000	-0.531802	-0.000000	
0.003801	-0.012135	-0.275215	0.541671	-0.275215	0.008532	-0.000000	0.511881	
-0.000000	0.000000	0.844221	-0.000000	-0.844221	-0.000000	-1.118368	0.000000	
0.045144	-0.276431	-0.330303	1.089809	-0.330303	0.102532	-0.000000	-1.106544	
-0.227416	1.398785	-0.819952	-0.537000	-0.819952	-0.518102	0.000000	-0.216837	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5225698
1 0 0 0 0.2213309
1 0 1 0 0.0254661
1 0 1 1 -0.0029762
1 1 0 0 0.6652087
1 1 1 0 -0.0029762
1 1 1 1 0.5476700
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0074465
2 0 2 1 -0.0104257
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0104257
2 1 2 1 0.1139692
2 1 2 2 -0.0000000
2 2 0 0 0.6156026
2 2 1 0 0.0011730
2 2 1 1 0.4907911
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5324518
3 0 0 0 0.0049345
3 0 1 0 0.0004468
3 0 1 1 0.0003046
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0027802
3 0 3 0 0.0070230
3 0 3 1 -0.0101442
3 0 3 2 -0.0000000
3 0 3 3 0.0024849
3 1 0 0 0.0021065
3 1 1 0 0.0001191
3 1 1 1 -0.0030953
3 1 2 0 -0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0590293
3 1 3 0 -0.0101442
3 1 3 1 0.1188680
3 1 3 2 0.0000000
3 1 3 3 -0.0557317
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0031274
3 2 2 1 0.0593144
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0495494
3 2 3 3 0.0000000
3 3 0 0 0.6069957
3 3 1 0 0.0008869
3 3 1 1 0.4935613
