NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.656074
ENERGIES
-11.128565
-0.861986
-0.651753
-0.611314
0.581895
0.611564
0.662150
1000000.411913

OEI
-18.560826	
0.259335	-4.555569	
0.000000	-0.000000	-4.247779	
0.007554	-0.017423	-0.000000	-4.186336	
0.000000	-0.000000	-0.810019	-0.000000	-3.591488	
-0.037635	0.119368	0.000000	-0.798713	-0.000000	-3.590643	
-0.307737	0.924705	-0.000000	0.110863	-0.000000	-0.012100	-3.503202	
-0.160220	-0.150050	-0.000000	-0.002443	-0.000000	0.002038	0.001330	999995.958069	

ENV_OEI
-4.948616	
0.500727	-0.377023	
0.000000	0.000000	-0.336731	
0.015423	-0.000079	-0.000000	-0.293611	
0.000000	-0.000000	-0.180097	-0.000000	-0.382817	
-0.077363	0.021648	0.000000	-0.163735	0.000000	-0.362459	
-0.642382	0.240849	-0.000000	0.033277	0.000000	-0.018187	-0.432705	
-0.305829	0.020222	-0.000000	-0.000226	0.000000	0.004013	-0.044476	-0.521401	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996672	0.016872	-0.006527	-0.006513	-0.006527	-0.027077	0.000000	-0.000006	
-0.174690	0.458562	0.256638	0.230448	0.256638	-0.382640	-0.000000	-0.002691	
-0.000000	0.000000	-0.398701	-0.000000	0.398701	-0.000000	-0.606272	-0.000000	
-0.005551	0.022303	-0.239724	0.472773	-0.239724	-0.012354	-0.000000	0.590240	
-0.000000	0.000000	0.873206	-0.000000	-0.873206	-0.000000	-1.079812	-0.000000	
0.026690	-0.162088	0.579405	-0.912320	0.579405	0.060880	-0.000000	1.082376	
0.223340	-1.400456	0.686256	0.861679	0.686256	0.510748	-0.000000	-0.116755	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5237724
1 0 0 0 -0.2310480
1 0 1 0 0.0277936
1 0 1 1 0.0030236
1 1 0 0 0.6853723
1 1 1 0 0.0030236
1 1 1 1 0.5628595
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0091617
2 0 2 1 0.0122077
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0122077
2 1 2 1 0.1152437
2 1 2 2 0.0000000
2 2 0 0 0.6495175
2 2 1 0 -0.0019043
2 2 1 1 0.5064021
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5417323
3 0 0 0 -0.0073110
3 0 1 0 0.0008112
3 0 1 1 -0.0002819
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0027818
3 0 3 0 0.0088017
3 0 3 1 0.0117209
3 0 3 2 -0.0000000
3 0 3 3 0.0033071
3 1 0 0 0.0055349
3 1 1 0 -0.0000613
3 1 1 1 -0.0018888
3 1 2 0 0.0000000
3 1 2 1 0.0000000
