NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.851350
ENERGIES
-11.153774
-0.878247
-0.669433
-0.628169
0.563741
0.593683
0.646381
1000000.388586

OEI
-18.599001	
0.260543	-4.579925	
0.000000	0.000000	-4.276384	
0.007907	-0.017859	-0.000000	-4.214477	
-0.000000	0.000000	-0.813152	-0.000000	-3.604725	
-0.038802	0.123967	0.000000	-0.801618	-0.000000	-3.603324	
-0.307204	0.926235	0.000000	0.115122	0.000000	-0.012847	-3.516168	
-0.160395	-0.150275	0.000000	-0.002610	-0.000000	0.002003	0.000765	999995.928745	

ENV_OEI
-4.986843	
0.503242	-0.397542	
0.000000	0.000000	-0.359185	
0.016179	-0.000017	-0.000000	-0.315056	
-0.000000	0.000000	-0.186698	0.000000	-0.402204	
-0.079724	0.023244	0.000000	-0.170474	-0.000000	-0.381741	
-0.641477	0.245919	0.000000	0.035296	-0.000000	-0.018940	-0.449550	
-0.305060	0.020901	-0.000000	-0.000290	-0.000000	0.003635	-0.046007	-0.550725	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996690	0.016788	-0.006505	-0.006485	-0.006505	-0.027037	0.000000	-0.000015	
-0.175270	0.462484	0.254849	0.227736	0.254849	-0.384067	0.000000	-0.003226	
-0.000000	0.000000	-0.394421	0.000000	0.394421	-0.000000	-0.611551	-0.000000	
-0.005795	0.023223	-0.237088	0.467534	-0.237088	-0.012909	-0.000000	0.595905	
0.000000	-0.000000	0.875148	0.000000	-0.875148	0.000000	-1.076831	-0.000000	
0.027487	-0.167163	0.583165	-0.911566	0.583165	0.062704	-0.000000	1.078896	
0.222702	-1.398555	0.684651	0.866045	0.684651	0.509443	0.000000	-0.120128	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5238660
1 0 0 0 -0.2317570
1 0 1 0 0.0279685
1 0 1 1 0.0030278
1 1 0 0 0.6868982
1 1 1 0 0.0030278
1 1 1 1 0.5640630
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0092892
2 0 2 1 0.0123323
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0123323
2 1 2 1 0.1150872
2 1 2 2 0.0000000
2 2 0 0 0.6519996
2 2 1 0 -0.0019635
2 2 1 1 0.5073523
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5425694
3 0 0 0 -0.0076271
3 0 1 0 0.0008436
3 0 1 1 -0.0003047
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0027756
3 0 3 0 0.0089384
3 0 3 1 0.0118447
3 0 3 2 0.0000000
3 0 3 3 0.0033259
3 1 0 0 0.0056853
3 1 1 0 -0.0000686
3 1 1 1 -0.0019933
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0453518
3 1 3 0 0.0118447
3 1 3 1 0.1097806
3 1 3 2 -0.0000000
3 1 3 3 0.0532321
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0024859
3 2 2 1 -0.0467966
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0408522
3 2 3 3 0.0000000
3 3 0 0 0.6448807
3 3 1 0 -0.0018546
3 3 1 1 0.5009752
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4554535
3 3 3 0 0.0033259
3 3 3 1 0.0532321
3 3 3 2 0.0000000
3 3 3 3 0.5432612
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 -0.0000000
4 0 2 0 0.0132068
4 0 2 1 0.0159934
4 0 2 2 0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 -0.0029418
4 0 3 3 -0.0000000
4 0 4 0 0.0188774
4 0 4 1 0.0082352
4 0 4 2 0.0000000
4 0 4 3 0.0044153
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 0.0061962
4 1 2 1 -0.0136772
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 -0.0000000
4 1 3 2 0.0271908
4 1 3 3 -0.0000000
4 1 4 0 0.0082352
4 1 4 1 0.0446025
4 1 4 2 -0.0000000
4 1 4 3 -0.0159110
4 1 4 4 -0.0000000
4 2 0 0 0.2536080
4 2 1 0 -0.0059497
4 2 1 1 0.0498974
4 2 2 0 -0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0433127
4 2 3 0 0.0025969
4 2 3 1 0.0482223
4 2 3 2 0.0000000
4 2 3 3 0.0735558
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1216448
4 2 4 3 0.0000000
4 2 4 4 0.0445808
4 3 0 0 0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 0.0030858
4 3 2 1 0.0491263
4 3 2 2 0.0000000
4 3 3 0 0.0000000
4 3 3 1 0.0000000
4 3 3 2 -0.0152461
4 3 3 3 0.0000000
4 3 4 0 0.0044153
4 3 4 1 -0.0159110
4 3 4 2 0.0000000
4 3 4 3 0.0365315
4 3 4 4 -0.0000000
4 4 0 0 0.7119455
4 4 1 0 -0.0063314
4 4 1 1 0.4951012
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5305360
4 4 3 0 -0.0000100
4 4 3 1 -0.0338502
4 4 3 2 0.0000000
4 4 3 3 0.4574782
4 4 4 0 -0.0000000
4 4 4 1 -0.0000000
4 4 4 2 0.0445808
4 4 4 3 -0.0000000
4 4 4 4 0.5474786
5 0 0 0 0.0358951
5 0 1 0 -0.0044177
5 0 1 1 -0.0007481
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0029865
5 0 3 0 0.0128420
5 0 3 1 0.0157331
5 0 3 2 0.0000000
5 0 3 3 0.0045169
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0049389
5 0 4 3 0.0000000
5 0 4 4 0.0014767
5 0 5 0 0.0196938
5 0 5 1 0.0085916
5 0 5 2 0.0000000
5 0 5 3 -0.0038762
5 0 5 4 -0.0000000
5 0 5 5 -0.0036938
5 1 0 0 -0.0371955
5 1 1 0 0.0000729
5 1 1 1 -0.0129696
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0159378
5 1 3 0 0.0063383
5 1 3 1 -0.0090822
5 1 3 2 0.0000000
5 1 3 3 -0.0332580
5 1 4 0 -0.0000000
5 1 4 1 0.0000000
5 1 4 2 -0.0237381
5 1 4 3 -0.0000000
5 1 4 4 0.0233314
5 1 5 0 0.0085916
5 1 5 1 0.0434627
5 1 5 2 0.0000000
5 1 5 3 -0.0006265
5 1 5 4 0.0000000
5 1 5 5 -0.0352697
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0019959
5 2 2 1 0.0486774
5 2 2 2 0.0000000
5 2 3 0 0.0000000
5 2 3 1 0.0000000
5 2 3 2 -0.0170621
5 2 3 3 -0.0000000
5 2 4 0 0.0029927
5 2 4 1 -0.0206763
5 2 4 2 -0.0000000
5 2 4 3 0.0348023
5 2 4 4 -0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0400723
5 2 5 3 -0.0000000
5 2 5 4 -0.0242105
5 2 5 5 -0.0000000
5 3 0 0 0.2501025
5 3 1 0 -0.0057940
5 3 1 1 0.0535315
5 3 2 0 -0.0000000
5 3 2 1 0.0000000
5 3 2 2 0.0699608
5 3 3 0 -0.0034109
5 3 3 1 -0.0422940
5 3 3 2 -0.0000000
5 3 3 3 0.0411261
5 3 4 0 0.0000000
5 3 4 1 -0.0000000
5 3 4 2 0.0555042
5 3 4 3 0.0000000
5 3 4 4 0.0710318
5 3 5 0 -0.0038762
5 3 5 1 -0.0006265
5 3 5 2 -0.0000000
5 3 5 3 0.1147080
5 3 5 4 0.0000000
5 3 5 5 0.0618380
5 4 0 0 0.0000000
5 4 1 0 0.0000000
5 4 1 1 0.0000000
5 4 2 0 -0.0012003
5 4 2 1 -0.0469033
5 4 2 2 -0.0000000
5 4 3 0 -0.0000000
5 4 3 1 -0.0000000
5 4 3 2 0.0395533
5 4 3 3 -0.0000000
5 4 4 0 -0.0013088
5 4 4 1 0.0354900
5 4 4 2 -0.0000000
5 4 4 3 -0.0211354
5 4 4 4 0.0000000
5 4 5 0 -0.0000000
5 4 5 1 0.0000000
5 4 5 2 -0.0242105
5 4 5 3 0.0000000
5 4 5 4 0.0500238
5 4 5 5 -0.0000000
5 5 0 0 0.7202049
5 5 1 0 -0.0064151
5 5 1 1 0.4945288
5 5 2 0 -0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.4733944
5 5 3 0 -0.0033162
5 5 3 1 0.0115480
5 5 3 2 -0.0000000
5 5 3 3 0.5193436
5 5 4 0 0.0000000
5 5 4 1 -0.0000000
5 5 4 2 0.0654011
5 5 4 3 0.0000000
5 5 4 4 0.4782889
5 5 5 0 -0.0036938
5 5 5 1 -0.0352697
5 5 5 2 -0.0000000
5 5 5 3 0.0618380
5 5 5 4 -0.0000000
5 5 5 5 0.5373127
6 0 0 0 0.2904455
6 0 1 0 -0.0348620
6 0 1 1 -0.0018105
6 0 2 0 -0.0000000
6 0 2 1 -0.0000000
6 0 2 2 0.0029357
6 0 3 0 -0.0025752
6 0 3 1 -0.0017337
6 0 3 2 0.0000000
6 0 3 3 0.0019277
6 0 4 0 0.0000000
6 0 4 1 -0.0000000
6 0 4 2 0.0061829
6 0 4 3 -0.0000000
6 0 4 4 0.0071554
6 0 5 0 0.0032995
6 0 5 1 -0.0012304
6 0 5 2 -0.0000000
6 0 5 3 0.0070308
6 0 5 4 0.0000000
6 0 5 5 0.0078682
6 0 6 0 0.0438854
6 0 6 1 -0.0018462
6 0 6 2 0.0000000
6 0 6 3 -0.0000364
6 0 6 4 0.0000000
6 0 6 5 0.0012139
6 0 6 6 0.0018089
6 1 0 0 -0.2759680
6 1 1 0 0.0007735
6 1 1 1 -0.1061348
6 1 2 0 0.0000000
6 1 2 1 -0.0000000
6 1 2 2 -0.0671163
6 1 3 0 -0.0005707
6 1 3 1 -0.0017347
6 1 3 2 0.0000000
6 1 3 3 -0.0604183
6 1 4 0 0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0702614
6 1 4 3 -0.0000000
6 1 4 4 -0.0631125
6 1 5 0 -0.0010706
6 1 5 1 0.0098912
6 1 5 2 0.0000000
6 1 5 3 -0.0713493
6 1 5 4 0.0000000
6 1 5 5 -0.0604387
6 1 6 0 -0.0018462
6 1 6 1 0.1023705
6 1 6 2 0.0000000
6 1 6 3 0.0146601
6 1 6 4 0.0000000
6 1 6 5 -0.0059382
6 1 6 6 -0.0828524
6 2 0 0 -0.0000000
6 2 1 0 0.0000000
6 2 1 1 -0.0000000
6 2 2 0 -0.0062008
6 2 2 1 0.0179796
6 2 2 2 -0.0000000
6 2 3 0 -0.0000000
6 2 3 1 -0.0000000
6 2 3 2 -0.0261382
6 2 3 3 -0.0000000
6 2 4 0 -0.0081321
6 2 4 1 -0.0431080
6 2 4 2 -0.0000000
6 2 4 3 0.0197942
6 2 4 4 -0.0000000
6 2 5 0 -0.0000000
6 2 5 1 0.0000000
6 2 5 2 0.0244545
6 2 5 3 -0.0000000
6 2 5 4 -0.0367900
6 2 5 5 -0.0000000
6 2 6 0 0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.0455435
6 2 6 3 -0.0000000
6 2 6 4 -0.0248246
6 2 6 5 0.0000000
