NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.181947
ENERGIES
-6.497853
-0.129495
0.214046
0.476383
1.186262
1.638081
1.758235
849737.128079
965066.796748
996478.623491
1070620.946780
1118094.572082

OEI
-13.314136	
-0.184891	-3.469679	
-0.000000	0.000000	-3.104749	
0.241370	0.005875	-0.000000	-3.033253	
0.254625	0.102085	0.000000	-0.395799	-2.695908	
0.000000	0.000000	0.521999	0.000000	-0.000000	-2.717360	
-0.390728	-0.653770	0.000000	0.017364	-0.003016	0.000000	-3.062684	
-0.108550	0.032995	-0.000000	-0.058844	-0.032568	-0.000000	-0.032108	849733.577745	
0.000000	-0.000000	-0.087947	0.000000	0.000000	0.012985	0.000000	0.000000	965063.728000	
0.004980	-0.014268	-0.000000	-0.000087	-0.003293	0.000000	-0.016969	0.000710	0.000000	996475.027270	
-0.035699	0.201215	-0.000000	0.098786	-0.125481	0.000000	-0.070294	-0.087435	-0.000000	-0.166151	1070618.222474	
0.108712	-0.039101	0.000000	0.122693	0.054139	0.000000	0.008438	0.590929	-0.000000	-0.041499	0.260281	1118090.955883	

ENV_OEI
0.167140	
-0.092282	0.069114	
-0.000000	0.000000	0.343428	
0.109241	-0.347973	0.000000	0.081076	
0.127485	0.305510	-0.000000	0.557020	0.086841	
0.000000	-0.000000	-0.217544	-0.000000	0.000000	0.594197	
-0.214463	0.324171	-0.000000	0.285686	-0.191797	0.000000	0.408335	
-0.089218	0.004525	0.000000	-0.039161	-0.012265	0.000000	-0.042680	-0.114022	
-0.000000	-0.000000	0.263556	0.000000	-0.000000	0.134963	0.000000	0.000000	-0.569733	
-0.032084	-0.448578	0.000000	-1.100816	1.225062	-0.000000	0.572236	0.147639	0.000000	-18.501429	
-0.016445	-0.156337	0.000000	-0.080794	0.089435	-0.000000	0.083366	0.137297	0.000000	-1.691502	-0.658906	
0.080172	0.024122	0.000000	-0.068749	-0.015089	-0.000000	0.032283	-0.541341	-0.000000	-0.159089	-0.146815	0.052795	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
