NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.627727
ENERGIES
-10.934183
-0.903836
-0.515058
-0.302029
0.506513
0.693729
0.736850
849736.458155
965066.329839
996478.106600
1070621.023592
1118093.588908

OEI
-18.547200	
0.219248	-4.600013	
-0.000000	0.000000	-4.197415	
0.188300	-0.120603	-0.000000	-4.304919	
0.152553	-0.295205	-0.000000	-0.398248	-3.114129	
0.235808	-0.896855	-0.000000	0.238965	-0.172072	-3.829835	
0.000000	-0.000000	0.791431	0.000000	-0.000000	-0.000000	-3.517975	
0.115821	0.053831	-0.000000	0.034741	-0.003624	-0.015800	-0.000000	849732.880845	
-0.000000	-0.000000	0.132564	-0.000000	-0.000000	-0.000000	0.024838	-0.000000	965063.492070	
-0.005041	-0.023306	-0.000000	0.002161	0.003165	-0.013283	0.000000	0.001104	-0.000000	996474.918410	
-0.038059	-0.197520	-0.000000	0.067374	-0.119572	0.137656	0.000000	0.150020	0.000000	0.133642	1070618.503724	
0.112583	0.079364	0.000000	0.126953	-0.005170	0.002316	0.000000	-0.848333	0.000000	0.037688	0.322227	1118089.906787	

ENV_OEI
-5.074163	
0.410958	-0.602502	
-0.000000	0.000000	-0.460748	
0.365843	0.071268	-0.000000	-0.637162	
0.306616	-0.298890	-0.000000	0.138810	-0.746288	
0.479157	-0.033001	-0.000000	-0.206529	0.313539	-0.947815	
0.000000	-0.000000	0.140059	-0.000000	0.000000	-0.000000	-0.494908	
0.221694	0.006879	0.000000	0.040318	-0.049731	-0.014227	-0.000000	-0.738431	
0.000000	-0.000000	-0.133894	0.000000	0.000000	0.000000	-0.141251	0.000000	-0.805663	
0.014961	-0.262540	0.000000	0.620841	-1.352442	0.962796	0.000000	0.125618	0.000000	-18.620322	
-0.055158	0.040457	0.000000	-0.003770	0.036793	-0.068554	-0.000000	-0.225002	-0.000000	1.669852	-0.867151	
0.210767	-0.000691	0.000000	-0.038210	0.029449	-0.046258	-0.000000	0.052603	-0.000000	0.179226	0.130443	-0.569263	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996652	-0.016364	0.006511	0.006511	-0.001355	0.006669	0.027500	0.000000	0.007898	-0.002261	-0.000000	0.003209	
0.143483	-0.334987	-0.269045	-0.269045	0.027845	0.044332	0.319200	0.000000	0.224012	-0.169924	0.000000	-0.283774	
-0.000000	0.000000	-0.441755	0.441755	-0.000000	0.000000	-0.000000	-0.614271	-0.000000	-0.000000	0.339244	-0.000000	
0.127737	-0.513472	-0.117848	-0.117848	-0.055560	0.226690	0.302509	0.000000	-0.682209	0.028294	-0.000000	0.372124	
0.105213	-0.651147	0.893753	0.893753	0.117876	-0.703549	0.237641	-0.000000	-0.155802	-0.164059	-0.000000	-0.602518	
0.167766	-1.029084	0.420895	0.420895	-0.085793	0.519948	0.369813	-0.000000	0.931474	0.285787	-0.000000	0.695442	
0.000000	-0.000000	-0.949098	0.949098	-0.000000	0.000000	0.000000	1.083572	0.000000	0.000000	0.328867	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049401	-0.608823	0.000000	0.000000	0.744813	-0.000000	-0.291146	
0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	0.000000	0.000000	-0.019715	-0.850780	0.136854	-0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	0.000000	-0.000000	-0.509850	0.000000	0.308002	

ERI
0 0 0 0 3.5235510
1 0 0 0 -0.1912107
1 0 1 0 0.0205271
1 0 1 1 0.0058430
1 1 0 0 0.6455142
1 1 1 0 0.0058430
1 1 1 1 0.5925583
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0093964
2 0 2 1 0.0110251
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0110251
2 1 2 1 0.1054228
2 1 2 2 0.0000000
2 2 0 0 0.6511772
2 2 1 0 -0.0007560
2 2 1 1 0.5118671
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5388695
3 0 0 0 -0.1667034
3 0 1 0 0.0128033
3 0 1 1 -0.0086171
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0038601
3 0 3 0 0.0248933
3 0 3 1 0.0082057
3 0 3 2 0.0000000
3 0 3 3 0.0094420
3 1 0 0 0.0551652
3 1 1 0 -0.0011202
3 1 1 1 -0.0187917
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0191779
3 1 3 0 0.0082057
3 1 3 1 0.0594836
3 1 3 2 -0.0000000
3 1 3 3 0.0420898
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0072043
3 2 2 1 0.0385780
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0369045
3 2 3 3 0.0000000
3 3 0 0 0.7754504
3 3 1 0 -0.0065689
3 3 1 1 0.4871450
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4845610
3 3 3 0 0.0094420
3 3 3 1 0.0420898
3 3 3 2 0.0000000
3 3 3 3 0.6298587
4 0 0 0 -0.1384546
4 0 1 0 0.0127372
4 0 1 1 -0.0016525
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0022190
4 0 3 0 0.0143404
4 0 3 1 0.0020984
4 0 3 2 0.0000000
4 0 3 3 0.0009041
4 0 4 0 0.0103767
4 0 4 1 -0.0003619
4 0 4 2 -0.0000000
4 0 4 3 0.0012136
4 0 4 4 -0.0000195
4 1 0 0 0.0854038
4 1 1 0 0.0008093
4 1 1 1 0.0412376
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0148941
4 1 3 0 -0.0012175
4 1 3 1 -0.0196889
4 1 3 2 0.0000000
4 1 3 3 0.0533258
4 1 4 0 -0.0003619
4 1 4 1 0.0705348
4 1 4 2 0.0000000
4 1 4 3 -0.0066408
4 1 4 4 0.0074995
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0010736
4 2 2 1 -0.0726323
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0164503
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0803399
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1437547
4 3 1 0 -0.0050015
4 3 1 1 -0.0210501
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0196115
4 3 3 0 0.0084279
4 3 3 1 0.0535992
4 3 3 2 0.0000000
4 3 3 3 0.0918167
4 3 4 0 0.0012136
4 3 4 1 -0.0066408
4 3 4 2 0.0000000
4 3 4 3 0.0802999
4 3 4 4 -0.0337559
4 4 0 0 0.5032524
4 4 1 0 0.0018676
4 4 1 1 0.5144647
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4729042
4 4 3 0 -0.0013914
4 4 3 1 -0.0190584
4 4 3 2 0.0000000
4 4 3 3 0.4404755
4 4 4 0 -0.0000195
4 4 4 1 0.0074995
4 4 4 2 -0.0000000
4 4 4 3 -0.0337559
4 4 4 4 0.5200084
5 0 0 0 -0.2204664
5 0 1 0 0.0263156
5 0 1 1 0.0117843
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0007211
5 0 3 0 0.0068976
5 0 3 1 -0.0064206
5 0 3 2 0.0000000
5 0 3 3 -0.0156534
5 0 4 0 0.0128058
5 0 4 1 0.0011949
5 0 4 2 -0.0000000
5 0 4 3 -0.0121509
5 0 4 4 0.0029304
5 0 5 0 0.0393342
5 0 5 1 0.0041745
5 0 5 2 -0.0000000
5 0 5 3 0.0041391
5 0 5 4 0.0025207
5 0 5 5 0.0100549
5 1 0 0 0.2650973
5 1 1 0 0.0003903
5 1 1 1 0.0709366
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0699109
5 1 3 0 -0.0080015
5 1 3 1 0.0267391
5 1 3 2 0.0000000
5 1 3 3 0.0904051
5 1 4 0 -0.0031006
5 1 4 1 0.0149527
5 1 4 2 0.0000000
5 1 4 3 0.0473273
5 1 4 4 -0.0003874
5 1 5 0 0.0041745
5 1 5 1 0.1046200
5 1 5 2 0.0000000
5 1 5 3 -0.0362415
5 1 5 4 0.0371129
5 1 5 5 0.0846330
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0059145
5 2 2 1 0.0058045
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0014189
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0159508
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0235175
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0859363
5 3 1 0 0.0041597
5 3 1 1 0.0186310
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 -0.0168451
5 3 3 0 0.0027412
5 3 3 1 -0.0072113
5 3 3 2 0.0000000
5 3 3 3 -0.0356083
5 3 4 0 0.0018714
5 3 4 1 0.0196159
5 3 4 2 -0.0000000
5 3 4 3 -0.0356622
5 3 4 4 0.0262781
5 3 5 0 0.0041391
5 3 5 1 -0.0362415
5 3 5 2 -0.0000000
5 3 5 3 0.0528907
5 3 5 4 -0.0202309
5 3 5 5 0.0022798
5 4 0 0 0.0526274
5 4 1 0 0.0011107
5 4 1 1 0.0095414
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 0.0322168
5 4 3 0 -0.0020707
5 4 3 1 0.0323913
5 4 3 2 0.0000000
5 4 3 3 -0.0043261
5 4 4 0 -0.0004526
5 4 4 1 -0.0410390
5 4 4 2 -0.0000000
5 4 4 3 0.0262915
5 4 4 4 -0.0024917
5 4 5 0 0.0025207
5 4 5 1 0.0371129
5 4 5 2 -0.0000000
5 4 5 3 -0.0202309
5 4 5 4 0.0588384
5 4 5 5 -0.0135899
5 5 0 0 0.7872903
5 5 1 0 0.0006293
5 5 1 1 0.5773267
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4990300
5 5 3 0 -0.0184109
5 5 3 1 -0.0377691
5 5 3 2 0.0000000
5 5 3 3 0.5083162
5 5 4 0 -0.0067817
5 5 4 1 0.0656994
5 5 4 2 -0.0000000
5 5 4 3 -0.0180366
5 5 4 4 0.5001706
5 5 5 0 0.0100549
5 5 5 1 0.0846330
5 5 5 2 0.0000000
5 5 5 3 0.0022798
5 5 5 4 -0.0135899
5 5 5 5 0.6250188
6 0 0 0 -0.0000000
6 0 1 0 0.0000000
6 0 1 1 0.0000000
6 0 2 0 -0.0132993
6 0 2 1 -0.0140089
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 -0.0000000
6 0 3 2 -0.0096065
6 0 3 3 -0.0000000
6 0 4 0 0.0000000
6 0 4 1 0.0000000
6 0 4 2 0.0013094
6 0 4 3 -0.0000000
6 0 4 4 -0.0000000
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0073680
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0000000
6 0 6 0 0.0189303
6 0 6 1 0.0048216
6 0 6 2 0.0000000
6 0 6 3 0.0096626
6 0 6 4 0.0098677
6 0 6 5 0.0097045
6 0 6 6 0.0000000
6 1 0 0 0.0000000
6 1 1 0 0.0000000
6 1 1 1 0.0000000
6 1 2 0 -0.0037525
6 1 2 1 0.0319107
6 1 2 2 0.0000000
6 1 3 0 -0.0000000
6 1 3 1 0.0000000
6 1 3 2 0.0017929
6 1 3 3 0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0499233
6 1 4 3 0.0000000
6 1 4 4 0.0000000
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 -0.0229049
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.0000000
6 1 6 0 0.0048216
6 1 6 1 0.0425562
6 1 6 2 -0.0000000
6 1 6 3 0.0111812
6 1 6 4 -0.0525874
6 1 6 5 -0.0212554
6 1 6 6 -0.0000000
6 2 0 0 -0.2545219
6 2 1 0 0.0061710
6 2 1 1 -0.0132598
6 2 2 0 0.0000000
6 2 2 1 -0.0000000
6 2 2 2 -0.0448037
6 2 3 0 0.0011861
6 2 3 1 -0.0207637
6 2 3 2 -0.0000000
6 2 3 3 -0.1101525
6 2 4 0 0.0029198
6 2 4 1 -0.0396733
