NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.064033
ENERGIES
-6.782249
-0.396203
0.011074
0.227630
0.950346
1.417161
1.509303
849736.725506
965066.463594
996478.161959
1070621.101645
1118093.833341

OEI
-13.519280	
0.157380	-3.762299	
-0.000000	-0.000000	-3.326296	
-0.246170	0.004104	-0.000000	-3.192955	
0.242567	-0.019740	0.000000	0.345157	-3.020223	
-0.000000	0.000000	0.507031	-0.000000	0.000000	-2.881300	
0.389464	-0.616402	0.000000	0.171613	0.119495	0.000000	-3.295847	
-0.108034	-0.024165	0.000000	0.064399	-0.046905	0.000000	0.035831	849733.154836	
0.000000	0.000000	0.076189	0.000000	0.000000	-0.014597	0.000000	0.000000	965063.324138	
-0.004772	-0.011470	-0.000000	0.002564	0.005181	0.000000	-0.017599	-0.000827	-0.000000	996474.425044	
0.034951	0.216646	0.000000	0.088809	0.108348	0.000000	-0.057378	0.074460	0.000000	-0.178720	1070618.314449	
0.107506	0.021497	-0.000000	-0.121095	0.072174	0.000000	-0.012531	0.536948	0.000000	0.043300	-0.248165	1118090.205884	

ENV_OEI
-0.037144	
0.083118	-0.389196	
-0.000000	-0.000000	0.157460	
-0.117393	-0.530220	0.000000	-0.206075	
0.125791	-0.406313	-0.000000	-0.576248	0.013891	
-0.000000	-0.000000	-0.228358	-0.000000	-0.000000	0.394678	
0.217556	0.350137	-0.000000	0.228804	0.150016	0.000000	0.216085	
-0.088098	-0.015538	0.000000	0.042018	-0.034654	-0.000000	0.063297	-0.464442	
0.000000	-0.000000	-0.311489	0.000000	-0.000000	-0.174563	-0.000000	-0.000000	-0.973595	
0.032659	-0.670246	-0.000000	-1.195270	-1.097933	-0.000000	0.436536	-0.142702	-0.000000	-19.113689	
0.015167	-0.185983	0.000000	-0.052636	-0.060533	-0.000000	0.074485	-0.154950	0.000000	-1.738380	-1.056428	
0.077342	-0.048102	0.000000	0.063617	-0.030793	0.000000	-0.040491	-0.655070	-0.000000	0.170897	0.175008	-0.270161	

OVERLAP
