NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-24.772674
ENERGIES
-6.998788
-0.608527
-0.186542
0.025832
0.749643
1.209485
1.293184
849736.553966
965066.273632
996477.946928
1070620.406329
1118094.028251

OEI
-13.756235	
0.160270	-3.985783	
-0.000000	0.000000	-3.537773	
-0.250129	0.010446	-0.000000	-3.401400	
0.235104	-0.007273	-0.000000	0.347064	-3.229253	
0.000000	-0.000000	-0.517557	-0.000000	-0.000000	-3.081578	
0.391342	-0.625995	0.000000	0.187473	0.138593	-0.000000	-3.501835	
0.108344	0.023973	-0.000000	-0.064453	0.046853	-0.000000	-0.035407	849732.980012	
-0.000000	0.000000	0.076927	-0.000000	-0.000000	0.013602	-0.000000	-0.000000	965063.136326	
0.004805	0.011538	-0.000000	-0.002843	-0.005599	-0.000000	0.017505	-0.000863	-0.000000	996474.211955	
-0.035116	-0.217833	0.000000	-0.086849	-0.108209	-0.000000	0.057076	0.075685	0.000000	-0.178720	1070617.620952	
0.107810	0.021039	-0.000000	-0.121771	0.071826	-0.000000	-0.012033	-0.541821	-0.000000	-0.043336	0.249489	1118090.396911	

ENV_OEI
-0.274000	
0.084523	-0.610452	
0.000000	0.000000	-0.036590	
-0.121135	-0.535795	0.000000	-0.401568	
0.124124	-0.419026	0.000000	-0.568760	-0.195331	
0.000000	0.000000	0.215159	0.000000	0.000000	0.176974	
0.219222	0.333597	-0.000000	0.224161	0.156130	0.000000	-0.004988	
0.087220	0.009325	0.000000	-0.052563	0.026556	-0.000000	-0.064418	-0.711755	
0.000000	-0.000000	-0.305724	-0.000000	-0.000000	0.178112	-0.000000	0.000000	-1.161407	
-0.032659	0.685454	-0.000000	1.190864	1.104036	0.000000	-0.420299	-0.136770	-0.000000	-19.316746	
-0.014874	0.170173	-0.000000	0.036440	0.051464	-0.000000	-0.069183	-0.188064	-0.000000	-1.740356	-1.260426	
0.076298	-0.038632	-0.000000	0.066432	-0.023582	-0.000000	-0.048410	0.614081	-0.000000	-0.177114	-0.128627	-0.506177	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.975557	-0.101579	0.030702	0.030702	-0.002362	0.017563	0.046469	-0.000000	0.057562	0.014186	0.000000	-0.006406	
0.100074	-0.011532	-0.274861	-0.274861	0.065748	-0.174211	0.160607	0.000000	0.122771	-0.600005	-0.000000	-0.048854	
0.000000	0.000000	-0.594685	0.594685	-0.000000	0.000000	-0.000000	0.423825	0.000000	0.000000	-0.389598	-0.000000	
-0.142218	0.327565	0.522874	0.522874	0.102569	-0.572068	0.260612	0.000000	-0.370948	-0.587722	-0.000000	0.115803	
0.125253	-0.500725	0.584765	0.584765	0.094419	-0.621803	-0.595010	-0.000000	0.457711	-0.542104	-0.000000	-0.015713	
0.000000	-0.000000	0.861559	-0.861559	0.000000	-0.000000	0.000000	1.171251	0.000000	-0.000000	0.267308	0.000000	
0.267943	-1.220929	0.608625	0.608625	-0.036820	0.272335	0.976078	-0.000000	0.163818	0.432544	-0.000000	0.035667	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049398	-0.203229	0.000000	-0.573901	-0.025821	0.000000	0.799278	
-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	-1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216380	-0.001361	-0.000000	-0.003845	-0.105483	0.000000	-0.019655	
-0.018948	0.087231	0.000000	0.000000	-0.019715	-0.850778	0.045686	-0.000000	0.129012	0.446529	0.000000	0.196305	
0.081637	-0.375836	-0.000000	-0.000000	0.011611	-0.229175	-0.196837	0.000000	-0.555851	0.120149	-0.000000	-0.583417	

ERI
0 0 0 0 3.4027314
1 0 0 0 -0.1551953
1 0 1 0 0.0126409
1 0 1 1 0.0057492
1 1 0 0 0.5203741
1 1 1 0 0.0057492
1 1 1 1 0.5931271
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0065205
2 0 2 1 0.0075431
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0075431
2 1 2 1 0.0836080
2 1 2 2 0.0000000
2 2 0 0 0.5685246
2 2 1 0 0.0007921
2 2 1 1 0.4723226
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5220178
3 0 0 0 0.2185770
3 0 1 0 -0.0143823
3 0 1 1 0.0071553
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0044778
3 0 3 0 0.0262071
3 0 3 1 0.0025550
3 0 3 2 -0.0000000
3 0 3 3 0.0004303
3 1 0 0 -0.0510119
3 1 1 0 0.0012666
3 1 1 1 0.0657788
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0395249
3 1 3 0 0.0025550
3 1 3 1 0.0849194
3 1 3 2 -0.0000000
3 1 3 3 0.0077421
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0091225
3 2 2 1 -0.0828162
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0969120
3 2 3 3 0.0000000
3 3 0 0 0.6109551
3 3 1 0 -0.0011477
3 3 1 1 0.4900143
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4672353
3 3 3 0 0.0004303
3 3 3 1 0.0077421
3 3 3 2 0.0000000
3 3 3 3 0.4988084
4 0 0 0 -0.1942790
4 0 1 0 0.0109172
4 0 1 1 -0.0123767
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0067687
4 0 3 0 -0.0262490
4 0 3 1 -0.0039490
4 0 3 2 0.0000000
4 0 3 3 0.0000685
4 0 4 0 0.0291511
4 0 4 1 0.0012824
4 0 4 2 0.0000000
4 0 4 3 -0.0086622
4 0 4 4 0.0034663
4 1 0 0 -0.0016426
4 1 1 0 0.0004328
4 1 1 1 0.0369153
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0329902
4 1 3 0 -0.0016896
4 1 3 1 0.0490967
4 1 3 2 -0.0000000
4 1 3 3 0.0186951
4 1 4 0 0.0012824
4 1 4 1 0.0472085
4 1 4 2 -0.0000000
4 1 4 3 0.0101038
4 1 4 4 0.0049814
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0008105
4 2 2 1 -0.0584320
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0533636
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0581416
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.2146871
4 3 1 0 0.0071625
4 3 1 1 0.0764838
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0135672
4 3 3 0 0.0030447
4 3 3 1 0.0455625
4 3 3 2 0.0000000
4 3 3 3 -0.0215934
4 3 4 0 -0.0086622
4 3 4 1 0.0101038
4 3 4 2 0.0000000
4 3 4 3 0.1441046
4 3 4 4 -0.0767079
4 4 0 0 0.7043817
4 4 1 0 -0.0065463
4 4 1 1 0.4565696
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4647273
4 4 3 0 0.0010700
4 4 3 1 -0.0081101
4 4 3 2 0.0000000
4 4 3 3 0.5030486
4 4 4 0 0.0034663
4 4 4 1 0.0049814
4 4 4 2 0.0000000
4 4 4 3 -0.0767079
4 4 4 4 0.5448049
5 0 0 0 -0.0000000
5 0 1 0 0.0000000
5 0 1 1 0.0000000
5 0 2 0 0.0128814
5 0 2 1 0.0134570
5 0 2 2 0.0000000
5 0 3 0 -0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0167071
5 0 3 3 -0.0000000
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 -0.0021900
5 0 4 3 0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0261263
5 0 5 1 0.0021310
5 0 5 2 -0.0000000
5 0 5 3 -0.0092585
5 0 5 4 0.0137732
5 0 5 5 0.0000000
5 1 0 0 0.0000000
5 1 1 0 -0.0000000
5 1 1 1 -0.0000000
5 1 2 0 0.0019790
5 1 2 1 -0.0316058
5 1 2 2 -0.0000000
5 1 3 0 0.0000000
5 1 3 1 -0.0000000
5 1 3 2 0.0302694
5 1 3 3 0.0000000
5 1 4 0 -0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0316686
5 1 4 3 -0.0000000
5 1 4 4 0.0000000
5 1 5 0 0.0021310
5 1 5 1 0.0274268
5 1 5 2 0.0000000
5 1 5 3 -0.0263886
5 1 5 4 -0.0253981
5 1 5 5 0.0000000
5 2 0 0 0.2284325
5 2 1 0 -0.0052434
5 2 1 1 -0.0175446
5 2 2 0 0.0000000
5 2 2 1 -0.0000000
5 2 2 2 0.0057366
5 2 3 0 0.0042336
5 2 3 1 -0.0014620
5 2 3 2 0.0000000
5 2 3 3 0.0286743
5 2 4 0 -0.0038107
5 2 4 1 0.0108671
5 2 4 2 0.0000000
5 2 4 3 -0.0883672
5 2 4 4 0.0554324
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1088558
5 2 5 3 0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0753906
5 3 0 0 0.0000000
5 3 1 0 -0.0000000
5 3 1 1 0.0000000
5 3 2 0 -0.0056907
5 3 2 1 0.0230858
5 3 2 2 0.0000000
5 3 3 0 0.0000000
5 3 3 1 0.0000000
5 3 3 2 -0.0137236
5 3 3 3 -0.0000000
5 3 4 0 -0.0000000
5 3 4 1 0.0000000
5 3 4 2 -0.0391673
5 3 4 3 -0.0000000
5 3 4 4 -0.0000000
5 3 5 0 -0.0092585
5 3 5 1 -0.0263886
5 3 5 2 0.0000000
5 3 5 3 0.0428484
5 3 5 4 0.0042708
5 3 5 5 0.0000000
5 4 0 0 0.0000000
5 4 1 0 0.0000000
5 4 1 1 0.0000000
5 4 2 0 0.0067426
5 4 2 1 0.0546725
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 0.0000000
5 4 3 2 -0.0691046
5 4 3 3 -0.0000000
5 4 4 0 0.0000000
5 4 4 1 0.0000000
5 4 4 2 -0.0305514
5 4 4 3 -0.0000000
5 4 4 4 -0.0000000
5 4 5 0 0.0137732
5 4 5 1 -0.0253981
5 4 5 2 -0.0000000
5 4 5 3 0.0042708
5 4 5 4 0.0627810
5 4 5 5 0.0000000
5 5 0 0 0.7919946
5 5 1 0 -0.0083761
5 5 1 1 0.4513118
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5183810
5 5 3 0 0.0111003
5 5 3 1 -0.0406562
5 5 3 2 -0.0000000
5 5 3 3 0.4863714
5 5 4 0 -0.0099412
5 5 4 1 -0.0285771
5 5 4 2 -0.0000000
5 5 4 3 -0.0556123
5 5 4 4 0.5169470
5 5 5 0 0.0000000
5 5 5 1 0.0000000
5 5 5 2 0.0753906
5 5 5 3 0.0000000
5 5 5 4 0.0000000
5 5 5 5 0.5921144
6 0 0 0 -0.3999985
6 0 1 0 0.0331517
6 0 1 1 0.0134046
6 0 2 0 -0.0000000
6 0 2 1 -0.0000000
6 0 2 2 0.0014614
6 0 3 0 -0.0338213
6 0 3 1 0.0049000
6 0 3 2 0.0000000
6 0 3 3 -0.0069622
6 0 4 0 0.0228809
6 0 4 1 -0.0003946
6 0 4 2 -0.0000000
6 0 4 3 0.0234096
6 0 4 4 -0.0210193
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0151955
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0210251
6 0 6 0 0.0902431
6 0 6 1 -0.0023523
6 0 6 2 0.0000000
6 0 6 3 0.0031578
6 0 6 4 0.0000074
6 0 6 5 -0.0000000
6 0 6 6 -0.0047788
6 1 0 0 0.2285774
6 1 1 0 0.0001033
6 1 1 1 0.0248792
6 1 2 0 0.0000000
6 1 2 1 0.0000000
6 1 2 2 0.0346491
6 1 3 0 0.0074992
6 1 3 1 -0.0180847
6 1 3 2 0.0000000
6 1 3 3 0.0391355
6 1 4 0 -0.0098324
6 1 4 1 -0.0065076
6 1 4 2 0.0000000
6 1 4 3 -0.0598955
6 1 4 4 0.0529273
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0617800
6 1 5 3 0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.0663071
6 1 6 0 -0.0023523
6 1 6 1 0.0796991
6 1 6 2 -0.0000000
6 1 6 3 -0.0128356
6 1 6 4 -0.0121914
6 1 6 5 0.0000000
6 1 6 6 0.1242297
6 2 0 0 -0.0000000
6 2 1 0 0.0000000
6 2 1 1 0.0000000
6 2 2 0 0.0055787
6 2 2 1 -0.0169550
6 2 2 2 -0.0000000
6 2 3 0 -0.0000000
6 2 3 1 0.0000000
6 2 3 2 0.0195156
6 2 3 3 0.0000000
6 2 4 0 0.0000000
6 2 4 1 0.0000000
6 2 4 2 0.0247267
6 2 4 3 0.0000000
6 2 4 4 -0.0000000
6 2 5 0 0.0079542
6 2 5 1 0.0272676
6 2 5 2 -0.0000000
6 2 5 3 -0.0270867
6 2 5 4 -0.0208533
6 2 5 5 -0.0000000
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0345470
6 2 6 3 0.0000000
6 2 6 4 0.0000000
6 2 6 5 -0.0052981
6 2 6 6 -0.0000000
6 3 0 0 -0.0729834
6 3 1 0 0.0001234
6 3 1 1 -0.0263156
6 3 2 0 0.0000000
6 3 2 1 0.0000000
6 3 2 2 0.0031600
6 3 3 0 0.0014606
6 3 3 1 -0.0126565
6 3 3 2 0.0000000
6 3 3 3 -0.0276290
6 3 4 0 -0.0005625
6 3 4 1 -0.0298741
6 3 4 2 0.0000000
6 3 4 3 0.0123260
6 3 4 4 -0.0183141
6 3 5 0 0.0000000
6 3 5 1 0.0000000
6 3 5 2 -0.0225294
6 3 5 3 -0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0035379
6 3 6 0 0.0031578
6 3 6 1 -0.0128356
6 3 6 2 0.0000000
6 3 6 3 0.0361966
6 3 6 4 -0.0018515
6 3 6 5 -0.0000000
