NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.857184
ENERGIES
-10.854052
-0.852662
-0.450663
-0.237394
0.544212
0.743923
0.805355
849736.569141
965066.331445
996478.063622
1070620.530432
1118094.054708

OEI
-18.384034	
0.208587	-4.511188	
-0.000000	0.000000	-4.092582	
-0.193628	0.131356	0.000000	-4.160367	
-0.135705	0.199978	0.000000	-0.441076	-3.095993	
0.242501	-0.894343	0.000000	-0.165500	0.042855	-3.850378	
-0.000000	-0.000000	-0.763280	0.000000	0.000000	-0.000000	-3.456510	
0.115245	0.051730	-0.000000	-0.040827	-0.000564	-0.019187	-0.000000	849732.987535	
-0.000000	0.000000	-0.125044	-0.000000	0.000000	-0.000000	0.018489	-0.000000	965063.451777	
0.004907	0.021882	0.000000	0.001033	0.004375	0.014003	0.000000	-0.001101	-0.000000	996474.794837	
-0.037597	-0.200232	-0.000000	-0.073616	0.126953	0.119202	0.000000	0.140256	0.000000	-0.140450	1070617.972318	
0.111976	0.074038	-0.000000	-0.129596	-0.002324	-0.003119	-0.000000	-0.808458	-0.000000	-0.038620	0.313238	1118090.375142	

ENV_OEI
-4.910944	
0.392904	-0.563919	
-0.000000	-0.000000	-0.376800	
-0.376443	-0.122251	-0.000000	-0.577363	
-0.272422	0.321457	0.000000	0.214073	-0.745414	
0.496742	-0.006655	0.000000	0.247046	-0.326502	-0.816155	
-0.000000	0.000000	-0.100897	0.000000	-0.000000	-0.000000	-0.412558	
0.223967	0.009551	-0.000000	-0.052426	0.034781	-0.030935	-0.000000	-0.704231	
0.000000	0.000000	0.157616	-0.000000	0.000000	0.000000	-0.153846	-0.000000	-0.845956	
-0.015208	0.314139	0.000000	0.719415	-1.399256	-0.801138	-0.000000	-0.127939	0.000000	-18.733863	
-0.055115	0.058423	0.000000	0.014929	-0.043081	-0.072687	-0.000000	-0.223150	0.000000	-1.683856	-0.909058	
0.212963	-0.008386	0.000000	0.033850	-0.029109	-0.039306	-0.000000	0.143336	0.000000	-0.178840	0.089478	-0.527950	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.996633	-0.016453	0.006544	0.006544	-0.001355	0.006672	0.016640	-0.000000	0.023326	0.002280	-0.000000	-0.003206	
0.138427	-0.309734	-0.263421	-0.263421	0.032653	0.017471	0.304341	0.000000	0.218599	-0.357802	-0.000000	-0.063620	
-0.000000	0.000000	-0.456785	0.456785	0.000000	-0.000000	0.000000	0.596970	-0.000000	-0.000000	-0.344429	0.000000	
-0.131995	0.527637	0.151585	0.151585	0.064081	-0.282729	0.491122	-0.000000	-0.504399	-0.412892	0.000000	0.099622	
-0.093646	0.573808	-0.847017	-0.847017	-0.121761	0.736346	0.194533	-0.000000	-0.294969	0.664690	-0.000000	-0.038489	
0.175506	-1.074840	0.502408	0.502408	-0.071549	0.442984	1.015231	-0.000000	0.050690	0.668037	-0.000000	0.043512	
-0.000000	0.000000	0.941957	-0.941957	-0.000000	0.000000	0.000000	1.093199	-0.000000	0.000000	0.323433	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049398	-0.203229	0.000000	-0.573902	-0.025821	-0.000000	0.799278	
-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216380	-0.001362	-0.000000	-0.003845	-0.105483	0.000000	-0.019655	
-0.018948	0.087232	0.000000	0.000000	-0.019716	-0.850777	0.045686	-0.000000	0.129014	0.446528	0.000000	0.196306	
0.081637	-0.375835	0.000000	0.000000	0.011611	-0.229178	-0.196837	0.000000	-0.555851	0.120151	0.000000	-0.583417	

ERI
0 0 0 0 3.5234518
1 0 0 0 -0.1846147
1 0 1 0 0.0191566
1 0 1 1 0.0057649
1 1 0 0 0.6333040
1 1 1 0 0.0057649
1 1 1 1 0.5902845
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0089776
2 0 2 1 0.0104462
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0104462
2 1 2 1 0.1024149
2 1 2 2 -0.0000000
2 2 0 0 0.6431021
2 2 1 0 -0.0005372
2 2 1 1 0.5070016
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5361390
3 0 0 0 0.1724056
3 0 1 0 -0.0131404
3 0 1 1 0.0079238
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0036877
3 0 3 0 0.0245367
3 0 3 1 0.0072532
3 0 3 2 -0.0000000
3 0 3 3 -0.0083307
3 1 0 0 -0.0627306
3 1 1 0 0.0010440
3 1 1 1 0.0212356
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0232504
3 1 3 0 0.0072532
3 1 3 1 0.0632894
3 1 3 2 0.0000000
3 1 3 3 -0.0381887
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0074439
3 2 2 1 -0.0433769
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0397353
3 2 3 3 0.0000000
3 3 0 0 0.7561638
3 3 1 0 -0.0055978
3 3 1 1 0.4862218
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4789089
3 3 3 0 -0.0083307
3 3 3 1 -0.0381887
3 3 3 2 0.0000000
3 3 3 3 0.6097172
4 0 0 0 0.1231966
4 0 1 0 -0.0102126
4 0 1 1 0.0032613
4 0 2 0 0.0000000
4 0 2 1 -0.0000000
4 0 2 2 0.0024075
4 0 3 0 0.0148365
4 0 3 1 0.0028883
4 0 3 2 0.0000000
4 0 3 3 -0.0029024
4 0 4 0 0.0094368
4 0 4 1 -0.0000275
4 0 4 2 -0.0000000
4 0 4 3 -0.0028230
4 0 4 4 0.0000188
4 1 0 0 -0.0571967
4 1 1 0 -0.0007152
4 1 1 1 -0.0352261
4 1 2 0 -0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0230126
4 1 3 0 -0.0000396
4 1 3 1 -0.0250096
4 1 3 2 -0.0000000
4 1 3 3 -0.0463273
4 1 4 0 -0.0000275
4 1 4 1 0.0673749
4 1 4 2 0.0000000
4 1 4 3 0.0109919
4 1 4 4 -0.0127053
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0014805
4 2 2 1 0.0732527
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0208836
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0796985
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1662801
4 3 1 0 -0.0055432
4 3 1 1 -0.0279733
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0199507
4 3 3 0 -0.0078025
4 3 3 1 -0.0592516
4 3 3 2 0.0000000
4 3 3 3 0.0936995
4 3 4 0 -0.0028230
4 3 4 1 0.0109919
4 3 4 2 -0.0000000
4 3 4 3 0.1002374
4 3 4 4 -0.0341214
4 4 0 0 0.5110821
4 4 1 0 0.0010086
4 4 1 1 0.5109145
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4709430
4 4 3 0 0.0001949
4 4 3 1 0.0191313
4 4 3 2 -0.0000000
4 4 3 3 0.4554222
4 4 4 0 0.0000188
4 4 4 1 -0.0127053
4 4 4 2 0.0000000
4 4 4 3 -0.0341214
4 4 4 4 0.5136687
5 0 0 0 -0.2307910
5 0 1 0 0.0264649
5 0 1 1 0.0120885
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0008961
5 0 3 0 -0.0091557
5 0 3 1 0.0060874
5 0 3 2 -0.0000000
5 0 3 3 -0.0145799
5 0 4 0 -0.0096261
5 0 4 1 -0.0005476
5 0 4 2 -0.0000000
5 0 4 3 -0.0134554
5 0 4 4 0.0011546
5 0 5 0 0.0420546
5 0 5 1 0.0044473
5 0 5 2 -0.0000000
5 0 5 3 -0.0038341
5 0 5 4 -0.0024398
5 0 5 5 0.0103658
5 1 0 0 0.2681996
5 1 1 0 0.0005728
5 1 1 1 0.0697373
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0659386
5 1 3 0 0.0078507
5 1 3 1 -0.0276815
5 1 3 2 0.0000000
5 1 3 3 0.0869598
5 1 4 0 0.0039666
5 1 4 1 -0.0094432
5 1 4 2 0.0000000
5 1 4 3 0.0538998
5 1 4 4 0.0005289
5 1 5 0 0.0044473
5 1 5 1 0.1060830
5 1 5 2 -0.0000000
5 1 5 3 0.0283396
5 1 5 4 -0.0195090
5 1 5 5 0.1023577
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0055226
5 2 2 1 -0.0019971
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0012301
5 2 3 3 -0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 -0.0213112
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0270935
5 2 5 3 0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0000000
5 3 0 0 0.0646805
5 3 1 0 -0.0037035
5 3 1 1 -0.0229428
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 0.0128333
5 3 3 0 0.0027076
5 3 3 1 -0.0074263
5 3 3 2 -0.0000000
5 3 3 3 0.0201922
5 3 4 0 0.0013921
5 3 4 1 0.0249478
5 3 4 2 0.0000000
5 3 4 3 0.0374933
5 3 4 4 -0.0232438
5 3 5 0 -0.0038341
5 3 5 1 0.0283396
5 3 5 2 0.0000000
5 3 5 3 0.0479870
5 3 5 4 -0.0123365
5 3 5 5 0.0009454
5 4 0 0 -0.0127436
5 4 1 0 -0.0015646
5 4 1 1 -0.0011066
5 4 2 0 -0.0000000
5 4 2 1 0.0000000
5 4 2 2 -0.0267912
5 4 3 0 -0.0003205
5 4 3 1 0.0347091
5 4 3 2 0.0000000
5 4 3 3 0.0176260
5 4 4 0 0.0000316
5 4 4 1 -0.0453422
5 4 4 2 -0.0000000
5 4 4 3 -0.0198014
5 4 4 4 0.0049135
5 4 5 0 -0.0024398
5 4 5 1 -0.0195090
5 4 5 2 -0.0000000
5 4 5 3 -0.0123365
5 4 5 4 0.0543012
5 4 5 5 0.0122339
5 5 0 0 0.8110053
5 5 1 0 0.0006551
5 5 1 1 0.5787912
5 5 2 0 0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5070876
5 5 3 0 0.0184046
5 5 3 1 0.0277805
5 5 3 2 0.0000000
5 5 3 3 0.5121293
5 5 4 0 0.0090496
5 5 4 1 -0.0450671
5 5 4 2 -0.0000000
5 5 4 3 -0.0068068
5 5 4 4 0.4970306
5 5 5 0 0.0103658
5 5 5 1 0.1023577
5 5 5 2 -0.0000000
5 5 5 3 0.0009454
5 5 5 4 0.0122339
5 5 5 5 0.6285550
6 0 0 0 0.0000000
6 0 1 0 0.0000000
6 0 1 1 0.0000000
6 0 2 0 0.0131429
6 0 2 1 0.0137129
6 0 2 2 -0.0000000
6 0 3 0 -0.0000000
6 0 3 1 -0.0000000
6 0 3 2 -0.0102162
6 0 3 3 0.0000000
6 0 4 0 -0.0000000
6 0 4 1 -0.0000000
6 0 4 2 0.0018629
6 0 4 3 -0.0000000
6 0 4 4 0.0000000
6 0 5 0 0.0000000
6 0 5 1 0.0000000
6 0 5 2 0.0070857
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0193532
6 0 6 1 0.0048104
6 0 6 2 -0.0000000
6 0 6 3 -0.0099118
6 0 6 4 -0.0094339
6 0 6 5 0.0106011
6 0 6 6 -0.0000000
6 1 0 0 0.0000000
6 1 1 0 -0.0000000
6 1 1 1 0.0000000
6 1 2 0 0.0036320
6 1 2 1 -0.0310342
6 1 2 2 0.0000000
6 1 3 0 0.0000000
6 1 3 1 0.0000000
6 1 3 2 0.0040054
6 1 3 3 0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0471633
6 1 4 3 0.0000000
6 1 4 4 -0.0000000
6 1 5 0 0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0268603
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 0.0000000
6 1 6 0 0.0048104
6 1 6 1 0.0405411
6 1 6 2 -0.0000000
6 1 6 3 -0.0134690
6 1 6 4 0.0481282
6 1 6 5 -0.0243716
6 1 6 6 0.0000000
6 2 0 0 0.2534212
6 2 1 0 -0.0059156
6 2 1 1 0.0104672
6 2 2 0 -0.0000000
6 2 2 1 0.0000000
6 2 2 2 0.0410776
6 2 3 0 0.0014976
6 2 3 1 -0.0211385
6 2 3 2 0.0000000
6 2 3 3 0.1022427
6 2 4 0 0.0020827
6 2 4 1 -0.0324188
6 2 4 2 0.0000000
6 2 4 3 0.0662877
6 2 4 4 -0.0268128
6 2 5 0 -0.0085891
6 2 5 1 0.0727375
6 2 5 2 -0.0000000
6 2 5 3 0.0263704
6 2 5 4 0.0214419
6 2 5 5 0.0531251
6 2 6 0 -0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.1207365
6 2 6 3 0.0000000
6 2 6 4 -0.0000000
6 2 6 5 0.0000000
6 2 6 6 0.0468324
6 3 0 0 -0.0000000
6 3 1 0 -0.0000000
6 3 1 1 -0.0000000
6 3 2 0 -0.0070376
6 3 2 1 -0.0126621
6 3 2 2 0.0000000
6 3 3 0 0.0000000
6 3 3 1 -0.0000000
6 3 3 2 0.0265681
6 3 3 3 -0.0000000
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 0.0116739
6 3 4 3 0.0000000
6 3 4 4 -0.0000000
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0066086
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0000000
6 3 6 0 -0.0099118
6 3 6 1 -0.0134690
6 3 6 2 0.0000000
6 3 6 3 0.0310836
6 3 6 4 0.0084877
6 3 6 5 -0.0005848
6 3 6 6 0.0000000
6 4 0 0 -0.0000000
6 4 1 0 0.0000000
6 4 1 1 -0.0000000
6 4 2 0 -0.0067273
6 4 2 1 -0.0862237
6 4 2 2 0.0000000
6 4 3 0 0.0000000
6 4 3 1 0.0000000
6 4 3 2 0.0409222
6 4 3 3 -0.0000000
6 4 4 0 0.0000000
6 4 4 1 -0.0000000
6 4 4 2 -0.0797339
6 4 4 3 -0.0000000
6 4 4 4 -0.0000000
6 4 5 0 0.0000000
6 4 5 1 -0.0000000
6 4 5 2 0.0246538
6 4 5 3 -0.0000000
6 4 5 4 0.0000000
6 4 5 5 0.0000000
6 4 6 0 -0.0094339
6 4 6 1 0.0481282
6 4 6 2 -0.0000000
6 4 6 3 0.0084877
6 4 6 4 0.1018716
6 4 6 5 -0.0611688
6 4 6 6 0.0000000
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 0.0079073
6 5 2 1 0.0656703
6 5 2 2 -0.0000000
