NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.374915
ENERGIES
-10.806405
-0.770721
-0.345120
-0.182309
0.631110
0.831912
0.897526
849736.634986
965066.432370
996478.203115
1070621.118934
1118093.776271

OEI
-18.371161	
-0.219465	-4.451286	
0.000000	-0.000000	-3.968037	
-0.190316	-0.154425	0.000000	-4.156803	
-0.144145	-0.282354	-0.000000	-0.382870	-2.971210	
0.233405	0.879572	0.000000	-0.237050	0.141715	-3.723995	
0.000000	0.000000	-0.770912	-0.000000	-0.000000	-0.000000	-3.402024	
0.115807	-0.054073	-0.000000	-0.035827	0.004393	-0.015885	0.000000	849733.061573	
-0.000000	-0.000000	-0.130070	0.000000	0.000000	-0.000000	0.018558	-0.000000	965063.579189	
-0.004978	0.022697	0.000000	-0.002379	-0.003159	-0.013525	-0.000000	0.000995	-0.000000	996474.986666	
-0.037908	0.197649	-0.000000	-0.073639	0.120662	0.131339	0.000000	0.144698	-0.000000	0.135756	1070618.584211	
0.112580	-0.081645	0.000000	-0.125083	0.006134	-0.000332	0.000000	-0.828398	-0.000000	0.038017	0.317764	1118090.101465	

ENV_OEI
-4.898037	
-0.412620	-0.468090	
0.000000	0.000000	-0.276671	
-0.370494	0.065857	-0.000000	-0.512546	
-0.290747	-0.312682	0.000000	0.160008	-0.625401	
0.476631	0.011749	0.000000	0.231451	-0.316109	-0.782215	
0.000000	0.000000	-0.096702	0.000000	-0.000000	-0.000000	-0.333656	
0.226523	-0.021407	0.000000	-0.044544	0.048033	0.001150	-0.000000	-0.557704	
-0.000000	0.000000	0.153031	0.000000	-0.000000	0.000000	-0.140854	0.000000	-0.718544	
0.015036	0.274964	-0.000000	-0.639285	1.368655	0.923278	-0.000000	0.126689	-0.000000	-18.552067	
-0.055995	-0.048757	0.000000	0.012378	-0.041615	-0.080760	-0.000000	-0.238489	0.000000	1.671499	-0.786664	
0.215592	-0.015892	0.000000	0.040522	-0.029976	-0.020527	0.000000	0.148990	-0.000000	0.177943	0.096880	-0.374584	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

