NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.113977
ENERGIES
-10.828821
-0.484079
-0.426932
-0.232675
0.586564
0.803143
0.919871
849736.658985
965066.593069
996478.297649
1070620.713655
1118094.141434

OEI
-18.388468	
-0.272303	-4.287722	
-0.000000	-0.000000	-3.746188	
-0.102897	-0.146277	-0.000000	-4.070238	
-0.268380	-0.190408	-0.000000	-0.482098	-3.049686	
0.000000	0.000000	-0.851492	0.000000	-0.000000	-3.641424	
-0.198013	-0.799088	-0.000000	0.426191	0.097913	0.000000	-3.158124	
0.104917	-0.067584	-0.000000	-0.109140	0.459284	-0.000000	0.065002	849733.116263	
0.000000	-0.000000	0.073792	-0.000000	-0.000000	0.117890	0.000000	-0.000000	965063.924740	
0.005115	-0.021162	-0.000000	0.004677	0.002469	0.000000	-0.016989	-0.002814	-0.000000	996475.304768	
-0.035735	0.191071	0.000000	-0.042986	-0.105531	-0.000000	-0.173003	0.193709	-0.000000	-0.124664	1070618.342938	
0.101384	-0.079922	-0.000000	-0.214836	0.459824	-0.000000	0.024988	-0.961121	-0.000000	-0.034504	0.333288	1118090.481049	

ENV_OEI
-4.916676	
-0.509784	-0.603605	
-0.000000	-0.000000	-0.126355	
-0.205012	0.091223	0.000000	-0.402784	
-0.473698	-0.096921	-0.000000	-0.121934	-0.176132	
0.000000	0.000000	-0.196449	-0.000000	-0.000000	-0.338640	
-0.388240	0.143576	0.000000	-0.219554	-0.005860	-0.000000	-1.061526	
0.225086	-0.015317	-0.000000	-0.065838	0.070068	-0.000000	-0.010071	-0.561898	
-0.000000	0.000000	-0.062646	0.000000	-0.000000	-0.034748	0.000000	0.000000	-0.721487	
-0.018198	-0.473998	-0.000000	0.452717	-0.056005	0.000000	1.470585	-0.127191	0.000000	-18.547015	
-0.055573	-0.045882	-0.000000	0.011825	-0.021431	0.000000	0.083199	-0.237566	0.000000	-1.671804	-0.780007	
0.213785	-0.015350	-0.000000	0.000504	0.082167	-0.000000	0.049026	0.143660	0.000000	-0.177343	0.099924	-0.385758	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.155576	0.155576	-0.045312	-0.338874	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.219667	0.219667	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.109532	0.109532	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	0.051506	-0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	0.029737	0.029737	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.996523	-0.018358	0.008886	0.008886	-0.001626	0.008231	0.008952	-0.000000	0.018613	0.002734	0.000000	-0.003626	
-0.179546	0.558283	0.056147	0.056147	-0.045909	0.081635	-0.337622	0.000000	-0.359157	0.384421	-0.000000	0.056436	
-0.000000	0.000000	-0.525480	0.525480	-0.000000	0.000000	-0.000000	-0.446803	-0.000000	0.000000	0.128494	0.000000	
-0.073508	0.211378	0.261376	0.261376	0.041444	-0.117354	0.515351	-0.000000	-0.600829	-0.286227	-0.000000	0.084452	
-0.157662	1.043316	-0.922427	-0.922427	-0.004721	0.038333	0.511698	-0.000000	0.248199	0.009333	0.000000	0.013552	
0.000000	-0.000000	0.803623	-0.803623	0.000000	-0.000000	-0.000000	-1.169782	-0.000000	-0.000000	0.111907	-0.000000	
-0.137888	0.825540	-0.090566	-0.090566	0.129922	-0.779380	-0.857829	0.000000	0.055646	-0.959906	-0.000000	-0.003875	
0.084288	-0.388041	0.000000	0.000000	-0.012324	0.049398	-0.203229	-0.000000	-0.573902	-0.025821	-0.000000	0.799278	
0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216380	-0.001361	-0.000000	-0.003845	-0.105483	-0.000000	-0.019655	
-0.018948	0.087232	-0.000000	-0.000000	-0.019716	-0.850777	0.045686	-0.000000	0.129015	0.446528	0.000000	0.196307	
0.081636	-0.375835	0.000000	0.000000	0.011611	-0.229179	-0.196837	-0.000000	-0.555850	0.120151	0.000000	-0.583417	

ERI
0 0 0 0 3.5227385
1 0 0 0 0.2366307
1 0 1 0 0.0310257
1 0 1 1 -0.0059867
1 1 0 0 0.7289474
1 1 1 0 -0.0059867
1 1 1 1 0.6496539
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0055043
2 0 2 1 -0.0055970
