NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.113460
ENERGIES
-10.828743
-0.483960
-0.426860
-0.232590
0.586627
0.803220
0.920020
849736.659121
965066.593236
996478.297888
1070620.713812
1118094.141564

OEI
-18.388445	
-0.272323	-4.287701	
0.000000	0.000000	-3.746123	
-0.102864	-0.146239	0.000000	-4.070182	
0.268382	0.190449	-0.000000	0.482087	-3.049639	
0.000000	0.000000	0.851492	-0.000000	0.000000	-3.641383	
0.198008	0.799057	-0.000000	-0.426276	0.097898	0.000000	-3.157867	
-0.104917	0.067593	-0.000000	0.109132	0.459289	0.000000	0.065003	849733.116403	
0.000000	-0.000000	-0.073795	0.000000	-0.000000	0.117894	0.000000	0.000000	965063.924936	
0.005115	-0.021163	0.000000	0.004680	-0.002469	-0.000000	0.016988	0.002814	0.000000	996475.305066	
-0.035735	0.191062	-0.000000	-0.042999	0.105531	0.000000	0.173014	-0.193715	0.000000	-0.124659	1070618.343122	
0.101385	-0.079944	0.000000	-0.214829	-0.459828	-0.000000	-0.024984	0.961147	0.000000	-0.034503	0.333294	1118090.481178	

ENV_OEI
-4.916653	
-0.509822	-0.603460	
0.000000	0.000000	-0.126300	
-0.204947	0.091192	-0.000000	-0.402716	
0.473696	0.096936	-0.000000	0.121927	-0.176087	
0.000000	0.000000	0.196447	0.000000	0.000000	-0.338589	
0.388235	-0.143490	-0.000000	0.219502	-0.005853	-0.000000	-1.061402	
-0.225084	0.015320	-0.000000	0.065825	0.070078	-0.000000	-0.010080	-0.561758	
-0.000000	0.000000	0.062635	-0.000000	0.000000	-0.034741	0.000000	0.000000	-0.721291	
-0.018198	-0.473895	0.000000	0.452698	0.056017	-0.000000	-1.470621	0.127190	0.000000	-18.546717	
-0.055573	-0.045876	0.000000	0.011824	0.021434	-0.000000	-0.083206	0.237564	-0.000000	-1.671781	-0.779822	
