NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.035873
ENERGIES
-6.690982
-0.084874
0.072556
0.078580
1.518081
1.533012
1.645350
1000001.289460

OEI
-13.287301	
-0.232074	-3.234036	
0.000000	-0.000000	-3.027656	
0.003479	0.000562	0.000000	-3.011026	
0.000000	0.000000	0.550703	-0.000000	-2.790573	
-0.008471	-0.016909	-0.000000	-0.538901	0.000000	-2.791764	
0.495139	0.715031	-0.000000	-0.018551	-0.000000	0.004902	-2.815375	
-0.152325	0.120721	-0.000000	-0.001677	0.000000	0.000314	-0.032264	999997.170553	

ENV_OEI
0.336564	
-0.117914	0.528878	
0.000000	-0.000000	0.531053	
0.001817	-0.003819	-0.000000	0.529499	
0.000000	-0.000000	-0.170499	0.000000	0.770437	
-0.004339	0.005313	0.000000	0.181747	0.000000	0.787532	
0.277119	-0.155338	0.000000	0.002508	-0.000000	0.004757	0.660189	
-0.118765	-0.040090	0.000000	0.003531	0.000000	-0.001426	0.039895	0.691083	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.974315	-0.111770	0.033893	0.033950	0.033893	0.071745	-0.000000	-0.000049	
-0.142773	0.080006	0.428285	0.440302	0.428285	-0.236533	0.000000	0.002375	
0.000000	-0.000000	0.606140	0.000000	-0.606140	0.000000	0.314178	0.000000	
0.002092	-0.003525	-0.358686	0.707341	-0.358686	0.003562	-0.000000	0.298985	
0.000000	-0.000000	0.744342	0.000000	-0.744342	0.000000	-1.197853	0.000000	
-0.005533	0.024679	0.414488	-0.861151	0.414488	-0.010029	0.000000	1.201575	
0.323708	-1.476176	0.667081	0.643856	0.667081	0.592166	0.000000	0.019507	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.3965016
1 0 0 0 0.2199230
1 0 1 0 0.0233716
1 0 1 1 -0.0021014
1 1 0 0 0.5611596
1 1 1 0 -0.0021014
1 1 1 1 0.4796718
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0042882
2 0 2 1 -0.0075861
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0075861
2 1 2 1 0.1381680
2 1 2 2 -0.0000000
2 2 0 0 0.5299226
2 2 1 0 -0.0000952
2 2 1 1 0.4611528
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5280120
3 0 0 0 -0.0032105
3 0 1 0 -0.0003030
3 0 1 1 -0.0001270
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0030241
3 0 3 0 0.0040218
3 0 3 1 -0.0073523
3 0 3 2 -0.0000000
3 0 3 3 -0.0028840
3 1 0 0 -0.0009826
3 1 1 0 -0.0000520
3 1 1 1 0.0027441
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0897558
3 1 3 0 -0.0073523
3 1 3 1 0.1427261
3 1 3 2 0.0000000
3 1 3 3 0.0880252
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0032369
3 2 2 1 -0.0899158
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0668917
3 2 3 3 -0.0000000
3 3 0 0 0.5248316
3 3 1 0 -0.0002700
3 3 1 1 0.4645643
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.3997768
3 3 3 0 -0.0028840
3 3 3 1 0.0880252
3 3 3 2 -0.0000000
3 3 3 3 0.5251980
4 0 0 0 -0.0000000
4 0 1 0 -0.0000000
4 0 1 1 -0.0000000
4 0 2 0 -0.0108534
4 0 2 1 0.0184894
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 -0.0000000
4 0 3 2 -0.0085432
4 0 3 3 0.0000000
4 0 4 0 0.0285130
4 0 4 1 -0.0086847
4 0 4 2 -0.0000000
4 0 4 3 -0.0044312
4 0 4 4 0.0000000
4 1 0 0 -0.0000000
4 1 1 0 -0.0000000
4 1 1 1 -0.0000000
4 1 2 0 0.0047107
4 1 2 1 0.0278482
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0302182
4 1 3 3 0.0000000
4 1 4 0 -0.0086847
4 1 4 1 0.0379737
4 1 4 2 0.0000000
4 1 4 3 -0.0142828
4 1 4 4 -0.0000000
4 2 0 0 -0.2038274
4 2 1 0 -0.0050541
4 2 1 1 -0.0164593
4 2 2 0 0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0121210
4 2 3 0 0.0012064
4 2 3 1 -0.0481255
