NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.983837
ENERGIES
-11.169716
-0.891129
-0.683499
-0.642168
0.549658
0.579647
0.633531
1000000.370739

OEI
-18.620556	
0.261016	-4.595864	
-0.000000	0.000000	-4.295765	
0.007605	-0.017715	0.000000	-4.233197	
-0.000000	0.000000	-0.814593	0.000000	-3.615901	
0.037023	-0.117907	0.000000	0.803840	-0.000000	-3.615061	
-0.307359	0.927934	-0.000000	0.109573	0.000000	0.013141	-3.528607	
-0.160464	-0.150364	0.000000	-0.002435	-0.000000	-0.001998	0.000564	999995.908252	

ENV_OEI
-5.008415	
0.504163	-0.412153	
-0.000000	0.000000	-0.375403	
0.015580	-0.000271	-0.000000	-0.331083	
-0.000000	0.000000	-0.189955	0.000000	-0.416544	
0.076030	-0.021871	0.000000	0.173600	0.000000	-0.396141	
-0.641777	0.247997	0.000000	0.034264	-0.000000	0.018235	-0.463332	
-0.304724	0.021643	0.000000	0.000020	-0.000000	-0.004056	-0.046880	-0.571218	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996696	0.016761	-0.006497	-0.006479	-0.006497	-0.027024	0.000000	-0.000012	
-0.175471	0.463825	0.253900	0.227522	0.253900	-0.384560	0.000000	-0.002604	
0.000000	-0.000000	0.392207	-0.000000	-0.392207	0.000000	0.614272	-0.000000	
-0.005589	0.022604	-0.236215	0.465197	-0.236215	-0.012453	0.000000	0.598241	
0.000000	-0.000000	-0.876142	0.000000	0.876142	0.000000	1.075281	-0.000000	
-0.026182	0.159031	-0.579709	0.917563	-0.579709	-0.059729	-0.000000	-1.078294	
0.222680	-1.399070	0.688231	0.861012	0.688231	0.509441	-0.000000	-0.113767	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5238961
1 0 0 0 -0.2320039
1 0 1 0 0.0280293
1 0 1 1 0.0030286
1 1 0 0 0.6874239
1 1 1 0 0.0030286
1 1 1 1 0.5644551
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0093555
2 0 2 1 0.0123903
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0123903
2 1 2 1 0.1148766
2 1 2 2 -0.0000000
2 2 0 0 0.6532826
2 2 1 0 -0.0019979
2 2 1 1 0.5076314
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5430104
3 0 0 0 -0.0073553
3 0 1 0 0.0008208
3 0 1 1 -0.0002846
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0027670
3 0 3 0 0.0089922
3 0 3 1 0.0119005
3 0 3 2 -0.0000000
3 0 3 3 0.0032988
3 1 0 0 0.0056122
3 1 1 0 -0.0000612
3 1 1 1 -0.0018303
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0450891
3 1 3 0 0.0119005
3 1 3 1 0.1098117
3 1 3 2 -0.0000000
3 1 3 3 0.0527659
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0024929
3 2 2 1 -0.0465542
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0408089
3 2 3 3 -0.0000000
3 3 0 0 0.6459541
3 3 1 0 -0.0018773
3 3 1 1 0.5014435
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4562343
3 3 3 0 0.0032988
3 3 3 1 0.0527659
3 3 3 2 -0.0000000
3 3 3 3 0.5433782
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0132302
4 0 2 1 0.0159859
4 0 2 2 -0.0000000
4 0 3 0 -0.0000000
4 0 3 1 -0.0000000
4 0 3 2 -0.0029331
4 0 3 3 -0.0000000
4 0 4 0 0.0188098
4 0 4 1 0.0081988
4 0 4 2 -0.0000000
4 0 4 3 0.0044055
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 0.0061999
4 1 2 1 -0.0136376
4 1 2 2 -0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0271867
4 1 3 3 0.0000000
4 1 4 0 0.0081988
4 1 4 1 0.0445917
4 1 4 2 -0.0000000
4 1 4 3 -0.0159906
4 1 4 4 -0.0000000
4 2 0 0 0.2537567
4 2 1 0 -0.0059623
4 2 1 1 0.0501027
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 0.0438969
4 2 3 0 0.0026194
4 2 3 1 0.0482141
4 2 3 2 -0.0000000
4 2 3 3 0.0736911
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1216483
4 2 4 3 0.0000000
4 2 4 4 0.0440079
4 3 0 0 -0.0000000
4 3 1 0 0.0000000
4 3 1 1 0.0000000
4 3 2 0 0.0030958
4 3 2 1 0.0490951
4 3 2 2 -0.0000000
4 3 3 0 -0.0000000
4 3 3 1 0.0000000
4 3 3 2 -0.0151876
4 3 3 3 0.0000000
4 3 4 0 0.0044055
4 3 4 1 -0.0159906
4 3 4 2 0.0000000
4 3 4 3 0.0365671
4 3 4 4 -0.0000000
4 4 0 0 0.7106630
4 4 1 0 -0.0063059
4 4 1 1 0.4948885
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5305395
4 4 3 0 -0.0000147
4 4 3 1 -0.0340368
