NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.995063
ENERGIES
-11.036554
-0.804920
-0.588905
-0.552417
0.646543
0.674641
0.717475
1000000.494872

OEI
-18.432685	
0.255550	-4.473838	
-0.000000	-0.000000	-4.149717	
-0.005960	0.015221	0.000000	-4.090979	
0.000000	-0.000000	-0.799214	-0.000000	-3.545375	
0.031264	-0.096431	0.000000	-0.789228	-0.000000	-3.547192	
0.309635	-0.919811	0.000000	0.089697	0.000000	-0.008945	-3.457990	
0.159803	0.149479	-0.000000	-0.001704	0.000000	0.002053	0.003208	999996.058180	

ENV_OEI
-4.820301	
0.492645	-0.307699	
-0.000000	-0.000000	-0.260081	
-0.012033	0.000542	0.000000	-0.221725	
0.000000	-0.000000	-0.157823	-0.000000	-0.315291	
0.064447	-0.015230	0.000000	-0.141056	-0.000000	-0.295915	
0.645660	-0.224021	0.000000	0.025058	-0.000000	-0.014389	-0.374881	
0.308318	-0.017677	-0.000000	0.000083	-0.000000	0.005353	-0.039164	-0.421290	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996612	-0.017154	0.006596	0.006605	0.006596	0.027212	-0.000000	-0.000029	
0.172831	-0.445956	-0.261840	-0.240211	-0.261840	0.378048	-0.000000	0.000741	
-0.000000	0.000000	-0.413350	0.000000	0.413350	-0.000000	-0.588002	0.000000	
-0.004423	0.018010	-0.248716	0.490895	-0.248716	-0.009808	0.000000	0.570512	
0.000000	-0.000000	0.866368	0.000000	-0.866368	0.000000	-1.089869	0.000000	
0.022249	-0.134432	0.561534	-0.920385	0.561534	0.050748	0.000000	1.094792	
0.225555	-1.407496	0.695879	0.840029	0.695879	0.515303	0.000000	-0.097500	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5234563
1 0 0 0 -0.2287904
1 0 1 0 0.0272387
1 0 1 1 0.0030084
1 1 0 0 0.6804881
1 1 1 0 0.0030084
1 1 1 1 0.5590255
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0087265
2 0 2 1 0.0117810
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0117810
2 1 2 1 0.1156180
2 1 2 2 -0.0000000
2 2 0 0 0.6410043
2 2 1 0 -0.0017077
2 2 1 1 0.5031263
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5390230
3 0 0 0 0.0058481
3 0 1 0 -0.0006598
3 0 1 1 0.0001927
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0027967
3 0 3 0 0.0083313
3 0 3 1 0.0113025
3 0 3 2 -0.0000000
3 0 3 3 -0.0032150
3 1 0 0 -0.0047254
3 1 1 0 0.0000334
3 1 1 1 0.0014055
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0488604
3 1 3 0 0.0113025
3 1 3 1 0.1115290
3 1 3 2 -0.0000000
3 1 3 3 -0.0552340
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0026276
3 2 2 1 0.0502391
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0426841
3 2 3 3 0.0000000
3 3 0 0 0.6330919
3 3 1 0 -0.0015572
3 3 1 1 0.4976969
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4493628
3 3 3 0 -0.0032150
3 3 3 1 -0.0552340
3 3 3 2 0.0000000
3 3 3 3 0.5389270
4 0 0 0 -0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0129941
4 0 2 1 0.0159761
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0032936
4 0 3 3 -0.0000000
4 0 4 0 0.0194570
4 0 4 1 0.0085485
4 0 4 2 -0.0000000
4 0 4 3 -0.0043247
4 0 4 4 0.0000000
4 1 0 0 0.0000000
4 1 1 0 -0.0000000
4 1 1 1 0.0000000
4 1 2 0 0.0061564
4 1 2 1 -0.0133889
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0272547
4 1 3 3 0.0000000
4 1 4 0 0.0085485
4 1 4 1 0.0443264
4 1 4 2 0.0000000
4 1 4 3 0.0156019
4 1 4 4 -0.0000000
4 2 0 0 0.2520612
4 2 1 0 -0.0057834
4 2 1 1 0.0489848
4 2 2 0 0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0382531
4 2 3 0 -0.0024858
4 2 3 1 -0.0485093
4 2 3 2 -0.0000000
