NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.459613
ENERGIES
-11.099784
-0.846632
-0.635271
-0.595698
0.599252
0.628800
0.676862
1000000.434607

OEI
-18.518762	
-0.257927	-4.530858	
0.000000	-0.000000	-4.218942	
-0.007087	-0.016883	0.000000	-4.157693	
-0.000000	-0.000000	-0.806344	0.000000	-3.580274	
-0.036087	-0.113356	0.000000	0.795271	-0.000000	-3.580367	
-0.308443	-0.922715	0.000000	-0.105409	0.000000	-0.011013	-3.492464	
0.160062	-0.149836	0.000000	-0.002214	0.000000	-0.002085	-0.002024	999995.987024	

ENV_OEI
-4.906481	
-0.497645	-0.357064	
0.000000	-0.000000	-0.315171	
-0.014397	-0.000262	0.000000	-0.273201	
-0.000000	-0.000000	-0.172420	0.000000	-0.364325	
-0.074270	-0.019624	0.000000	0.155690	-0.000000	-0.344074	
-0.643488	-0.234515	0.000000	-0.030797	-0.000000	-0.017091	-0.417161	
0.306763	0.019823	0.000000	0.000017	0.000000	-0.004603	0.042814	-0.492446	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996648	-0.016987	0.006555	0.006551	0.006555	0.027132	-0.000000	-0.000009	
-0.173980	0.453727	0.258808	0.233848	0.258808	-0.380880	0.000000	-0.002023	
0.000000	-0.000000	0.403722	0.000000	-0.403722	0.000000	0.600044	0.000000	
-0.005218	0.021010	-0.242888	0.479205	-0.242888	-0.011596	-0.000000	0.583296	
-0.000000	0.000000	-0.870896	-0.000000	0.870896	-0.000000	1.083285	-0.000000	
-0.025636	0.155433	-0.574580	0.913445	-0.574580	-0.058476	-0.000000	-1.086603	
-0.224133	1.402802	-0.688381	-0.855999	-0.688381	-0.512357	-0.000000	0.112316	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5236439
1 0 0 0 0.2301896
1 0 1 0 0.0275816
1 0 1 1 -0.0030178
1 1 0 0 0.6834967
1 1 1 0 -0.0030178
1 1 1 1 0.5613848
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0090126
2 0 2 1 -0.0120610
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0120610
2 1 2 1 0.1154213
2 1 2 2 -0.0000000
2 2 0 0 0.6466020
2 2 1 0 0.0018360
2 2 1 1 0.5052568
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5407763
3 0 0 0 0.0068827
3 0 1 0 0.0007671
3 0 1 1 0.0002536
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0027876
3 0 3 0 0.0086354
3 0 3 1 -0.0115707
3 0 3 2 0.0000000
3 0 3 3 -0.0032813
3 1 0 0 0.0053129
3 1 1 0 0.0000520
3 1 1 1 -0.0017563
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0470451
3 1 3 0 -0.0115707
3 1 3 1 0.1105951
3 1 3 2 0.0000000
3 1 3 3 0.0543182
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0025530
3 2 2 1 -0.0484819
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0417039
3 2 3 3 -0.0000000
3 3 0 0 0.6390006
3 3 1 0 0.0017054
3 3 1 1 0.4992165
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4523776
3 3 3 0 -0.0032813
3 3 3 1 0.0543182
3 3 3 2 -0.0000000
3 3 3 3 0.5411232
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 -0.0000000
4 0 2 0 0.0131061
4 0 2 1 -0.0159865
4 0 2 2 0.0000000
4 0 3 0 -0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0031082
4 0 3 3 0.0000000
4 0 4 0 0.0191631
4 0 4 1 -0.0083805
4 0 4 2 0.0000000
4 0 4 3 -0.0043789
4 0 4 4 -0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 0.0000000
4 1 2 0 -0.0061726
4 1 2 1 -0.0136434
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0272696
4 1 3 3 0.0000000
4 1 4 0 -0.0083805
4 1 4 1 0.0445172
4 1 4 2 0.0000000
4 1 4 3 -0.0157964
4 1 4 4 0.0000000
4 2 0 0 0.2529093
4 2 1 0 0.0058674
4 2 1 1 0.0493534
4 2 2 0 -0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0408403
4 2 3 0 -0.0025391
4 2 3 1 0.0483994
4 2 3 2 0.0000000
4 2 3 3 0.0720902
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1215659
4 2 4 3 -0.0000000
4 2 4 4 0.0469809
4 3 0 0 -0.0000000
4 3 1 0 -0.0000000
4 3 1 1 0.0000000
4 3 2 0 -0.0029874
4 3 2 1 0.0492487
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 -0.0000000
4 3 3 2 -0.0160994
4 3 3 3 -0.0000000
4 3 4 0 -0.0043789
4 3 4 1 -0.0157964
4 3 4 2 -0.0000000
4 3 4 3 0.0365356
4 3 4 4 0.0000000
4 4 0 0 0.7173391
4 4 1 0 0.0064273
4 4 1 1 0.4952206
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5304571
4 4 3 0 -0.0000567
4 4 3 1 -0.0335737
4 4 3 2 -0.0000000
4 4 3 3 0.4573585
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 0.0469809
4 4 4 3 0.0000000
4 4 4 4 0.5494296
5 0 0 0 0.0334751
5 0 1 0 0.0040729
5 0 1 1 -0.0006671
5 0 2 0 -0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0031492
5 0 3 0 -0.0127571
5 0 3 1 0.0157547
5 0 3 2 -0.0000000
5 0 3 3 0.0045244
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0048741
5 0 4 3 0.0000000
5 0 4 4 0.0015218
5 0 5 0 0.0199418
5 0 5 1 -0.0087510
5 0 5 2 -0.0000000
5 0 5 3 0.0038841
5 0 5 4 -0.0000000
5 0 5 5 -0.0036229
5 1 0 0 0.0341871
5 1 1 0 0.0000653
5 1 1 1 0.0118386
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0169238
5 1 3 0 0.0062964
5 1 3 1 0.0093359
5 1 3 2 -0.0000000
5 1 3 3 0.0325152
5 1 4 0 0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0228601
5 1 4 3 -0.0000000
5 1 4 4 -0.0234229
5 1 5 0 -0.0087510
5 1 5 1 0.0433449
5 1 5 2 -0.0000000
5 1 5 3 0.0003883
5 1 5 4 -0.0000000
5 1 5 5 0.0349761
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0019946
5 2 2 1 -0.0487631
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0176611
5 2 3 3 -0.0000000
5 2 4 0 0.0030565
5 2 4 1 0.0200946
5 2 4 2 -0.0000000
5 2 4 3 -0.0346787
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0397206
5 2 5 3 0.0000000
5 2 5 4 -0.0227027
5 2 5 5 -0.0000000
5 3 0 0 -0.2495480
5 3 1 0 -0.0057241
5 3 1 1 -0.0526302
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0689678
