NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-20.939638
ENERGIES
-6.469568
-0.101776
0.242977
0.505602
1.215488
1.668736
1.787359
849737.159751
965066.822864
996478.652526
1070620.970604
1118094.604900

OEI
-13.279093	
0.184699	-3.442108	
-0.000000	0.000000	-3.073190	
-0.240682	0.005990	-0.000000	-2.999258	
0.256821	-0.104655	-0.000000	0.393239	-2.669567	
-0.000000	0.000000	0.518650	0.000000	0.000000	-2.686991	
-0.388898	0.651402	-0.000000	-0.017650	-0.001467	-0.000000	-3.033071	
-0.108501	-0.032894	-0.000000	0.058972	-0.033024	-0.000000	-0.032545	849733.609238	
-0.000000	-0.000000	-0.087384	-0.000000	0.000000	0.013317	-0.000000	0.000000	965063.750839	
0.004968	0.014165	0.000000	0.000067	-0.003232	0.000000	-0.017004	0.000706	-0.000000	996475.050304	
-0.035653	-0.201039	0.000000	-0.099783	-0.124755	0.000000	-0.070392	-0.086647	0.000000	-0.166651	1070618.243400	
0.108643	0.039015	0.000000	-0.122430	0.054923	0.000000	0.009056	0.587795	0.000000	-0.041567	0.259572	1118090.989006	

ENV_OEI
0.202173	
0.092009	0.095811	
-0.000000	0.000000	0.371687	
-0.108714	-0.351088	0.000000	0.103709	
0.128384	-0.303117	0.000000	-0.560794	0.124057	
-0.000000	-0.000000	-0.221191	-0.000000	-0.000000	0.627867	
-0.213218	-0.326289	0.000000	-0.289670	-0.188237	-0.000000	0.439319	
-0.089611	-0.004248	0.000000	0.041241	-0.013400	-0.000000	-0.042279	-0.082529	
-0.000000	0.000000	0.264909	-0.000000	0.000000	0.134332	-0.000000	-0.000000	-0.546894	
-0.032100	0.448409	-0.000000	1.108512	1.217675	0.000000	0.573245	0.147480	0.000000	-18.478395	
-0.016480	0.157285	-0.000000	0.082259	0.088730	0.000000	0.083759	0.140276	0.000000	-1.691042	-0.637980	
0.080544	-0.023117	0.000000	0.068104	-0.013915	0.000000	0.031849	-0.550013	-0.000000	-0.159075	-0.148666	0.085918	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.974934	0.103766	-0.031373	-0.031373	0.002346	-0.017595	-0.046909	0.000000	-0.058597	-0.014193	0.000000	0.006508	
