NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.295327
ENERGIES
-10.900837
-0.904314
-0.503025
-0.298088
0.484730
0.687435
0.756300
849736.493491
965066.265392
996477.905883
1070620.561723
1118093.929673

OEI
-18.434465	
0.205328	-4.560485	
0.000000	0.000000	-4.161738	
-0.198158	0.131924	-0.000000	-4.217753	
0.111796	-0.101833	-0.000000	0.461048	-3.165056	
0.253629	-0.910355	-0.000000	-0.100594	0.065515	-3.912523	
-0.000000	0.000000	-0.765269	0.000000	-0.000000	0.000000	-3.487213	
-0.115324	-0.050965	0.000000	0.042569	-0.002230	0.019537	-0.000000	849732.906924	
-0.000000	0.000000	0.123597	-0.000000	-0.000000	-0.000000	-0.018879	0.000000	965063.378934	
0.004900	0.021570	-0.000000	0.000374	-0.006029	0.013830	0.000000	0.001142	-0.000000	996474.621404	
-0.037595	-0.203485	-0.000000	-0.070759	-0.133865	0.106324	-0.000000	-0.139706	0.000000	-0.141964	1070617.997306	
0.112024	0.070754	-0.000000	-0.131475	0.002984	-0.003341	0.000000	0.805463	-0.000000	-0.038851	0.312582	1118090.246013	

ENV_OEI
-4.961383	
0.386883	-0.634547	
0.000000	0.000000	-0.431153	
-0.384783	-0.146221	0.000000	-0.640319	
0.223537	-0.344146	0.000000	-0.236052	-0.854056	
0.519185	-0.025159	-0.000000	0.232913	0.345388	-0.811812	
-0.000000	0.000000	-0.110603	-0.000000	-0.000000	0.000000	-0.458064	
-0.223051	-0.009359	-0.000000	0.035262	0.002906	0.049138	-0.000000	-0.784842	
0.000000	-0.000000	-0.165276	-0.000000	-0.000000	0.000000	0.169301	-0.000000	-0.918799	
-0.015189	0.356894	-0.000000	0.731310	1.458673	-0.666939	0.000000	0.147935	0.000000	-18.907297	
-0.055729	0.051389	-0.000000	0.028601	0.053778	-0.067741	0.000000	0.073223	-0.000000	-1.720454	-0.884071	
0.212864	-0.019406	0.000000	0.028872	0.002662	-0.023268	0.000000	-0.180077	-0.000000	-0.169261	-0.013653	-0.657077	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996636	0.016444	-0.006551	-0.006551	0.001355	-0.006666	-0.016633	-0.000000	-0.023321	-0.002280	-0.000000	0.003204	
-0.136240	0.303242	0.248099	0.248099	-0.036192	0.001586	-0.310118	0.000000	-0.211077	0.379249	0.000000	0.060783	
-0.000000	-0.000000	0.446169	-0.446169	0.000000	-0.000000	0.000000	-0.609219	-0.000000	-0.000000	0.340772	0.000000	
0.134855	-0.532572	-0.165220	-0.165220	-0.064920	0.292960	-0.477644	-0.000000	0.506302	0.414294	-0.000000	-0.101349	
-0.076343	0.472687	-0.798641	-0.798641	-0.126616	0.771171	0.298568	-0.000000	-0.291543	0.713541	0.000000	-0.034057	
-0.183235	1.122431	-0.579260	-0.579260	0.059678	-0.371681	-0.994435	-0.000000	-0.076734	-0.601647	-0.000000	-0.047124	
0.000000	-0.000000	-0.947031	0.947031	-0.000000	0.000000	0.000000	-1.086421	0.000000	0.000000	-0.327284	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	-0.000000	-0.573902	-0.025821	0.000000	0.799278	
0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	0.000000	0.003845	0.105482	0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019715	0.850777	-0.045686	0.000000	-0.129013	-0.446528	0.000000	-0.196306	
-0.081637	0.375835	0.000000	0.000000	-0.011611	0.229176	0.196837	0.000000	0.555851	-0.120150	0.000000	0.583417	

ERI
0 0 0 0 3.5234687
1 0 0 0 -0.1817395
1 0 1 0 0.0187002
1 0 1 1 0.0059376
1 1 0 0 0.6306294
1 1 1 0 0.0059376
1 1 1 1 0.5938917
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0092738
2 0 2 1 0.0104186
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0104186
2 1 2 1 0.0974547
2 1 2 2 0.0000000
2 2 0 0 0.6488078
2 2 1 0 -0.0006206
2 2 1 1 0.5050489
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5380451
3 0 0 0 0.1762206
3 0 1 0 -0.0131936
3 0 1 1 0.0079910
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0037054
3 0 3 0 0.0248905
3 0 3 1 0.0068701
3 0 3 2 -0.0000000
3 0 3 3 -0.0082873
3 1 0 0 -0.0629614
3 1 1 0 0.0009813
3 1 1 1 0.0232868
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0251817
3 1 3 0 0.0068701
3 1 3 1 0.0630641
3 1 3 2 -0.0000000
3 1 3 3 -0.0381998
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0079238
3 2 2 1 -0.0453138
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0429027
3 2 3 3 0.0000000
3 3 0 0 0.7548422
3 3 1 0 -0.0055975
3 3 1 1 0.4851485
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4817829
3 3 3 0 -0.0082873
3 3 3 1 -0.0381998
3 3 3 2 0.0000000
3 3 3 3 0.6087263
4 0 0 0 -0.1003989
