NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.736053
ENERGIES
-10.954402
-0.932216
-0.539475
-0.329184
0.464732
0.653195
0.717630
849736.466498
965066.256960
996477.922830
1070620.556238
1118093.898555

OEI
-18.535377	
0.209996	-4.609237	
-0.000000	0.000000	-4.223850	
-0.195921	0.122462	-0.000000	-4.289465	
-0.117203	0.132333	-0.000000	-0.453589	-3.160267	
-0.253185	0.923530	-0.000000	0.131297	0.014685	-3.928828	
-0.000000	0.000000	0.779949	-0.000000	0.000000	-0.000000	-3.518422	
-0.115635	-0.051967	-0.000000	0.039825	0.000208	-0.018184	-0.000000	849732.880808	
0.000000	-0.000000	-0.127437	-0.000000	0.000000	0.000000	-0.022454	0.000000	965063.391813	
0.004973	0.022329	0.000000	0.000795	0.005651	-0.013518	-0.000000	0.001162	-0.000000	996474.678980	
-0.037839	-0.202454	-0.000000	-0.066805	0.132844	-0.114311	-0.000000	-0.145031	0.000000	-0.138584	1070618.011369	
0.112341	0.072683	-0.000000	-0.130878	0.000901	0.000996	0.000000	0.826886	-0.000000	-0.038389	0.317456	1118090.212159	

ENV_OEI
-5.062403	
0.395149	-0.656017	
-0.000000	-0.000000	-0.479092	
-0.381012	-0.123280	-0.000000	-0.669196	
-0.235142	0.330613	0.000000	0.198089	-0.866741	
-0.516554	0.041163	-0.000000	-0.215115	0.350463	-0.880651	
-0.000000	0.000000	0.133075	-0.000000	0.000000	-0.000000	-0.503446	
-0.221196	-0.008151	0.000000	0.030428	-0.005903	-0.049973	-0.000000	-0.810958	
-0.000000	0.000000	0.153598	-0.000000	-0.000000	-0.000000	0.164683	0.000000	-0.905920	
-0.015048	0.332763	0.000000	0.683854	-1.454508	0.730338	0.000000	0.148044	0.000000	-18.849722	
-0.055620	0.045778	0.000000	0.025950	-0.054868	0.067838	0.000000	0.063332	0.000000	-1.711209	-0.870007	
0.211058	-0.020510	0.000000	0.028239	-0.000981	0.026299	0.000000	-0.137067	0.000000	-0.167677	-0.002536	-0.690931	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
