NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.866590
ENERGIES
-10.964145
-0.926397
-0.540352
-0.325840
0.485959
0.669713
0.711523
849736.433871
965066.312685
996478.089734
1070621.007951
1118093.563327

OEI
-18.588433	
0.220093	-4.628471	
0.000000	0.000000	-4.232065	
0.187956	-0.117061	-0.000000	-4.337813	
0.153551	-0.300324	-0.000000	-0.396373	-3.134382	
0.235663	-0.899467	-0.000000	0.242090	-0.180048	-3.844893	
0.000000	-0.000000	0.795259	0.000000	-0.000000	-0.000000	-3.537967	
0.115888	0.053941	0.000000	0.034282	-0.003862	-0.015589	0.000000	849732.856134	
0.000000	0.000000	0.133262	0.000000	-0.000000	0.000000	0.025885	-0.000000	965063.478929	
-0.005056	-0.023453	-0.000000	0.002196	0.003147	-0.013203	0.000000	0.001115	-0.000000	996474.908955	
-0.038111	-0.197458	0.000000	0.066156	-0.118936	0.139286	0.000000	0.151184	0.000000	0.133053	1070618.491802	
0.112647	0.079443	-0.000000	0.126993	-0.005733	0.002923	-0.000000	-0.852913	0.000000	0.037608	0.323271	1118089.880016	

ENV_OEI
-5.115431	
0.412526	-0.625839	
0.000000	-0.000000	-0.489335	
0.365260	0.069097	-0.000000	-0.661776	
0.308690	-0.297993	-0.000000	0.131765	-0.764427	
0.478608	-0.038002	-0.000000	-0.200402	0.312918	-0.978355	
0.000000	-0.000000	0.147246	-0.000000	0.000000	-0.000000	-0.520963	
0.221138	0.006425	-0.000000	0.038415	-0.050346	-0.014801	-0.000000	-0.763142	
-0.000000	0.000000	-0.131209	0.000000	0.000000	0.000000	-0.141103	-0.000000	-0.818804	
0.014929	-0.259646	0.000000	0.611405	-1.348938	0.974182	0.000000	0.125627	0.000000	-18.629778	
-0.055113	0.039216	0.000000	-0.002694	0.036473	-0.068065	-0.000000	-0.222299	0.000000	1.669394	-0.879073	
0.210215	-0.001941	-0.000000	-0.038072	0.028509	-0.047586	-0.000000	0.039599	0.000000	0.179218	0.134046	-0.596035	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996665	-0.016309	0.006497	0.006497	-0.001354	0.006665	0.027472	0.000000	0.007900	-0.002259	0.000000	0.003204	
0.143797	-0.337376	-0.268029	-0.268029	0.027570	0.046116	0.319925	0.000000	0.227840	-0.168952	-0.000000	-0.281640	
0.000000	0.000000	-0.437321	0.437321	-0.000000	0.000000	0.000000	-0.619320	0.000000	-0.000000	0.337706	-0.000000	
0.127343	-0.510655	-0.117487	-0.117487	-0.054722	0.221889	0.301731	-0.000000	-0.687164	0.026135	-0.000000	0.366374	
0.105800	-0.655430	0.896307	0.896307	0.117583	-0.701325	0.238913	-0.000000	-0.148386	-0.162640	-0.000000	-0.599937	
0.167352	-1.026985	0.416187	0.416187	-0.086816	0.524845	0.369004	-0.000000	0.928108	0.287376	-0.000000	0.701567	
0.000000	-0.000000	-0.951149	0.951149	-0.000000	0.000000	0.000000	1.080694	0.000000	0.000000	0.330447	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049401	-0.608823	-0.000000	0.000000	0.744813	0.000000	-0.291146	
-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	0.000000	0.000000	-0.019715	-0.850780	0.136854	0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	0.000000	-0.000000	-0.509850	0.000000	0.308002	

ERI
0 0 0 0 3.5236172
1 0 0 0 -0.1915965
1 0 1 0 0.0206442
1 0 1 1 0.0058965
1 1 0 0 0.6469956
1 1 1 0 0.0058965
1 1 1 1 0.5934692
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0095195
2 0 2 1 0.0111170
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0111170
2 1 2 1 0.1051523
2 1 2 2 0.0000000
2 2 0 0 0.6535543
2 2 1 0 -0.0008041
2 2 1 1 0.5124154
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5397159
3 0 0 0 -0.1661495
3 0 1 0 0.0127091
3 0 1 1 -0.0087379
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0038776
3 0 3 0 0.0249298
3 0 3 1 0.0082634
3 0 3 2 0.0000000
3 0 3 3 0.0095641
3 1 0 0 0.0535771
3 1 1 0 -0.0011196
3 1 1 1 -0.0187774
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0189316
3 1 3 0 0.0082634
3 1 3 1 0.0588556
3 1 3 2 0.0000000
3 1 3 3 0.0420060
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0072594
3 2 2 1 0.0384757
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0371339
3 2 3 3 0.0000000
3 3 0 0 0.7773328
3 3 1 0 -0.0067021
3 3 1 1 0.4872175
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4859316
3 3 3 0 0.0095641
3 3 3 1 0.0420060
3 3 3 2 0.0000000
3 3 3 3 0.6319289
4 0 0 0 -0.1392099
4 0 1 0 0.0128672
4 0 1 1 -0.0015785
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0022285
4 0 3 0 0.0142805
4 0 3 1 0.0020543
4 0 3 2 0.0000000
4 0 3 3 0.0007796
4 0 4 0 0.0104385
4 0 4 1 -0.0003768
4 0 4 2 -0.0000000
4 0 4 3 0.0011294
4 0 4 4 -0.0000094
4 1 0 0 0.0867856
4 1 1 0 0.0008326
4 1 1 1 0.0418535
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0140900
4 1 3 0 -0.0013122
4 1 3 1 -0.0194855
4 1 3 2 0.0000000
4 1 3 3 0.0533253
4 1 4 0 -0.0003768
4 1 4 1 0.0706114
4 1 4 2 0.0000000
4 1 4 3 -0.0063009
4 1 4 4 0.0072419
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0010283
4 2 2 1 -0.0719691
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0162429
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0797353
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1422660
4 3 1 0 -0.0050034
4 3 1 1 -0.0206849
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0198328
4 3 3 0 0.0084825
4 3 3 1 0.0526734
4 3 3 2 0.0000000
4 3 3 3 0.0920974
4 3 4 0 0.0011294
4 3 4 1 -0.0063009
4 3 4 2 0.0000000
4 3 4 3 0.0788951
4 3 4 4 -0.0335589
4 4 0 0 0.5030405
4 4 1 0 0.0019236
4 4 1 1 0.5147774
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4727974
4 4 3 0 -0.0014788
4 4 3 1 -0.0188406
4 4 3 2 0.0000000
4 4 3 3 0.4393952
4 4 4 0 -0.0000094
4 4 4 1 0.0072419
4 4 4 2 -0.0000000
4 4 4 3 -0.0335589
4 4 4 4 0.5203891
5 0 0 0 -0.2198900
5 0 1 0 0.0263456
5 0 1 1 0.0117698
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0006390
5 0 3 0 0.0067656
5 0 3 1 -0.0063521
5 0 3 2 0.0000000
5 0 3 3 -0.0157161
5 0 4 0 0.0129836
5 0 4 1 0.0012578
5 0 4 2 -0.0000000
5 0 4 3 -0.0120291
5 0 4 4 0.0030213
5 0 5 0 0.0390830
5 0 5 1 0.0041011
5 0 5 2 -0.0000000
5 0 5 3 0.0040980
5 0 5 4 0.0024726
5 0 5 5 0.0099862
5 1 0 0 0.2654038
5 1 1 0 0.0003851
5 1 1 1 0.0711319
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0707057
5 1 3 0 -0.0080110
5 1 3 1 0.0264285
5 1 3 2 0.0000000
5 1 3 3 0.0911550
5 1 4 0 -0.0030550
5 1 4 1 0.0151428
5 1 4 2 0.0000000
5 1 4 3 0.0470187
5 1 4 4 -0.0004593
5 1 5 0 0.0041011
5 1 5 1 0.1048480
5 1 5 2 0.0000000
5 1 5 3 -0.0365603
5 1 5 4 0.0382480
5 1 5 5 0.0827659
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0059903
5 2 2 1 0.0065114
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0016029
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0154987
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0233527
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0864973
5 3 1 0 0.0041657
5 3 1 1 0.0182200
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 -0.0172140
5 3 3 0 0.0027829
5 3 3 1 -0.0066624
5 3 3 2 0.0000000
5 3 3 3 -0.0363106
5 3 4 0 0.0019077
5 3 4 1 0.0193274
5 3 4 2 -0.0000000
5 3 4 3 -0.0349673
5 3 4 4 0.0262230
5 3 5 0 0.0040980
5 3 5 1 -0.0365603
5 3 5 2 -0.0000000
5 3 5 3 0.0527253
5 3 5 4 -0.0207590
5 3 5 5 0.0029588
5 4 0 0 0.0550470
5 4 1 0 0.0010745
5 4 1 1 0.0098410
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 0.0325130
5 4 3 0 -0.0021421
5 4 3 1 0.0322696
5 4 3 2 0.0000000
5 4 3 3 -0.0030481
5 4 4 0 -0.0004684
5 4 4 1 -0.0407496
5 4 4 2 -0.0000000
5 4 4 3 0.0264958
5 4 4 4 -0.0024292
5 4 5 0 0.0024726
5 4 5 1 0.0382480
5 4 5 2 -0.0000000
5 4 5 3 -0.0207590
5 4 5 4 0.0594087
5 4 5 5 -0.0142782
5 5 0 0 0.7841063
5 5 1 0 0.0007181
5 5 1 1 0.5775059
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4985160
5 5 3 0 -0.0183690
5 5 3 1 -0.0384934
5 5 3 2 0.0000000
5 5 3 3 0.5071796
5 5 4 0 -0.0066193
5 5 4 1 0.0668545
5 5 4 2 -0.0000000
